US Short Form Leads
NAUT8002427406201601121503LEAD00000100000060639773CUS-20584673               WNATN120J14FSTICBST
NAUT8003582499201601121056LEAD00000100000077713409CUS-20634373               SUNDN180JACFSTICBMT
NAUT8003582499201601121057LEAD00000100000014051716CUS-20634372               SUNDN180JACFSTICBMT
NAUT8003582499201601121352LEAD00000100000089445775CUS-20634793               SUNDN180JACFSTICBMT
NAUT8003582499201601121353LEAD00000100000032750321CUS-20634796               SUNDN180JACFSTICBMT
NAUT8003582499201601121353LEAD00000100000060640773CUS-20634797               SUNDN180JACFSTICBMT
NAUT8003582499201601121355LEAD00000100000095811916CUS-20634803               SUNDN180JACFSTICBMT
NAUT8003582499201601121359LEAD00000100000090650562CUS-20634815               SUNDN180JACFSTICBMT
NAUT8003667015201601120838LEAD00000100000056345320CUS-20633866               OWN*N180JACFSTICBMT
NAUT8003667015201601121330LEAD00000100000032958570CUS-20634734               OWN*N180JACFSTICBMT
NAUT8004202690201601120948LEAD00000100000002908401CUS-20634132               TESCN120HKINGTICTRC
NAUT8004202690201601120948LEAD00000100000010469917CUS-20570774               TESCN120HKINGTICTRC
NAUT8004202690201601120949LEAD00000100000033907239CUS-20634139               TESCN120HKINGTICTRC
NAUT8004202690201601120956LEAD00000100000030308404CUS-20634163               TESCN120HKINGTICTRC
NAUT8004202690201601121353LEAD00000100000011206347CUS-20634798               TESCN120HKINGTICTRC
NAUT8004202690201601121408LEAD00000100000045229513CUS-20634844               TESCN120HKINGTICTRC
NAUT8004203140201601121420LEAD00000100000085743920CUS-20634875               THISN120HKINGTICTRC
NAUT8004203140201601121500LEAD00000100000006354860CUS-20634982               THISN120HKINGTICTRC
NAUT8004416210201601121205LEAD00000100000069356308CUS-8130345               DWOMN60*HKINGTICTRC
NAUT8004416210201601121353LEAD00000100000039601601CUS-20634800               DWOMN60*HKINGTICTRC
NAUT8004416530201601120847LEAD00000100000085048626CUS-20633893               DTVLN60*HKINGTICTRC
NAUT8004416530201601121022LEAD00000100000039476601CUS-20634259               DTVLN60*HKINGTICTRC
NAUT8004416790201601120737LEAD00000100000037211615CUS-20633639               LMN*N60*HKINGTICTRC
NAUT8004416790201601120739LEAD00000100000014210716CUS-20633643               LMN*N60*HKINGTICTRC
NAUT8004416790201601120920LEAD00000100000060652224CUS-20634031               LMN*N60*HKINGTICTRC
NAUT8004416790201601121153LEAD00000100000096701808CUS-20634543               LMN*N60*HKINGTICTRC
NAUT8004416790201601121314LEAD00000100000048240313CUS-20634699               LMN*N60*HKINGTICTRC
NAUT8004418320201601121353LEAD00000100000014527315CUS-20634795               ATVLL60*HKINGTICTRC
NAUT8004418530201601120950LEAD00000100000063558660CUS-20634141               ATBSL60*HKINGTICTRC
NAUT8004419080201601121649LEAD00000100000060615708CUS-20635284               IONLN180HKINGTICTRC
NAUT8004419320201601120630LEAD00000100000055069320CUS-20633555               DLFEN180HKINGTICTRC
NAUT8004419320201601120632LEAD00000100000019341484CUS-20633558               DLFEN180HKINGTICTRC
NAUT8004511543201601121621LEAD00000100000098284360CUS-20635207               P02161STWMNCSYPFTRC
NAUT8004539947201601121358LEAD00000100000091702626CUS-4157786               MOVSN120HKINGTICTRC
NAUT8004553176201601121333LEAD00000100000051551712CUS-20634662               DISAN60*HKINGTICTRC
NAUT8004569439201601120924LEAD00000100000010940845CUS-20634055               ESQ*N120JACKDTICBMT
NAUT8004569439201601120926LEAD00000100000045227513CUS-20634063               ESQ*N120JACKDTICBMT
NAUT8004569439201601121118LEAD00000100000032174386CUS-20634432               ESQ*N120JACKDTICBMT
NAUT8004661542201601121023LEAD00000100000006606203CUS-20634263               IFC*N120JACKDTICBMT
NAUT8004661542201601121346LEAD00000100000038574931CUS-20621538               IFC*N120JACKDTICTRC
NAUT8004661542201601121403LEAD00000100000008053856CUS-20634833               IFC*N120JACKDTICBMT
NAUT8004661542201601121403LEAD00000100000008053856CUS-20634833               IFC*N120JACKDTICTRC
NAUT8004661542201601121415LEAD00000100000078375361CUS-1662808               IFC*N120JACKDTICBMT
NAUT8004661542201601121418LEAD00000100000018801607CUS-20634872               IFC*N120JACKDTICBMT
NAUT8004661542201601121423LEAD00000100000065265573CUS-296871               IFC*N120JACKDTICBMT
NAUT8004661542201601121502LEAD00000100000038034731CUS-20634991               IFC*N120JACKDTICBMT
NAUT8004661542201601121524LEAD00000100000005060802CUS-20635041               IFC*N120JACKDTICBMT
NAUT8004661542201601121524LEAD00000100000078229210CUS-20635044               IFC*N120JACKDTICBMT
NAUT8004673156201601120950LEAD00000100000070810225CUS-20634145               ION*N120JACKDTICBMT
NAUT8004673156201601121014LEAD00000100000033844863CUS-20634224               ION*N120JACKDTICBMT
NAUT8004673156201601121422LEAD00000100000037013615CUS-20634880               ION*N120JACKDTICBMT
NAUT8004673156201601121437LEAD00000100000061201309CUS-20634921               ION*N120JACKDTICBMT
NAUT8004673156201601121455LEAD00000100000021044240CUS-2333053               ION*N120JACKDTICBMT
NAUT8004691572201601121508LEAD00000100000021157410CUS-20635003               WNATN120JACKDTICBMT
NAUT8004694581201601121339LEAD00000100000017011717CUS-20634761               RELZN120JACKDTICBMT
NAUT8004694581201601121409LEAD00000100000048503810CUS-20634849               RELZN120JACKDTICBMT
NAUT8004695614201601121412LEAD00000100000028217980CUS-5834451               JUSTN120JACKDTICBMT
NAUT8004695614201601121428LEAD00000100000005743802CUS-11605066               JUSTN120JACKDTICBMT
NAUT8004695614201601121532LEAD00000100000008021856CUS-20635060               JUSTN120JACKDTICBMT
NAUT8004695944201601121336LEAD00000100000072223501CUS-20634757               GRITN120JACKDTICBMT
NAUT8004695944201601121342LEAD00000100000028454910CUS-20634771               GRITN120JACKDTICBMT
NAUT8004695944201601121513LEAD00000100000075227214CUS-20635008               GRITN120JACKDTICBMT
NAUT8004695944201601121528LEAD00000100000027371CUS-20635054               GRITN120JACKDTICBMT
NAUT8004695944201601121535LEAD00000100000040146270CUS-20635064               GRITN120JACKDTICBMT
NAUT8004695944201601121535LEAD00000100000053713608CUS-20635068               GRITN120JACKDTICBMT
NAUT8004695944201601121540LEAD00000100000070616CUS-20635083               GRITN120JACKDTICBMT
NAUT8004695944201601121543LEAD00000100000045417937CUS-20635091               GRITN120JACKDTICBMT
NAUT8004695944201601121546LEAD00000100000017404717CUS-20635100               GRITN120JACKDTICBMT
NAUT8004695944201601121550LEAD00000100000070126504CUS-11304483               GRITN120JACKDTICBMT
NAUT8004715546201601121431LEAD00000100000019605484CUS-20634898               HIS2N180JACKDTICBMT
NAUT8004715546201601121434LEAD00000100000006510203CUS-546688               HIS2N180JACKDTICBMT
NAUT8004716104201601121435LEAD00000100000049344269CUS-2827694               OWN*N180JACKDTICBMT
NAUT8005069231201601120719LEAD00000100000060938815CUS-6097234               SUNDN120J14FSTICBMT
NAUT8005069231201601121000LEAD00000100000024013540CUS-20634177               SUNDN120J14FSTICBMT
NAUT8005069231201601121350LEAD00000100000093706559CUS-20634786               SUNDN120J14FSTICBMT
NAUT8005069231201601121516LEAD00000100000077703409CUS-20635015               SUNDN120J14FSTICBMT
NAUT8005069231201601121519LEAD00000100000085344480CUS-20635025               SUNDN120J14FSTICBMT
NAUT8005069232201601120825LEAD00000100000079904915CUS-20633804               VEL*N120J14FSTICBMT
NAUT8005098626201601120815LEAD00000100000001089413CUS-20633750               SPKEN120J14FSTICBMT
NAUT8005098626201601120815LEAD00000100000045171937CUS-3474550               SPKEN120J14FSTICBMT
NAUT8005098626201601120843LEAD00000100000030052678CUS-20354883               SPKEN120J14FSTICBMT
NAUT8005098626201601121456LEAD00000100000089128702CUS-20634964               SPKEN120J14FSTICBMT
NAUT8005098627201601121013LEAD00000100000048879989CUS-5248749               ESQ*N120J14FSTICBMT
NAUT8005098627201601121014LEAD00000100000037660423CUS-20634225               ESQ*N120J14FSTICBMT
NAUT8005098627201601121020LEAD00000100000045344937CUS-20634226               ESQ*N120J14FSTICBMT
NAUT8005106032201601120631LEAD00000100000071334318CUS-20633556               INSPN120HKINGTICTRC
NAUT8005106032201601120845LEAD00000100000060617773CUS-20633889               INSPN120HKINGTICTRC
NAUT8005106032201601121346LEAD00000100000007840201CUS-20634778               INSPN120HKINGTICTRC
NAUT8005106032201601121635LEAD00000100000030349770CUS-20635256               INSPN120HKINGTICTRC
NAUT8005106032201601121635LEAD00000100000041143606CUS-20635255               INSPN120HKINGTICTRC
NAUT8005106032201601121635LEAD00000100000045788740CUS-20635253               INSPN120HKINGTICTRC
NAUT8005106032201601121636LEAD00000100000025825304CUS-20635259               INSPN120HKINGTICTRC
NAUT8005106069201601120725LEAD00000100000078076956CUS-20633627               SPKEN120HKINGTICTRC
NAUT8005106069201601120726LEAD00000100000031535912CUS-20633629               SPKEN120HKINGTICTRC
NAUT8005106069201601120734LEAD00000100000063841573CUS-20633638               SPKEN120HKINGTICTRC
NAUT8005106069201601121025LEAD00000100000093535661CUS-20634267               SPKEN120HKINGTICTRC
NAUT8005136457201601121016LEAD00000100000048822517CUS-20634227               HERON5MNHAMFSTICBMT
NAUT8005136457201601121016LEAD00000100000063109314CUS-20634231               HERON5MNHAMFSTICBMT
NAUT8005136457201601121017LEAD00000100000076308940CUS-20634234               HERON5MNHAMFSTICBMT
NAUT8005136457201601121018LEAD00000100000011213718CUS-20634238               HERON5MNHAMFSTICBMT
NAUT8005242319201601121400LEAD00000100000067831620CUS-20634824               FOXNN120HKINGTICTRC
NAUT8005242319201601121416LEAD00000100000065803417CUS-20634867               FOXNN120HKINGTICTRC
NAUT8005242319201601121419LEAD00000100000058104701CUS-20634874               FOXNN120HKINGTICTRC
NAUT8005242319201601121432LEAD00000100000085351623CUS-20634902               FOXNN120HKINGTICTRC
NAUT8005242319201601121523LEAD00000100000070538337CUS-20635036               FOXNN120HKINGTICTRC
NAUT8005259671201601120623LEAD00000100000039452601CUS-20633543               METVN120HKINGTICTRC
NAUT8005259671201601121101LEAD00000100000048453989CUS-20634392               METVN120HKINGTICTRC
NAUT8005259920201601120644LEAD00000100000014608585CUS-20633582               QUBON120HKINGTICTRC
NAUT8005259920201601121011LEAD00000100000048216313CUS-20634212               QUBON120HKINGTICTRC
NAUT8005259920201601121047LEAD00000100000050310515CUS-20634356               QUBON120HKINGTICTRC
NAUT8005301675201601121359LEAD00000100000090704310CUS-20634812               BRNGN120HKINGTICTRC
NAUT8005304793201601120901LEAD00000100000096067530CUS-20633949               PIVTN180JACKDTICBMT
NAUT8005304793201601120902LEAD00000100000003062603CUS-20633943               PIVTN180JACKDTICBMT
NAUT8005304793201601121000LEAD00000100000050049319CUS-20634172               PIVTN180JACKDTICBMT
NAUT8005306204201601120900LEAD00000100000046615574CUS-20633946               SUNDN180JACKDTICBMT
NAUT8005306204201601120901LEAD00000100000063137314CUS-19512711               SUNDN180JACKDTICBMT
NAUT8005306204201601121153LEAD00000100000010703914CUS-20634539               SUNDN180JACKDTICBMT
NAUT8005306204201601121153LEAD00000100000089318775CUS-20634540               SUNDN180JACKDTICBMT
NAUT8005306204201601121155LEAD00000100000046320219CUS-20634549               SUNDN180JACKDTICBMT
NAUT8005399486201601121304LEAD00000100000059865406CUS-20634680               BABYN120HKINGTICTRC
NAUT8005399486201601121441LEAD00000100000098512253CUS-19977839               BABYN120HKINGTICTRC
NAUT8005446035201601120856LEAD00000100000067502620CUS-20633927               VEL*N180JACFSTICBMT
NAUT8005446035201601120857LEAD00000100000060542630CUS-20633929               VEL*N180JACFSTICBMT
NAUT8005446035201601120859LEAD00000100000015928814CUS-20633922               VEL*N180JACFSTICBMT
NAUT8005446035201601121448LEAD00000100000002724508CUS-20634955               VEL*N180JACFSTICBMT
NAUT8005461904201601120746LEAD00000100000008045856CUS-20633653               GET*N120HKINGTICTRC
NAUT8005462959201601121052LEAD00000100000092115619CUS-20634368               ZLIVN120HKINGTICTRC
NAUT8005506839201601121435LEAD00000100000085260480CUS-20634913               CNN*N60*J14FSTICBMT
NAUT8005632225201601121010LEAD00000100000032434850CUS-20634209               MSNBN60*J14FSTICBMT
NAUT8005692370201601120655LEAD00000100000080216720CUS-20633595               HIS2N180JACFSTICBMT
NAUT8005692370201601121357LEAD00000100000040701606CUS-20634807               HIS2N180JACFSTICBMT
NAUT8005794702201601120800LEAD00000100000061832217CUS-20633664               GAMEN120HKINGTICTRC
NAUT8005794702201601120800LEAD00000100000071404318CUS-20633665               GAMEN120HKINGTICTRC
NAUT8005794702201601121006LEAD00000100000077386713CUS-20634193               GAMEN120HKINGTICTRC
NAUT8005794702201601121150LEAD00000100000032810321CUS-20634521               GAMEN120HKINGTICTRC
NAUT8005923486201601121000LEAD00000100000092363760CUS-20634176               DTVSN60*J14FSTICBMT
NAUT8006325419201601121930LEAD00000100000033487561CUS-20635657               SPKEN120ALOBYTICTRC
NAUT8006448534201601121444LEAD00000100000026415304CUS-20634942               DISMN60*JACKDTICBMT
NAUT8006484992201601121102LEAD00000100000029691864CUS-19714407               DTVIN60*J14FSTICBMT
NAUT8007050822201601121449LEAD00000100000091706626CUS-20634957               AHALL60*HKINGTICTRC
NAUT8007059325201601120650LEAD00000100000030094770CUS-20633590               FOODN60*JACKDTICBMT
NAUT8007145379201601121433LEAD00000100000011944516CUS-20634900               CI**N5MNHAMFSTICBMT
NAUT8007171553201601120922LEAD00000100000092630949CUS-20634037               IFC*N120HAMBYTICBMT
NAUT8007173460201601121329LEAD00000100000081502970CUS-20634732               INSPN180HKINGTICTRC
NAUT8007173460201601121827LEAD00000100000056586218CUS-20635540               INSPN180HKINGTICTRC
NAUT8007300620201601120759LEAD00000100000033702727CUS-6449938               SUNDN120JACKDTICBMT
NAUT8007300620201601120759LEAD00000100000043605419CUS-20633662               SUNDN120JACKDTICBMT
NAUT8007300620201601120825LEAD00000100000015425724CUS-20633735               SUNDN120JACKDTICBMT
NAUT8007300620201601121248LEAD00000100000044144216CUS-20634639               SUNDN120JACKDTICBMT
NAUT8007300620201601121850LEAD00000100000030577706CUS-20635585               SUNDN120JACKDTICBMT
NAUT8008184390201601121557LEAD00000100000099350509CUS-20635126               HALLN60*HKINGTICTRC
NAUT8008621419201601121438LEAD00000100000095376510CUS-20634923               SUNDN5MNHAMFSTICBMT
NAUT8008621419201601121458LEAD00000100000048227313CUS-20634976               SUNDN5MNHAMFSTICBMT
NAUT8008621419201601121523LEAD00000100000077808979CUS-20635039               SUNDN5MNHAMFSTICBMT
NAUT8008719981201601121058LEAD00000100000072762479CUS-20634379               HGTVN60*JACKDTICBMT
NAUT8008992363201601120943LEAD00000100000067217316CUS-20634113               HMM*N120HKINGTICTRC
NAUT8008992363201601120953LEAD00000100000027804252CUS-20634155               HMM*N120HKINGTICTRC
NAUT8008992363201601120953LEAD00000100000045356937CUS-20634151               HMM*N120HKINGTICTRC
NAUT8008992363201601120954LEAD00000100000060607312CUS-20634156               HMM*N120HKINGTICTRC
NAUT8008992363201601120959LEAD00000100000030315404CUS-20634168               HMM*N120HKINGTICTRC
NAUT8008992363201601121131LEAD00000100000028104704CUS-19996279               HMM*N120HKINGTICTRC
NAUT8008992363201601121722LEAD00000100000079412806CUS-20635361               HMM*N120HKINGTICTRC
NAUT8008992363201601121723LEAD00000100000021117410CUS-20635367               HMM*N120HKINGTICTRC
NAUT8008992363201601121723LEAD00000100000024019540CUS-20635364               HMM*N120HKINGTICTRC
NAUT8008992363201601121723LEAD00000100000044515234CUS-20635366               HMM*N120HKINGTICTRC
NAUT8008992363201601121724LEAD00000100000029223803CUS-20635369               HMM*N120HKINGTICTRC
NAUT8009104902201601121216LEAD00000100000015618724CUS-20634585               NFLNN60*J14FSTICBMT
NAUT8009104902201601121345LEAD00000100000007305201CUS-20634777               NFLNN60*J14FSTICBMT
NAUT8009185197201601120835LEAD00000100000048235313CUS-19590746               SPKEN120JACKDTICBMT
NAUT8009185197201601120835LEAD00000100000060088224CUS-20633855               SPKEN120JACKDTICBMT
NAUT8009185197201601120849LEAD00000100000049127269CUS-19861484               SPKEN120JACKDTICBMT
NAUT8009185197201601121139LEAD00000100000095660916CUS-20634480               SPKEN120JACKDTICBMT
NAUT8009185197201601121505LEAD00000100000076642254CUS-20634996               SPKEN120JACKDTICBMT
NAUT8009185197201601121709LEAD00000100000050327515CUS-20635333               SPKEN120JACKDTICBMT
NAUT8009213028201601121525LEAD00000100000094590510CUS-20635046               M617P60*NOTSTTICBMT
NAUT8009213028201601121539LEAD00000100000052654319CUS-20635082               M617P60*NOTSTTICBMT
NAUT8009272229201601120757LEAD00000100000019120215CUS-20633661               ION*N120HKINGTICTRC
NAUT8009272229201601120802LEAD00000100000029829803CUS-20633670               ION*N120HKINGTICTRC
NAUT8009272229201601120902LEAD00000100000085301623CUS-20633913               ION*N120HKINGTICTRC
NAUT8009272229201601120934LEAD00000100000043227614CUS-20634081               ION*N120HKINGTICTRC
NAUT8009272229201601121016LEAD00000100000076043817CUS-20634228               ION*N120HKINGTICTRC
NAUT8009272229201601121050LEAD00000100000060628773CUS-20634362               ION*N120HKINGTICTRC
NAUT8009272229201601121051LEAD00000100000090241702CUS-20634365               ION*N120HKINGTICTRC
NAUT8009521867201601120716LEAD00000100000021009443CUS-20633620               LAFFN120JACKDTICBMT
NAUT8009533017201601121330LEAD00000100000008332609CUS-20634738               AESPL60*HKINGTICTRC
NAUT8009533019201601121231LEAD00000100000063640573CUS-20634608               BANDN60*J14FSTICBMT
NAUT8009533019201601121434LEAD00000100000085310623CUS-5987404               BANDN60*J14FSTICBMT
NAUT8009562912201601121209LEAD00000100000077505281CUS-2477628               AHGTL60*HKINGTICTRC
