US Short Form Leads
NAUT8002423261201409051116LEAD00000100000007663201CUS-19705623               FOODN60*LETTXTICTRC
NAUT8002917847201409051604LEAD00000100000019143267CUS-19706097               ION*N120BFMAXTICBMT
NAUT8002917847201409051655LEAD00000100000060048847CUS-19706185               ION*N120BFMAXTICBMT
NAUT8002917847201409051746LEAD00000100000006405203CUS-19706224               ION*N120BFMAXTICBMT
NAUT8002917847201409051804LEAD00000100000086409928CUS-19706238               ION*N120BFMAXTICBMT
NAUT8002917847201409051847LEAD00000100000051501712CUS-10420206               ION*N120BFMAXTICBMT
NAUT8002917847201409051848LEAD00000100000098532360CUS-19706283               ION*N120BFMAXTICBMT
NAUT8002917847201409051849LEAD00000100000059701406CUS-12390674               ION*N120BFMAXTICBMT
NAUT8002917847201409052004LEAD00000100000060655708CUS-19706360               ION*N120BFMAXTICBMT
NAUT8002917847201409052004LEAD00000100000078537805CUS-19706361               ION*N120BFMAXTICBMT
NAUT8002917847201409052004LEAD00000100000094947415CUS-19706358               ION*N120BFMAXTICBMT
NAUT8002917847201409052251LEAD00000100000091601818CUS-19706426               ION*N120BFMAXTICBMT
NAUT8003582499201409050622LEAD00000100000022408540CUS-12268024               HIS2N180BFMAXTICBMT
NAUT8003661911201409050252LEAD00000100000085378623CUS-19705181               SUNDN180BFMAXTICBMT
NAUT8003661911201409051533LEAD00000100000011212347CUS-19706044               SUNDN180BFMAXTICBMT
NAUT8003661911201409051535LEAD00000100000092307760CUS-19706046               SUNDN180BFMAXTICBMT
NAUT8003661911201409051833LEAD00000100000002184781CUS-19706261               SUNDN180BFMAXTICBMT
NAUT8003661911201409051833LEAD00000100000060419708CUS-19706264               SUNDN180BFMAXTICBMT
NAUT8003661911201409051834LEAD00000100000031701229CUS-19706266               SUNDN180BFMAXTICBMT
NAUT8003661911201409051834LEAD00000100000035661256CUS-19706263               SUNDN180BFMAXTICBMT
NAUT8003661911201409051834LEAD00000100000071375318CUS-19706265               SUNDN180BFMAXTICBMT
NAUT8003661911201409051837LEAD00000100000087579505CUS-19705312               SUNDN180BFMAXTICBMT
NAUT8003661911201409051839LEAD00000100000029072803CUS-19706273               SUNDN180BFMAXTICBMT
NAUT8003661911201409052003LEAD00000100000032218904CUS-19706357               SUNDN180BFMAXTICBMT
NAUT8003667015201409051040LEAD00000100000072756918CUS-16054826               VEL*N180BFMAXTICBMT
NAUT8003667015201409051044LEAD00000100000069216402CUS-2299001               VEL*N180BFMAXTICBMT
NAUT8003923316201409051601LEAD00000100000032805407CUS-19706090               SUNDN120JYBOWTICTRC
NAUT8004301903201409050622LEAD00000100000028306910CUS-19705233               ESQ*N120BFMAXTICBMT
NAUT8004301903201409050647LEAD00000100000013132315CUS-19705251               ESQ*N120BFMAXTICBMT
NAUT8004362335201409051445LEAD00000100000016823814CUS-19705967               UPTVN120GRT2HTICTRC
NAUT8004366052201409050654LEAD00000100000025276304CUS-19705261               VEL*N120WALKATICTRC
NAUT8004366052201409051523LEAD00000100000035094205CUS-19706022               VEL*N120WALKATICTRC
NAUT8004366052201409051525LEAD00000100000019403610CUS-19706028               VEL*N120WALKATICTRC
NAUT8004366052201409051525LEAD00000100000073651580CUS-19706025               VEL*N120WALKATICTRC
NAUT8004375781201409050052LEAD00000100000099567907CUS-19705171               HALMN120GRT2HTICTRC
NAUT8004375781201409050856LEAD00000100000065737417CUS-19705396               HALMN120GRT2HTICTRC
NAUT8004375781201409050902LEAD00000100000049715906CUS-19705403               HALMN120GRT2HTICTRC
NAUT8004383561201409051250LEAD00000100000019121215CUS-19705775               ION*N120GRT2HTICTRC
NAUT8004383561201409051250LEAD00000100000049735989CUS-19705778               ION*N120GRT2HTICTRC
NAUT8004383561201409051251LEAD00000100000019401484CUS-19705776               ION*N120GRT2HTICTRC
NAUT8004383561201409051254LEAD00000100000046952765CUS-19554254               ION*N120GRT2HTICTRC
NAUT8004383561201409051258LEAD00000100000077016832CUS-19705808               ION*N120GRT2HTICTRC
NAUT8004383561201409051259LEAD00000100000039466601CUS-19705786               ION*N120GRT2HTICTRC
NAUT8004383561201409051313LEAD00000100000063084636CUS-19695892               ION*N120GRT2HTICTRC
NAUT8004383561201409051357LEAD00000100000038125901CUS-19705904               ION*N120GRT2HTICTRC
NAUT8004383561201409051358LEAD00000100000055117612CUS-19705905               ION*N120GRT2HTICTRC
NAUT8004383561201409051400LEAD00000100000053209414CUS-19705910               ION*N120GRT2HTICTRC
NAUT8004383561201409051401LEAD00000100000093313661CUS-19705912               ION*N120GRT2HTICTRC
NAUT8004383561201409051402LEAD00000100000077708409CUS-19705916               ION*N120GRT2HTICTRC
NAUT8004383561201409051458LEAD00000100000032808407CUS-19705996               ION*N120GRT2HTICTRC
NAUT8004383561201409051459LEAD00000100000030170770CUS-19705997               ION*N120GRT2HTICTRC
NAUT8004383561201409051550LEAD00000100000097230503CUS-19706066               ION*N120GRTNYTICTRC
NAUT8004383561201409051551LEAD00000100000089115702CUS-19706067               ION*N120GRT2HTICTRC
NAUT8004399230201409051936LEAD00000100000028105704CUS-19706330               INSPN120GRT2HTICTRC
NAUT8004400936201409051423LEAD00000100000044111216CUS-19705945               GAMLN120GRT2HTICTRC
NAUT8004400936201409051619LEAD00000100000029621864CUS-19706127               GAMLN120GRT2HTICTRC
NAUT8004400936201409051621LEAD00000100000033612813CUS-19706132               GAMLN120GRT2HTICTRC
NAUT8004416283201409051551LEAD00000100000042134270CUS-19706068               PUREN180GRT2HTICTRC
NAUT8004553176201409050932LEAD00000100000048180313CUS-19705440               USALL60*GRT2HTICTRC
NAUT8004669741201409050958LEAD00000100000024017540CUS-19705478               SUNDN120GENTSTICTRC
NAUT8004669741201409051046LEAD00000100000085308623CUS-19705560               SUNDN120GENTSTICTRC
NAUT8004669741201409051244LEAD00000100000081007719CUS-19705770               SUNDN120GENTSTICTRC
NAUT8004760480201409050608LEAD00000100000048843810CUS-19705220               INSPN180GRT2HTICTRC
NAUT8004760480201409050653LEAD00000100000048346248CUS-19705260               INSPN180GRT2HTICTRC
NAUT8004760480201409051521LEAD00000100000015851814CUS-19706013               INSPN180GRT2HTICTRC
NAUT8004760480201409051629LEAD00000100000028478910CUS-19706147               INSPN180GRT2HTICTRC
NAUT8004760480201409051631LEAD00000100000030044770CUS-19706152               INSPN180GRT2HTICTRC
NAUT8004760480201409051634LEAD00000100000063383636CUS-19706156               INSPN180GRT2HTICTRC
NAUT8004760480201409051700LEAD00000100000075964936CUS-19706189               INSPN180GRT2HTICTRC
NAUT8004809199201409051112LEAD00000100000030355404CUS-19705610               SUNDN120BFMAXTICBMT
NAUT8004809199201409051458LEAD00000100000025427681CUS-19705994               SUNDN120BFMAXTICBMT
NAUT8004809199201409051545LEAD00000100000076901325CUS-19706058               SUNDN120BFMAXTICBMT
NAUT8004809199201409051755LEAD00000100000092692949CUS-19706234               SUNDN120BFMAXTICBMT
NAUT8004969798201409050709LEAD00000100000010310718CUS-19705275               SPKEN120BFMAXTICBMT
NAUT8004969798201409050710LEAD00000100000072360870CUS-19705280               SPKEN120BFMAXTICBMT
NAUT8004969798201409050712LEAD00000100000076012817CUS-19705285               SPKEN120BFMAXTICBMT
NAUT8004969798201409050734LEAD00000100000074133918CUS-19705278               SPKEN120BFMAXTICBMT
NAUT8004969798201409050809LEAD00000100000028304910CUS-19705347               SPKEN120BFMAXTICBMT
NAUT8004969798201409050941LEAD00000100000021060410CUS-9188357               SPKEN120BFMAXTICBMT
NAUT8004969798201409050942LEAD00000100000028216704CUS-19705458               SPKEN120BFMAXTICBMT
NAUT8004969798201409050945LEAD00000100000087120505CUS-19705459               SPKEN120BFMAXTICBMT
NAUT8004969798201409051246LEAD00000100000092113619CUS-19705769               SPKEN120BFMAXTICBMT
NAUT8005050396201409050655LEAD00000100000076522254CUS-19705263               PALLN120BFMAXTICBMT
NAUT8005069231201409050628LEAD00000100000078247210CUS-19705240               VEL*N120BFMAXTICBMT
NAUT8005069231201409051153LEAD00000100000035045205CUS-19705680               VEL*N120BFMAXTICBMT
NAUT8005069231201409051158LEAD00000100000076462817CUS-19705693               VEL*N120BFMAXTICBMT
NAUT8005069231201409051259LEAD00000100000093513760CUS-19705809               VEL*N120BFMAXTICBMT
NAUT8005248457201409050756LEAD00000100000054601608CUS-19705332               HIS2N180GRT2HTICTRC
NAUT8005248457201409050757LEAD00000100000036256256CUS-19705335               HIS2N180GRT2HTICTRC
NAUT8005248457201409050757LEAD00000100000073132405CUS-19705334               HIS2N180GRT2HTICTRC
NAUT8005248457201409050758LEAD00000100000065583520CUS-19705336               HIS2N180GRT2HTICTRC
NAUT8005248457201409050800LEAD00000100000030349404CUS-1140               HIS2N180GRT2HTICTRC
NAUT8005248457201409050806LEAD00000100000015535814CUS-19705343               HIS2N180GRT2HTICTRC
NAUT8005248457201409051223LEAD00000100000086406928CUS-19705736               HIS2N180GRT2HTICTRC
NAUT8005248457201409051849LEAD00000100000046307219CUS-19706270               HIS2N180GRT2HTICTRC
NAUT8006148320201409051332LEAD00000100000078203210CUS-19201421               USALL60*NOTSTTICBMT
NAUT8006148653201409050719LEAD00000100000085618520CUS-19705296               SUNDN120WALKATICTRC
NAUT8006148653201409051255LEAD00000100000077469713CUS-19705793               SUNDN120WALKATICTRC
NAUT8006148653201409051257LEAD00000100000014617585CUS-19705803               SUNDN120WALKATICTRC
NAUT8006148653201409051329LEAD00000100000046227317CUS-19705858               SUNDN120WALKATICTRC
NAUT8006516384201409050853LEAD00000100000028345910CUS-19705392               INSPN120WALKATICTRC
NAUT8006516384201409050853LEAD00000100000032336850CUS-19705390               INSPN120WALKATICTRC
NAUT8006533024201409051152LEAD00000100000044615405CUS-19705679               SPKEN120GENTSTICTRC
NAUT8006533024201409051155LEAD00000100000037043615CUS-19705685               SPKEN120GENTSTICTRC
NAUT8006533024201409051158LEAD00000100000001201413CUS-19705690               SPKEN120GENTSTICTRC
NAUT8006533024201409051338LEAD00000100000062959618CUS-19705876               SPKEN120GENTSTICTRC
NAUT8006533024201409051402LEAD00000100000078102361CUS-19705914               SPKEN120GENTSTICTRC
NAUT8006533024201409051415LEAD00000100000037354423CUS-19705933               SPKEN120GENTSTICTRC
NAUT8006533024201409051451LEAD00000100000099214509CUS-19705980               SPKEN120GENTSTICTRC
NAUT8006586986201409051117LEAD00000100000049893906CUS-19705624               FOODN60*GRT2HTICTRC
NAUT8006703864201409051419LEAD00000100000029720803CUS-19705937               METVN120WALKATICTRC
NAUT8006703864201409051419LEAD00000100000053220414CUS-19705938               METVN120WALKATICTRC
NAUT8006703864201409051420LEAD00000100000010304718CUS-8216625               METVN120WALKATICTRC
NAUT8006703864201409051421LEAD00000100000065806417CUS-19705941               METVN120WALKATICTRC
NAUT8006703864201409051423LEAD00000100000016029724CUS-19705948               METVN120WALKATICTRC
NAUT8006703864201409051423LEAD00000100000064055804CUS-19705947               METVN120WALKATICTRC
NAUT8006703864201409051511LEAD00000100000044720330CUS-19706005               METVN120WALKATICTRC
NAUT8006703864201409051612LEAD00000100000037912865CUS-19706113               METVN120WALKATICTRC
NAUT8006703864201409051613LEAD00000100000053212414CUS-19706114               METVN120WALKATICTRC
NAUT8006703864201409051719LEAD00000100000093277559CUS-19706200               METVN120WALKATICTRC
NAUT8007171498201409051347LEAD000001000000718CUS-19705886               LMN*L60*WALKATICTRC
NAUT8007835135201409051159LEAD00000100000030331678CUS-19705696               CMGDP60*GRT2HWSTTRC
NAUT8007835135201409052155LEAD00000100000020743301CUS-19706416               CMGDP60*GRT2HWSTTRC
NAUT8008498755201409051420LEAD00000100000064050816CUS-19705939               METVN60*GRT2HTICTRC
NAUT8008591918201409050053LEAD00000100000085226480CUS-19705172               FOXNN120WALKATICTRC
NAUT8009523012201409051010LEAD00000100000046410219CUS-19705499               USA*L60*WALKATICTRC
NAUT8009528187201409050958LEAD00000100000027539919CUS-19705479               ESPNL60*WALKATICTRC
NAUT8009531059201409051946LEAD00000100000078852830CUS-19706341               LIFLL60*WALKATICTRC
NAUT8009531935201409051011LEAD00000100000037918865CUS-19705500               SPKEN120WALKATICTRC
NAUT8009532970201409051130LEAD00000100000070065504CUS-19705644               VEL*N120GENTSTICTRC
NAUT8009532970201409051133LEAD00000100000014580585CUS-19705649               VEL*N120GENTSTICTRC
NAUT8009563180201409051558LEAD00000100000055021623CUS-19706087               GAMLL120WALKATICTRC
NAUT8009563180201409052154LEAD00000100000029621864CUS-19706415               GAMLL120WALKATICTRC
