CA Electronic Short Form Leads
NAUT8006149233201507191138ELED000001000000T3M 1403CUS-20306181               icastsf12bTRC
NAUT8007781519201507191024ELED000001000000L0K 1705CUS-20306029               ICASTSF15BTRC
NAUT8007781519201507191026ELED000001000000P3A 5705CUS-20306033               ICASTSF15BTRC
NAUT8007781519201507191028ELED000001000000B2N 1902CUS-20306035               ICASTSF15BTRC
NAUT8007781519201507191030ELED000001000000K6K 0613CUS-20306039               ICASTSF15BTRC
NAUT8007781519201507191114ELED000001000000L5M 1905CUS-20306135               ICASTSF15BTRC
NAUT8007781519201507191123ELED000001000000L7G 0905CUS-20306148               ICASTSF15BTRC
NAUT8007781519201507191130ELED000001000000L4B 3416CUS-20306162               ICASTSF15BTRC
NAUT8007781519201507191135ELED000001000000L1K 0289CUS-20306174               ICASTSF15BTRC
NAUT8007781519201507191135ELED000001000000M1L 2647CUS-20306175               ICASTSF15BTRC
NAUT8007781519201507191148ELED000001000000N0L 1226CUS-20306193               ICASTSF15BTRC
NAUT8007781519201507191151ELED000001000000B4A 3902CUS-20306200               ICASTSF15BTRC
NAUT8007781519201507191154ELED000001000000M5V 2647CUS-20306206               ICASTSF15BTRC
NAUT8007781519201507191243ELED000001000000T6X 0780CUS-20306258               ICASTSF15BTRC
NAUT8007781519201507191246ELED000001000000N0L 1519CUS-20306265               ICASTSF15BTRC
NAUT8007781519201507191246ELED000001000000R7C 1204CUS-20306266               ICASTSF15BTRC
NAUT8007781519201507191248ELED000001000000K2J 3613CUS-20306270               ICASTSF15BTRC
NAUT8007781519201507191452ELED000001000000S9V 1306CUS-20306523               ICASTSF15BTRC
NAUT8007781519201507191645ELED000001000000N5Y 2519CUS-20306719               ICASTSF15BTRC
NAUT8007781519201507191648ELED000001000000L6V 2416CUS-20306729               ICASTSF15BTRC
NAUT8007781519201507191654ELED000001000000R2P 0204CUS-20306751               ICASTSF15BTRC
NAUT8007781519201507191659ELED000001000000N0N 1519CUS-20306763               ICASTSF15BTRC
NAUT8007781519201507191659ELED000001000000T0H 0780CUS-20306760               ICASTSF15BTRC
NAUT8007781519201507191753ELED000001000000K2S 0613CUS-20306849               ICASTSF15BTRC
NAUT8007781519201507191842ELED000001000000K4K 0613CUS-20306919               ICASTSF15BTRC
NAUT8007781519201507191843ELED000001000000L7G 4647CUS-20306923               ICASTSF15BTRC
NAUT8007781519201507191927ELED000001000000S0G 0306CUS-20306977               ICASTSF15BTRC
NAUT8007781519201507192053ELED000001000000R0H 0204CUS-20307062               ICASTSF15BTRC
NAUT8007781519201507192055ELED000001000000T2R 0403CUS-20307065               ICASTSF15BTRC
NAUT8007781519201507192056ELED000001000000T0G 1780CUS-20307067               ICASTSF15BTRC
NAUT8007781519201507192056ELED000001000000T0K 1403CUS-20307068               ICASTSF15BTRC
NAUT8007781519201507192110ELED000001000000R2J 1204CUS-20307081               ICASTSF15BTRC
NAUT8007781519201507192111ELED000001000000T3M 1403CUS-20307082               ICASTSF15BTRC
NAUT8007781519201507192112ELED000001000000V3K 1604CUS-20307086               ICASTSF15BTRC
NAUT8007781519201507192142ELED000001000000V6G 3778CUS-20307108               ICASTSF15BTRC
NAUT8007781519201507192146ELED000001000000V2P 5604CUS-20307117               ICASTSF15BTRC
NAUT8007781519201507192157ELED000001000000T0C 0780CUS-20307131               ICASTSF15BTRC
NAUT8007781519201507192158ELED000001000000T2A 4403CUS-20307133               ICASTSF15BTRC
NAUT8007781519201507192210ELED000001000000T8C 1780CUS-20307146               ICASTSF15BTRC
NAUT8007781519201507192218ELED000001000000T0H 1780CUS-20307154               ICASTSF15BTRC
NAUT8007781519201507192333ELED000001000000V3W 7604CUS-20307204               ICASTSF15BTRC
NAUT8008521307201507190551ELED000001000000R1N 3204CUS-20305694               ICASESF14BBMT
NAUT8008521307201507190552ELED000001000000R1N 3204CUS-20305694               ICASESF14BTRC
NAUT8008521307201507191029ELED000001000000L1X 2905CUS-20306036               ICASESF14BBMT
NAUT8008521307201507191241ELED000001000000G3K 2418CUS-20306255               ICASESF14BBMT
NAUT8008521307201507191306ELED000001000000K2A 2613CUS-20306295               ICASESF14BBMT
NAUT8008521307201507191317ELED000001000000J5Z 5450CUS-20306312               ICASESF14BBMT
NAUT8008521307201507191351ELED000001000000M9W 4416CUS-20306388               ICASESF14BBMT
NAUT8008521307201507191353ELED000001000000V0E 2604CUS-20306393               ICASESF14BBMT
NAUT8008521307201507191354ELED000001000000V0J 1250CUS-20306394               ICASESF14BBMT
NAUT8008521307201507191356ELED000001000000B3R 1902CUS-20306402               ICASESF14BBMT
NAUT8008521307201507191408ELED000001000000H7W 4514CUS-20306425               ICASESF14BBMT
NAUT8008521307201507191426ELED000001000000L2J 2289CUS-20306467               ICASESF14BBMT
NAUT8008521307201507191442ELED000001000000M9C 2416CUS-20306502               ICASESF14BBMT
NAUT8008521307201507191451ELED000001000000N6K 4226CUS-20306521               ICASESF14BBMT
NAUT8008521307201507191452ELED000001000000L5N 6905CUS-20306524               ICASESF14BBMT
NAUT8008521307201507191453ELED000001000000V9A 2778CUS-20306525               ICASESF14BBMT
NAUT8008521307201507191454ELED000001000000M5H 3647CUS-20306527               ICASESF14BBMT
NAUT8008521307201507191458ELED000001000000N5Y 2519CUS-20306536               ICASESF14BBMT
NAUT8008521307201507191502ELED000001000000J7L 4514CUS-20306543               ICASESF14BBMT
NAUT8008521307201507191504ELED000001000000J5R 0514CUS-20306546               ICASESF14BBMT
NAUT8008521307201507191518ELED000001000000J8T 8819CUS-20306561               ICASESF14BBMT
NAUT8008521307201507191521ELED000001000000S0H 0306CUS-20306566               ICASESF14BBMT
NAUT8008521307201507191526ELED000001000000P3P 0705CUS-20306572               ICASESF14BBMT
NAUT8008521307201507191526ELED000001000000V2J 6250CUS-20297167               ICASESF14BTRC
NAUT8008521307201507191541ELED000001000000S0K 2306CUS-20306587               ICASESF14BBMT
NAUT8008521307201507191556ELED000001000000N5H 2226CUS-20306618               ICASESF14BBMT
NAUT8008521307201507191612ELED000001000000L6J 7905CUS-20306658               ICASESF14BBMT
NAUT8008521307201507191617ELED000001000000H2B 1514CUS-20306661               ICASESF14BBMT
NAUT8008521307201507191619ELED000001000000L4P 1905CUS-20306665               ICASESF14BBMT
NAUT8008521307201507191626ELED000001000000K2L 1613CUS-19694551               ICASESF14BBMT
NAUT8008521307201507191629ELED000001000000B4E 3902CUS-20306688               ICASESF14BBMT
NAUT8008521307201507191651ELED000001000000T3M 1403CUS-20306739               ICASESF14BBMT
NAUT8008521307201507191808ELED000001000000R2Y 0204CUS-20273307               ICASESF14BBMT
NAUT8008521307201507191817ELED000001000000T4B 2403CUS-20306883               ICASESF14BBMT
NAUT8008521307201507191907ELED000001000000L1R 2905CUS-20306957               ICASESF14BBMT
NAUT8008521307201507191954ELED000001000000K7S 2613CUS-20307008               ICASESF14BBMT
NAUT8008521307201507191956ELED000001000000V9A 2250CUS-20307013               ICASESF14BBMT
NAUT8008521307201507192005ELED000001000000R1A 0204CUS-20307023               ICASESF14BBMT
NAUT8008521307201507192028ELED000001000000L3S 4416CUS-20307041               ICASESF14BBMT
NAUT8008521307201507192042ELED000001000000G6K 1581CUS-20307051               ICASESF14BBMT
NAUT8008521307201507192044ELED000001000000T1R 0403CUS-20307056               ICASESF14BBMT
NAUT8008521307201507192208ELED000001000000N6H 1647CUS-20307142               ICASESF14BBMT
NAUT8008521307201507192216ELED000001000000T0C 2403CUS-20307151               ICASESF14BBMT
