CA Electronic Short Form Leads
NAUT8006566629201507181851ELED000001000000L0L 1905CUS-20305335               icastsf12aTRC
NAUT8008521307201507181132ELED000001000000V1M 2604CUS-20304790               ICASESF14BBMT
NAUT8008521307201507181133ELED000001000000S4A 2306CUS-20304791               ICASESF14BBMT
NAUT8008521307201507181133ELED000001000000S4V 2306CUS-20304792               ICASESF14BBMT
NAUT8008521307201507181134ELED000001000000T3M 0403CUS-20304794               ICASESF14BBMT
NAUT8008521307201507181135ELED000001000000P7C 4807CUS-20304795               ICASESF14BBMT
NAUT8008521307201507181137ELED000001000000T2Z 2403CUS-20304800               ICASESF14BBMT
NAUT8008521307201507181141ELED000001000000R0C 1204CUS-20304810               ICASESF14BBMT
NAUT8008521307201507181141ELED000001000000T2Y 1403CUS-20304808               ICASESF14BBMT
NAUT8008521307201507181141ELED000001000000V6P 3604CUS-20304809               ICASESF14BBMT
NAUT8008521307201507181143ELED000001000000T5K 2780CUS-20304815               ICASESF14BBMT
NAUT8008521307201507181144ELED000001000000N3T 5519CUS-20304816               ICASESF14BBMT
NAUT8008521307201507181144ELED000001000000V3E 0604CUS-20304817               ICASESF14BBMT
NAUT8008521307201507181145ELED000001000000R2Y 1204CUS-20304818               ICASESF14BBMT
NAUT8008521307201507181148ELED000001000000R3T 6204CUS-20304824               ICASESF14BBMT
NAUT8008521307201507181149ELED000001000000T2J 6403CUS-20304827               ICASESF14BBMT
NAUT8008521307201507181150ELED000001000000L4B 4647CUS-20304829               ICASESF14BBMT
NAUT8008521307201507181151ELED000001000000B4C 3902CUS-20304830               ICASESF14BBMT
NAUT8008521307201507181152ELED000001000000T6C 3780CUS-20304831               ICASESF14BBMT
NAUT8008521307201507181157ELED000001000000L3X 2905CUS-20304845               ICASESF14BBMT
NAUT8008521307201507181205ELED000001000000H4A 2514CUS-20304862               ICASESF14BBMT
NAUT8008521307201507181214ELED000001000000K1T 0613CUS-20304877               ICASESF14BBMT
NAUT8008521307201507181225ELED000001000000V7E 1604CUS-20304894               ICASESF14BBMT
NAUT8008521307201507181232ELED000001000000K7C 0613CUS-20304901               ICASESF14BBMT
NAUT8008521307201507181252ELED000001000000T8A 5780CUS-20304929               ICASESF14BBMT
NAUT8008521307201507181302ELED000001000000K1W 0613CUS-20304949               ICASESF14BBMT
NAUT8008521307201507181303ELED000001000000L5N 8905CUS-20304952               ICASESF14BBMT
NAUT8008521307201507181333ELED000001000000K8H 3613CUS-20304985               ICASESF14BBMT
NAUT8008521307201507181337ELED000001000000G0S 2418CUS-20304989               ICASESF14BBMT
NAUT8008521307201507181347ELED000001000000R0K 2204CUS-20305003               ICASESF14BBMT
NAUT8008521307201507181505ELED000001000000N5A 4519CUS-20305089               ICASESF14BBMT
NAUT8008521307201507181506ELED000001000000B3G 1902CUS-20305091               ICASESF14BBMT
NAUT8008521307201507181526ELED000001000000T1P 1226CUS-20305112               ICASESF14BBMT
NAUT8008521307201507181530ELED000001000000T1P 1226CUS-20305121               ICASESF14BBMT
NAUT8008521307201507181736ELED000001000000N1M 1519CUS-20305246               ICASESF14BBMT
NAUT8008521307201507181742ELED000001000000B0N 1902CUS-20305251               ICASESF14BBMT
NAUT8008521307201507181747ELED000001000000K0C 1613CUS-20305260               ICASESF14BBMT
NAUT8008521307201507181852ELED000001000000C0A 2902CUS-20305338               ICASESF14BBMT
NAUT8008521307201507181914ELED000001000000S7M 0306CUS-20305372               ICASESF14BBMT
NAUT8008521307201507181927ELED000001000000K1R 7613CUS-20305388               ICASESF14BBMT
NAUT8008521307201507182211ELED000001000000L6R 1416CUS-20305561               ICASESF14BBMT
