CA Electronic Short Form Leads
NAUT8006148597201601270602ELED000001000000L1C 5905CUS-20672418               ICASTSF15CTRC
NAUT8008521307201601271742ELED000001000000R0L 0204CUS-20674231               ICASESF14BBMT
NAUT8008521307201601271743ELED000001000000K2B 7613CUS-20674232               ICASESF14BBMT
NAUT8008521307201601271744ELED000001000000B2V 1902CUS-20674236               ICASESF14BBMT
NAUT8008521307201601271744ELED000001000000K7R 3613CUS-20674235               ICASESF14BBMT
NAUT8008521307201601271745ELED000001000000K1J 6613CUS-20674238               ICASESF14BBMT
NAUT8008521307201601271752ELED000001000000V0H 1CUS-20674252               ICASESF14BBMT
NAUT8008521307201601271852ELED000001000000L9P 1416CUS-20674384               ICASESF14BBMT
NAUT8008521307201601271907ELED000001000000M1T 2416CUS-20674420               ICASESF14BBMT
NAUT8008521307201601272018ELED000001000000N5Y 4519CUS-20674563               ICASESF14BBMT
NAUT8008521307201601272019ELED000001000000V4A 7604CUS-20674565               ICASESF14BBMT
NAUT8008521307201601272104ELED000001000000K7C 3613CUS-20674621               ICASESF14BBMT
NAUT8008717837201601271223ELED000001000000T1J 0403CUS-20673444               ICASESF14CBMT
NAUT8009526812201601271228ELED000001000000P4N 8705CUS-20673459               icastsf09buytcTRC
NAUT8009526812201601271404ELED000001000000P4N 4705CUS-20673722               icastsf09buytcTRC
