US Electronic Short Form Leads
NAUT8002433968201411210632ELED00000100000037421423CUS-19215128               DDCESAWBFXNLS
NAUT8007075879201411211129ELED00000100000020886423CUS-19818721               dsetsf11eTRC
NAUT8007075879201411211157ELED00000100000053066262CUS-19818765               SAWSF11ETRC
NAUT8007075879201411211223ELED00000100000093307661CUS-19818844               dsetsf11eTRC
NAUT8007075879201411211259ELED00000100000090603626CUS-19818908               dsetsf11eTRC
NAUT8007075879201411211313ELED00000100000085308602CUS-19818937               dsetsf11eTRC
NAUT8007075879201411211859ELED00000100000092020619CUS-19819403               dsetsf11eTRC
NAUT8007075879201411212242ELED00000100000037415859CUS-19819540               dsetsf11eTRC
NAUT8007075915201411211848ELED00000100000092123316CUS-19819393               dsetsf11bTRC
NAUT8007075915201411211849ELED00000100000092021619CUS-19819395               dsetsf11bTRC
NAUT8008483965201411210142ELED00000100000062702602CUS-19817943               DSEESF14GBMT
NAUT8008483965201411210328ELED00000100000014609585CUS-19817971               DSEESF14GBMT
NAUT8008483965201411210526ELED00000100000085378CUS-19818026               DSEESF14GBMT
NAUT8008483965201411210644ELED00000100000060187630CUS-19818078               DSEESF14GBMT
NAUT8008483965201411210700ELED00000100000021206443CUS-19818099               DSEESF14GBMT
NAUT8008483965201411211202ELED00000100000046062317CUS-19818776               DSEESF14GBMT
NAUT8008483965201411211230ELED00000100000055305612CUS-19818860               DSEESF14GBMT
NAUT8008483965201411211403ELED00000100000077032832CUS-19819005               DSEESF14GBMT
NAUT8008483965201411211518ELED00000100000095828916CUS-19819119               DSEESF14GBMT
NAUT8008483965201411211731ELED00000100000093720559CUS-19819323               DSEESF14GBMT
NAUT8008483965201411211745ELED00000100000038115901CUS-19819338               DSEESF14GBMT
NAUT8008483965201411212112ELED00000100000008046862CUS-19819513               DSEESF14GBMT
NAUT8008494691201411210906ELED00000100000011214718CUS-19818400               dsetsf11dTRC
NAUT8008494691201411210931ELED00000100000020007303CUS-19818470               dsetsf11dTRC
NAUT8008494691201411211045ELED00000100000029016954CUS-19818624               dsetsf11dTRC
NAUT8008494691201411211045ELED00000100000038821662CUS-19818626               dsetsf11dTRC
NAUT8008494691201411211122ELED00000100000078596956CUS-19818702               dsetsf11dTRC
NAUT8008494691201411211125ELED00000100000002347617CUS-19818707               dsetsf11dTRC
NAUT8008494691201411211233ELED00000100000093446805CUS-19818868               dsetsf11dTRC
NAUT8008494691201411211428ELED00000100000095685209CUS-19819041               dsetsf11dTRC
NAUT8008494691201411211443ELED00000100000089142925CUS-19819062               dsetsf11dTRC
NAUT8008494691201411211504ELED00000100000006250860CUS-19819093               dsetsf11dTRC
NAUT8008494691201411211504ELED00000100000049307231CUS-19819090               SAWSF11DTRC
NAUT8008494691201411211518ELED00000100000022033787CUS-19819121               dsetsf11dTRC
NAUT8008494691201411211519ELED00000100000049307616CUS-19819124               dsetsf11dTRC
NAUT8008494691201411211604ELED00000100000063303636CUS-19819223               dsetsf11dTRC
NAUT8008494691201411211713ELED00000100000023462757CUS-19723605               dsetsf11dTRC
NAUT8008494691201411211743ELED00000100000049660231CUS-19819332               dsetsf11dTRC
NAUT8008494691201411211836ELED00000100000049464616CUS-19819376               dsetsf11dTRC
NAUT8008597365201411211746ELED00000100000077573CUS-19819339               DSEESF14IBMT
NAUT8008597365201411211913ELED00000100000002723401CUS-19819406               DSEESF14IBMT
NAUT8008597365201411211929ELED00000100000098155206CUS-19819422               DSEESF14IBMT
NAUT8008731642201411210513ELED00000100000039601601CUS-19818020               DSETSF14ATRC
NAUT8008731642201411210829ELED00000100000079928915CUS-19818303               DSETSF14ATRC
NAUT8008731642201411210830ELED00000100000023885804CUS-19818305               DSETSF14ATRC
NAUT8008731642201411210830ELED00000100000060083847CUS-19818307               DSETSF14ATRC
NAUT8008731642201411210830ELED00000100000090077310CUS-19818306               DSETSF14ATRC
NAUT8008731642201411210831ELED00000100000013209727CUS-19818308               DSETSF14ATRC
NAUT8008731642201411210831ELED00000100000051501402CUS-19818309               DSETSF14ATRC
NAUT8008731642201411210831ELED00000100000080230720CUS-19818311               DSETSF14ATRC
NAUT8008731642201411210832ELED00000100000010312718CUS-19818312               DSETSF14ATRC
NAUT8008731642201411210833ELED00000100000045432937CUS-19818315               DSETSF14ATRC
NAUT8008731642201411210833ELED00000100000091752909CUS-19818313               DSETSF14ATRC
NAUT8008731642201411210845ELED00000100000046135765CUS-19818338               DSETSF14ATRC
NAUT8008731642201411210848ELED00000100000036322334CUS-19818353               DSETSF14ATRC
NAUT8008731642201411210849ELED00000100000064086816CUS-19818356               DSETSF14ATRC
NAUT8008731642201411210850ELED00000100000031537912CUS-19818362               DSETSF14ATRC
NAUT8008731642201411210850ELED00000100000075803903CUS-19818363               DSETSF14ATRC
NAUT8008731642201411210851ELED00000100000041017765CUS-19818366               DSETSF14ATRC
NAUT8008731642201411210852ELED00000100000048756989CUS-19818369               DSETSF14ATRC
NAUT8008731642201411210852ELED00000100000078538956CUS-19818367               DSETSF14ATRC
NAUT8008731642201411210853ELED00000100000051036712CUS-19818371               DSETSF14ATRC
NAUT8008731642201411211006ELED00000100000067544785CUS-19818543               DSETSF14ATRC
NAUT8008731642201411211117ELED00000100000092344818CUS-19818684               DSETSF14ATRC
NAUT8008731642201411211128ELED00000100000085712520CUS-19818716               DSETSF14ATRC
NAUT8008731642201411211128ELED00000100000092337909CUS-19818718               DSETSF14ATRC
NAUT8008731642201411211204ELED00000100000034608352CUS-19818780               DSETSF14ATRC
NAUT8008731642201411211204ELED00000100000091765909CUS-19818784               DSETSF14ATRC
NAUT8008731642201411211205ELED00000100000068123402CUS-19818786               DSETSF14ATRC
NAUT8008731642201411211206ELED00000100000076244682CUS-19818792               DSETSF14ATRC
NAUT8008731642201411211206ELED00000100000094587415CUS-19818789               DSETSF14ATRC
NAUT8008731642201411211206ELED00000100000099337509CUS-19818791               DSETSF14ATRC
NAUT8008731642201411211207ELED00000100000014150716CUS-19818793               DSETSF14ATRC
NAUT8008731642201411211207ELED00000100000029572631CUS-19818795               DSETSF14ATRC
NAUT8008731642201411211207ELED00000100000077598713CUS-19818794               DSETSF14ATRC
NAUT8008731642201411211208ELED00000100000085730520CUS-19818798               DSETSF14ATRC
NAUT8008731642201411211209ELED00000100000044052440CUS-19818801               DSETSF14ATRC
NAUT8008731642201411211211ELED00000100000032909321CUS-19818808               DSETSF14ATRC
NAUT8008731642201411211211ELED00000100000099506907CUS-19818809               DSETSF14ATRC
NAUT8008731642201411211212ELED00000100000085303806CUS-19818813               DSETSF14ATRC
NAUT8008731642201411211228ELED00000100000038028901CUS-19818854               DSETSF14ATRC
NAUT8008731642201411211232ELED00000100000038345713CUS-19818865               DSETSF14ATRC
NAUT8008731642201411211233ELED00000100000014215716CUS-19818867               DSETSF14ATRC
NAUT8008731642201411211235ELED00000100000049321616CUS-19818875               DSETSF14ATRC
NAUT8008731642201411211244ELED00000100000028634704CUS-19818888               DSETSF14ATRC
NAUT8008731642201411211245ELED00000100000019607610CUS-19818891               DSETSF14ATRC
NAUT8008731642201411211246ELED00000100000032935321CUS-19818894               DSETSF14ATRC
NAUT8008731642201411211258ELED00000100000071913501CUS-19818905               DSETSF14ATRC
NAUT8008731642201411211300ELED00000100000047112812CUS-19818909               DSETSF14ATRC
NAUT8008731642201411211303ELED00000100000046703260CUS-19818916               DSETSF14ATRC
NAUT8008731642201411211303ELED00000100000065560573CUS-19818914               DSETSF14ATRC
NAUT8008731642201411211345ELED00000100000022902CUS-19818971               DSETSF14ATRC
NAUT8008731642201411211404ELED00000100000076550512CUS-19506615               DSETSF14ATRC
NAUT8008731642201411211414ELED00000100000053217414CUS-19819025               DSETSF14ATRC
NAUT8008731642201411211459ELED00000100000092880909CUS-19819075               DSETSF14ATRC
