US Short Form Leads
NAUT8002640660201511271054LEAD00000100000020850301CUS-20486702               CMACN60*JACKDTICBMT
NAUT8004418320201511272000LEAD00000100000073136405CUS-20487702               ATVLL60*HKINGTICTRC
NAUT8004419320201511270732LEAD00000100000017111717CUS-20486292               DLFEN180HKINGTICTRC
NAUT8004419320201511270858LEAD00000100000028405910CUS-20486447               DLFEN180HKINGTICTRC
NAUT8004419320201511270941LEAD00000100000032757443CUS-20486538               DLFEN180HKINGTICTRC
NAUT8004419320201511270953LEAD00000100000034207941CUS-20486565               DLFEN180HKINGTICTRC
NAUT8004419320201511271141LEAD00000100000021716301CUS-20486781               DLFEN180HKINGTICBDY
NAUT8004419320201511271141LEAD00000100000021716301CUS-20486781               DLFEN180HKINGTICTRC
NAUT8004661542201511271306LEAD00000100000048212586CUS-12248958               IFC*N120JACKDTICBMT
NAUT8004673156201511270836LEAD00000100000030135770CUS-20486396               ION*N120JACKDTICBMT
NAUT8004673156201511270842LEAD00000100000010456914CUS-20486416               ION*N120JACKDTICBMT
NAUT8004673156201511270936LEAD00000100000085122520CUS-20486523               ION*N120JACKDTICBMT
NAUT8004673156201511270943LEAD00000100000028501352CUS-20486545               ION*N120JACKDTICBMT
NAUT8004673156201511271134LEAD00000100000039429601CUS-20486779               ION*N120JACKDTICBMT
NAUT8004694581201511271241LEAD00000100000077373281CUS-20486933               RELZN120JACKDTICBMT
NAUT8004694581201511271344LEAD00000100000044144216CUS-5566077               RELZN120JACKDTICBMT
NAUT8004694581201511271439LEAD00000100000093625559CUS-20487172               RELZN120JACKDTICBMT
NAUT8004694581201511271538LEAD00000100000095827970CUS-20487276               RELZN120JACKDTICBMT
NAUT8004694581201511271546LEAD00000100000088220575CUS-20487297               RELZN120JACKDTICBMT
NAUT8004694581201511272035LEAD00000100000002128617CUS-20487766               RELZN120JACKDTICBMT
NAUT8004694581201511272334LEAD00000100000084037801CUS-20488004               RELZN120JACKDTICBMT
NAUT8004694581201511272340LEAD00000100000048080586CUS-20488011               RELZN120JACKDTICBMT
NAUT8004695614201511271235LEAD00000100000080215720CUS-20486916               JUSTN120JACKDTICBMT
NAUT8004695614201511272347LEAD00000100000078109210CUS-20488025               JUSTN120JACKDTICBMT
NAUT8004695944201511270006LEAD00000100000063755573CUS-20485987               GRITN120JACKDTICBMT
NAUT8004695944201511270012LEAD00000100000083709208CUS-7340594               GRITN120JACKDTICBMT
NAUT8004695944201511271106LEAD00000100000038115901CUS-20486726               GRITN120JACKDTICBMT
NAUT8004712485201511271836LEAD00000100000006470203CUS-20487577               PUREN180JACKDTICBMT
NAUT8004715395201511271243LEAD00000100000039702662CUS-20413356               VEL*N180JACKDTICBMT
NAUT8004715395201511271244LEAD00000100000020735678CUS-20486938               VEL*N180JACKDTICBMT
NAUT8004716104201511270644LEAD00000100000075233214CUS-20486209               OWN*N180JACKDTICBMT
NAUT8004716104201511270646LEAD00000100000007470973CUS-20486211               OWN*N180JACKDTICBMT
NAUT8004716167201511271236LEAD00000100000092544CUS-20486919               FYI*N180JACKDTICBMT
NAUT8004716167201511271237LEAD00000100000085037623CUS-20486921               FYI*N180JACKDTICBMT
NAUT8004743170201511271545LEAD00000100000029115803CUS-19799504               NT18P60*ALOHATICTRC
NAUT8005106032201511270950LEAD00000100000095864916CUS-19922547               INSPN120HKINGTICBDY
NAUT8005106032201511271729LEAD00000100000042450270CUS-20487463               INSPN120HKINGTICTRC
NAUT8005106032201511271730LEAD00000100000036758334CUS-20487466               INSPN120HKINGTICTRC
NAUT8005106032201511271730LEAD00000100000042167270CUS-20487465               INSPN120HKINGTICTRC
NAUT8005106032201511271736LEAD00000100000070607337CUS-20487474               INSPN120HKINGTICTRC
NAUT8005106032201511271739LEAD00000100000030043470CUS-20487479               INSPN120HKINGTICTRC
NAUT8005106032201511272339LEAD00000100000028606336CUS-20488009               INSPN120HKINGTICTRC
NAUT8005106069201511271041LEAD00000100000044406330CUS-20486654               SPKEN120HKINGTICTRC
NAUT8005106069201511271042LEAD00000100000013795607CUS-20486657               SPKEN120HKINGTICTRC
NAUT8005106069201511271042LEAD00000100000026003304CUS-20486662               SPKEN120HKINGTICTRC
NAUT8005106069201511271043LEAD00000100000029579843CUS-20486660               SPKEN120HKINGTICTRC
NAUT8005106069201511271044LEAD00000100000073008405CUS-20486664               SPKEN120HKINGTICTRC
NAUT8005106069201511271156LEAD00000100000002745508CUS-20486817               SPKEN120HKINGTICTRC
NAUT8005106069201511271157LEAD00000100000008015609CUS-20486821               SPKEN120HKINGTICTRC
NAUT8005106069201511271157LEAD00000100000038233731CUS-20486819               SPKEN120HKINGTICTRC
NAUT8005106069201511271158LEAD00000100000050315515CUS-20486822               SPKEN120HKINGTICTRC
NAUT8005106069201511271202LEAD00000100000096007530CUS-20486824               SPKEN120HKINGTICTRC
NAUT8005106069201511271203LEAD00000100000030263678CUS-20486836               SPKEN120HKINGTICTRC
NAUT8005242319201511270334LEAD00000100000007036908CUS-4441472               FOXNN120HKINGTICTRC
NAUT8005242319201511270550LEAD00000100000078504956CUS-20176158               FOXNN120HKINGTICTRC
NAUT8005242319201511270556LEAD00000100000038229731CUS-20486153               FOXNN120HKINGTICTRC
NAUT8005242319201511270604LEAD00000100000049048269CUS-20486164               FOXNN120HKINGTICTRC
NAUT8005259920201511270817LEAD00000100000085201480CUS-20486363               QUBON120HKINGTICTRC
NAUT8005304793201511271726LEAD00000100000028704828CUS-195307               PIVTN180JACKDTICBMT
NAUT8005306204201511271144LEAD00000100000067114316CUS-20486796               SUNDN180JACKDTICBMT
NAUT8005794702201511270843LEAD00000100000033417561CUS-20486419               GAMEN120HKINGTICTRC
NAUT8005794702201511270844LEAD00000100000077373832CUS-20486421               GAMEN120HKINGTICTRC
NAUT8005794702201511270846LEAD00000100000038019901CUS-20486430               GAMEN120HKINGTICTRC
NAUT8006447450201511272244LEAD00000100000071953479CUS-20487937               NFLNN60*JACKDTICBMT
NAUT8006448534201511271604LEAD00000100000027405336CUS-20487324               DISMN60*JACKDTICBMT
NAUT8006491651201511271044LEAD00000100000087120505CUS-20486666               SUNDN120HAMBYTICBMT
NAUT8006491651201511271402LEAD00000100000087327505CUS-20487116               SUNDN120HAMBYTICBMT
NAUT8006491651201511272237LEAD00000100000095966530CUS-20487924               SUNDN120HAMBYTICBMT
NAUT8006491651201511272354LEAD00000100000044123216CUS-20488035               SUNDN120HAMBYTICBMT
NAUT8006508911201511270836LEAD00000100000037725865CUS-20486394               SPKEN120HAMBYTICBMT
NAUT8006508911201511270836LEAD00000100000048038586CUS-20486398               SPKEN120HAMBYTICBMT
NAUT8006508911201511270837LEAD00000100000008079856CUS-20486399               SPKEN120HAMBYTICBMT
NAUT8006508911201511270837LEAD00000100000030331404CUS-20486400               SPKEN120HAMBYTICBMT
NAUT8006508911201511270838LEAD00000100000020011202CUS-20486405               SPKEN120HAMBYTICBMT
NAUT8006508911201511271219LEAD00000100000052577641CUS-20486823               SPKEN120HAMBYTICBMT
NAUT8006508911201511271220LEAD00000100000046733989CUS-20007301               SPKEN120HAMBYTICBMT
NAUT8006508911201511271220LEAD00000100000059230406CUS-20139434               SPKEN120HAMBYTICBMT
NAUT8006508911201511271220LEAD00000100000078634512CUS-5606559               SPKEN120HAMBYTICBMT
NAUT8006508911201511271221LEAD00000100000039120601CUS-20486869               SPKEN120HAMBYTICBMT
NAUT8006508911201511271223LEAD00000100000029588843CUS-20486868               SPKEN120HAMBYTICBMT
NAUT8006508911201511271224LEAD00000100000034668540CUS-20486870               SPKEN120HAMBYTICBMT
NAUT8006508911201511271252LEAD00000100000046218317CUS-20486952               SPKEN120HAMBYTICBMT
NAUT8006508911201511271522LEAD00000100000085014602CUS-20487247               SPKEN120HAMBYTICBMT
NAUT8006514043201511271436LEAD00000100000067739785CUS-19891053               DISEN60*WALKATICBDY
NAUT8006950244201511271342LEAD00000100000079762432CUS-20487070               ACNNL60*HKINGTICTRC
NAUT8007050822201511270949LEAD00000100000028338910CUS-20486555               AHALL60*HKINGTICTRC
NAUT8007086528201511270641LEAD00000100000064504816CUS-2930126               VEL*N120JACKDTICBMT
NAUT8007086528201511271552LEAD00000100000086409928CUS-20487306               VEL*N120JACKDTICBMT
NAUT8007086528201511271601LEAD00000100000092307760CUS-20487318               VEL*N120JACKDTICBMT
NAUT8007173460201511272048LEAD00000100000037188615CUS-20487782               INSPN180HKINGTICTRC
NAUT8007173460201511272048LEAD00000100000071635870CUS-20487786               INSPN180HKINGTICTRC
NAUT8007173460201511272049LEAD00000100000044087330CUS-20487787               INSPN180HKINGTICTRC
NAUT8007173460201511272049LEAD00000100000056258507CUS-20487783               INSPN180HKINGTICTRC
NAUT8007173460201511272050LEAD00000100000039108662CUS-20487788               INSPN180HKINGTICTRC
NAUT8007173460201511272051LEAD00000100000039350601CUS-20487791               INSPN180HKINGTICTRC
NAUT8007173460201511272059LEAD00000100000039121601CUS-20487806               INSPN180HKINGTICTRC
NAUT8007173460201511272300LEAD00000100000077583972CUS-6815289               INSPN180HKINGTICTRC
NAUT8007173480201511271340LEAD00000100000028211980CUS-20047283               NBA*N120JACKDTICBMT
NAUT8007173830201511271242LEAD00000100000073628580CUS-19688954               CMT*N120HAMBYTICBMT
NAUT8007179250201511270634LEAD00000100000011234718CUS-3745665               FOODN60*HKINGTICTRC
NAUT8007179250201511270823LEAD00000100000043612419CUS-20486375               FOODN60*HKINGTICTRC
NAUT8007179250201511271122LEAD00000100000098409253CUS-20486759               FOODN60*HKINGTICTRC
NAUT8007300620201511270618LEAD00000100000031419912CUS-15840161               SUNDN120JACKDTICBMT
NAUT8007300620201511271250LEAD00000100000047906765CUS-339933               SUNDN120JACKDTICBMT
NAUT8007300620201511271807LEAD00000100000044106216CUS-20487520               SUNDN120JACKDTICBMT
NAUT8007300620201511271808LEAD00000100000006332860CUS-20487524               SUNDN120JACKDTICBMT
NAUT8007300620201511271808LEAD00000100000093304661CUS-20487521               SUNDN120JACKDTICBMT
NAUT8007300620201511271809LEAD00000100000034677727CUS-20487527               SUNDN120JACKDTICBMT
NAUT8007300620201511271812LEAD00000100000039470228CUS-20487535               SUNDN120JACKDTICBMT
NAUT8007615074201511270703LEAD00000100000019901302CUS-20486243               BANDN60*JACKDTICBMT
NAUT8007661060201511270640LEAD00000100000045506937CUS-20486205               USA*N60*HKINGTICTRC
NAUT8007661070201511271028LEAD00000100000072104502CUS-20486625               IDISN60*HKINGTICTRC
NAUT8007661070201511271030LEAD00000100000048204313CUS-20486630               IDISN60*HKINGTICTRC
NAUT8007661070201511271030LEAD00000100000060612312CUS-20486632               IDISN60*HKINGTICTRC
NAUT8007661070201511271032LEAD00000100000029702864CUS-20486639               IDISN60*HKINGTICTRC
NAUT8007661070201511271329LEAD00000100000092027760CUS-20487039               IDISN60*HKINGTICTRC
NAUT8008184390201511270025LEAD00000100000035235CUS-20485999               HALLN60*HKINGTICTRC
NAUT8008184390201511270033LEAD00000100000078754512CUS-20486004               HALLN60*HKINGTICTRC
NAUT8008184390201511270811LEAD00000100000002842401CUS-20486352               HALLN60*HKINGTICTRC
NAUT8008184390201511271221LEAD00000100000068434402CUS-20486871               HALLN60*HKINGTICTRC
NAUT8008184390201511271457LEAD00000100000060137847CUS-20487195               HALLN60*HKINGTICTRC
NAUT8008184390201511271942LEAD00000100000030115770CUS-20487662               HALLN60*HKINGTICTRC
NAUT8008184390201511271942LEAD00000100000050702319CUS-20487661               HALLN60*HKINGTICTRC
NAUT8008184390201511271944LEAD00000100000031028478CUS-20487665               HALLN60*HKINGTICTRC
NAUT8008184390201511271944LEAD00000100000092019619CUS-20487666               HALLN60*HKINGTICTRC
NAUT8008184390201511271945LEAD00000100000092011602CUS-20487673               HALLN60*HKINGTICTRC
NAUT8008184390201511271947LEAD00000100000031331912CUS-20487663               HALLN60*HKINGTICTRC
NAUT8008184390201511271948LEAD00000100000070817225CUS-20487677               HALLN60*HKINGTICBDY
NAUT8008184390201511271948LEAD00000100000070817225CUS-20487677               HALLN60*HKINGTICTRC
NAUT8008184390201511271949LEAD00000100000028739828CUS-20487674               HALLN60*HKINGTICTRC
NAUT8008184390201511271952LEAD00000100000033778727CUS-20487672               HALLN60*HKINGTICTRC
NAUT8008184390201511272049LEAD00000100000083607208CUS-19819557               HALLN60*HKINGTICBDY
NAUT8008204260201511270740LEAD00000100000020018202CUS-20486304               LIFEN60*HKINGTICTRC
NAUT8008204260201511270740LEAD00000100000052079563CUS-20486303               LIFEN60*HKINGTICTRC
NAUT8008204260201511270741LEAD00000100000019555484CUS-20486306               LIFEN60*HKINGTICTRC
NAUT8008297461201511270906LEAD00000100000017022717CUS-20486465               RS**N120JACKDTICBMT
NAUT8008297461201511271233LEAD00000100000007747732CUS-20486912               RS**N120JACKDTICBMT
NAUT8008531649201511270830LEAD00000100000095005831CUS-20486384               PALLN120JACKDTICBMT
NAUT8008592181201511271008LEAD00000100000011749631CUS-20486586               UPTVN120HKINGTICTRC
NAUT8008592181201511271008LEAD00000100000095823916CUS-20486587               UPTVN120HKINGTICTRC
NAUT8008592181201511271010LEAD00000100000045661740CUS-20486592               UPTVN120HKINGTICTRC
NAUT8008592181201511271048LEAD00000100000012025CUS-20486677               UPTVN120HKINGTICTRC
NAUT8008592181201511271050LEAD000001000000919CUS-20486685               UPTVN120HKINGTICTRC
NAUT8008592181201511271204LEAD00000100000025951304CUS-20486838               UPTVN120HKINGTICTRC
NAUT8008592181201511271205LEAD00000100000032909321CUS-20486839               UPTVN120HKINGTICTRC
NAUT8008592181201511272043LEAD00000100000037075615CUS-20487774               UPTVN120HKINGTICTRC
NAUT8008592181201511272046LEAD00000100000056303320CUS-20487778               UPTVN120HKINGTICTRC
NAUT8008592181201511272046LEAD00000100000090247310CUS-20487777               UPTVN120HKINGTICTRC
NAUT8008594254201511270032LEAD00000100000036351334CUS-6682132               CENTN120HAMBYTICBMT
NAUT8008594254201511270853LEAD00000100000028216980CUS-20486438               CENTN120HAMBYTICBMT
NAUT8008594254201511271449LEAD00000100000011213718CUS-20487190               CENTN120HAMBYTICBMT
NAUT8008594254201511271824LEAD00000100000029325864CUS-20487542               CENTN120HAMBYTICBMT
NAUT8008594254201511272251LEAD00000100000093727559CUS-20487954               CENTN120HAMBYTICBMT
NAUT8008597382201511271300LEAD00000100000007104973CUS-20486966               ION*N120HAMBYTICBMT
NAUT8008719981201511271049LEAD00000100000039204601CUS-20486683               HGTVN60*JACKDTICBMT
NAUT8008719981201511271054LEAD00000100000008857732CUS-20486690               HGTVN60*JACKDTICBMT
NAUT8008719981201511271230LEAD00000100000067739785CUS-19891053               HGTVN60*JACKDTICBMT
NAUT8008719981201511271329LEAD00000100000012306518CUS-13141551               HGTVN60*JACKDTICBMT
NAUT8008719981201511271332LEAD00000100000029520347CUS-20487050               HGTVN60*JACKDTICBMT
NAUT8008719981201511271332LEAD00000100000030349678CUS-20487051               HGTVN60*JACKDTICBMT
NAUT8008719981201511271422LEAD00000100000076542254CUS-5761709               HGTVN60*JACKDTICBMT
NAUT8008869436201511270013LEAD00000100000075189469CUS-20485992               PALLN120HAMBYTICBMT
NAUT8008992363201511270702LEAD00000100000025637304CUS-3495772               HMM*N120HKINGTICTRC
NAUT8008992363201511270702LEAD00000100000037321423CUS-20252784               HMM*N120HKINGTICTRC
NAUT8008992363201511270703LEAD00000100000026003304CUS-20486242               HMM*N120HKINGTICTRC
NAUT8008992363201511270703LEAD00000100000030523706CUS-20486241               HMM*N120HKINGTICTRC
NAUT8008992363201511270703LEAD00000100000037710865CUS-19992744               HMM*N120HKINGTICTRC
NAUT8008992363201511270703LEAD00000100000055427612CUS-20446402               HMM*N120HKINGTICTRC
NAUT8008992363201511270938LEAD00000100000049285517CUS-20427687               HMM*N120HKINGTICTRC
NAUT8008992363201511270939LEAD00000100000090706562CUS-20486532               HMM*N120HKINGTICTRC
NAUT8008992363201511270942LEAD00000100000031419912CUS-20486542               HMM*N120HKINGTICTRC
NAUT8008992363201511270942LEAD00000100000072025501CUS-20486541               HMM*N120HKINGTICTRC
NAUT8008992363201511270942LEAD00000100000093706559CUS-20486540               HMM*N120HKINGTICTRC
NAUT8008992363201511270945LEAD00000100000007306201CUS-20486549               HMM*N120HKINGTICTRC
NAUT8008992363201511270948LEAD00000100000008088609CUS-20486537               HMM*N120HKINGTICTRC
NAUT8008992363201511271240LEAD00000100000095610916CUS-20486924               HMM*N120HKINGTICTRC
NAUT8009185197201511271510LEAD00000100000002726508CUS-20487226               SPKEN120JACKDTICBMT
NAUT8009185197201511271511LEAD00000100000051105712CUS-20487227               SPKEN120JACKDTICBMT
NAUT8009185197201511271512LEAD00000100000060901815CUS-20487230               SPKEN120JACKDTICBMT
NAUT8009185197201511271512LEAD00000100000062703217CUS-20487229               SPKEN120JACKDTICBMT
NAUT8009209869201511271540LEAD00000100000028501252CUS-8378645               M67*P60*NOTSTTICBMT
NAUT8009213017201511271338LEAD00000100000031705229CUS-20487063               M615P60*NOTSTTICBMT
NAUT8009213028201511270733LEAD00000100000079782CUS-20486296               M617P60*NOTSTTICBMT
NAUT8009272229201511270712LEAD00000100000030044404CUS-20486255               ION*N120HKINGTICTRC
NAUT8009272229201511270712LEAD00000100000060640773CUS-20486257               ION*N120HKINGTICTRC
NAUT8009272229201511270716LEAD00000100000080922970CUS-20486265               ION*N120HKINGTICTRC
NAUT8009272229201511270717LEAD00000100000027610919CUS-20486263               ION*N120HKINGTICBDY
NAUT8009272229201511270717LEAD00000100000027610919CUS-20486263               ION*N120HKINGTICTRC
NAUT8009272229201511270736LEAD00000100000037757423CUS-20486298               ION*N120HKINGTICTRC
NAUT8009272229201511271058LEAD00000100000052533641CUS-20486709               ION*N120HKINGTICTRC
NAUT8009272229201511271208LEAD00000100000097404541CUS-20438737               ION*N120HKINGTICTRC
NAUT8009272229201511271224LEAD00000100000008004856CUS-19925980               ION*N120HKINGTICTRC
NAUT8009272229201511271225LEAD00000100000014830607CUS-20486884               ION*N120HKINGTICTRC
NAUT8009272229201511271225LEAD00000100000023323757CUS-20486883               ION*N120HKINGTICTRC
NAUT8009272229201511271225LEAD00000100000077016832CUS-20486886               ION*N120HKINGTICTRC
NAUT8009272229201511271226LEAD00000100000021401443CUS-20486882               ION*N120HKINGTICTRC
NAUT8009272229201511271226LEAD00000100000032208904CUS-20486888               ION*N120HKINGTICTRC
NAUT8009272229201511271226LEAD00000100000038114901CUS-20486890               ION*N120HKINGTICTRC
NAUT8009272229201511271227LEAD00000100000030126989CUS-20486892               ION*N120HKINGTICTRC
NAUT8009272229201511271228LEAD00000100000019132267CUS-20486899               ION*N120HKINGTICTRC
NAUT8009272229201511271229LEAD00000100000028472910CUS-20486885               ION*N120HKINGTICTRC
NAUT8009272229201511271229LEAD00000100000078723512CUS-20486903               ION*N120HKINGTICTRC
NAUT8009272229201511271231LEAD00000100000033322917CUS-20486902               ION*N120HKINGTICTRC
NAUT8009272229201511271405LEAD00000100000060468708CUS-20487122               ION*N120HKINGTICTRC
NAUT8009272229201511271544LEAD00000100000097233CUS-20487291               ION*N120HKINGTICTRC
NAUT8009401520201511271443LEAD00000100000030703678CUS-19976542               NFLNN60*HAMF*TICBMT
NAUT8009521768201511270721LEAD00000100000006610203CUS-20486269               ESQ*N120HAMBYTICBMT
NAUT8009521768201511270723LEAD00000100000076119817CUS-20486272               ESQ*N120HAMBYTICBMT
NAUT8009521768201511270724LEAD00000100000030327404CUS-20486278               ESQ*N120HAMBYTICBMT
NAUT8009521768201511270725LEAD00000100000035023205CUS-20486271               ESQ*N120HAMBYTICBMT
NAUT8009521768201511271041LEAD00000100000090041323CUS-20486653               ESQ*N120HAMBYTICBMT
NAUT8009528213201511271343LEAD00000100000030904762CUS-20487074               CMUSN60*JACKDTICBMT
NAUT8009528213201511271432LEAD00000100000030904762CUS-20487159               CMUSN60*JACKDTICBMT
NAUT8009531983201511271013LEAD00000100000044023440CUS-6370921               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271016LEAD00000100000079763432CUS-20486606               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271117LEAD00000100000082718307CUS-5402567               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271119LEAD00000100000031315706CUS-20486754               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271119LEAD00000100000072401870CUS-20486753               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271217LEAD00000100000077518832CUS-13006401               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271220LEAD00000100000029488843CUS-20486865               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271344LEAD00000100000048127313CUS-19666668               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271424LEAD00000100000078656512CUS-20487146               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271531LEAD00000100000043078937CUS-20487261               RELZ*N120HAMBYTICBMT
NAUT8009531983201511271940LEAD00000100000091311818CUS-20487658               RELZ*N120HAMBYTICBMT
NAUT8009532180201511271230LEAD00000100000062401618CUS-10027916               NBA*N120HAMBYTICBMT
NAUT8009579671201511271313LEAD00000100000044004440CUS-20487003               VEL*N120HAMBYTICBMT
NAUT8009579671201511271314LEAD00000100000083647208CUS-20487002               VEL*N120HAMBYTICBMT
