US Short Form Leads
NAUT8002441703201512142236LEAD00000100000079701432CUS-20531417               FOX*NVODJACKDTICBMT
NAUT8004695614201512140834LEAD00000100000033313305CUS-20529830               JUSTN120JACKDTICBMT
NAUT8004695614201512140933LEAD00000100000083607208CUS-20529953               JUSTN120JACKDTICBMT
NAUT8004695944201512141430LEAD00000100000035212205CUS-20530655               GRITN120JACKDTICBMT
NAUT8004695944201512141535LEAD00000100000043062614CUS-20530767               GRITN120JACKDTICBMT
NAUT8004695944201512141833LEAD00000100000021206410CUS-20531101               GRITN120JACKDTICBMT
NAUT8004695944201512141834LEAD00000100000045426937CUS-20531102               GRITN120JACKDTICBMT
NAUT8004695944201512142135LEAD00000100000033168305CUS-1122792               GRITN120JACKDTICBMT
NAUT8004695944201512142334LEAD00000100000030311404CUS-20531440               GRITN120JACKDTICBMT
NAUT8004715395201512140630LEAD00000100000006082860CUS-20529603               VEL*N180JACKDTICBMT
NAUT8004715395201512140632LEAD00000100000045504937CUS-20529613               VEL*N180JACKDTICBMT
NAUT8004715395201512141116LEAD00000100000045030513CUS-8358756               VEL*N180JACKDTICBMT
NAUT8004715395201512141222LEAD00000100000026554304CUS-20530380               VEL*N180JACKDTICBMT
NAUT8004715395201512141223LEAD00000100000050003515CUS-20530383               VEL*N180JACKDTICBMT
NAUT8004715395201512141225LEAD00000100000011756516CUS-20530391               VEL*N180JACKDTICBMT
NAUT8004715395201512141354LEAD00000100000074447918CUS-20530596               VEL*N180JACKDTICBMT
NAUT8004715546201512140657LEAD00000100000044512330CUS-20529650               HIS2N180JACKDTICBMT
NAUT8004715546201512140956LEAD00000100000085296480CUS-19958395               HIS2N180JACKDTICBMT
NAUT8004715546201512141254LEAD00000100000023666917CUS-20530461               HIS2N180JACKDTICBMT
NAUT8004715546201512141254LEAD00000100000092329760CUS-20530460               HIS2N180JACKDTICBMT
NAUT8004715546201512141255LEAD00000100000048168313CUS-20530463               HIS2N180JACKDTICBMT
NAUT8004715546201512141256LEAD00000100000079316806CUS-20530465               HIS2N180JACKDTICBMT
NAUT8004715546201512141605LEAD00000100000091745626CUS-20530818               HIS2N180JACKDTICBMT
NAUT8004743214201512140734LEAD00000100000031005478CUS-20529706               NT19P60*ALOHATICTRC
NAUT8005106032201512140619LEAD00000100000036701334CUS-20529578               INSPN120HKINGTICTRC
NAUT8005106032201512140619LEAD00000100000070634337CUS-20529579               INSPN120HKINGTICTRC
NAUT8005106032201512140621LEAD00000100000083709208CUS-20529583               INSPN120HKINGTICTRC
NAUT8005106032201512141839LEAD00000100000027702919CUS-20531119               INSPN120HKINGTICTRC
NAUT8005259671201512141217LEAD00000100000031405912CUS-20530359               METVN120HKINGTICTRC
NAUT8005259920201512140737LEAD00000100000077520832CUS-20529713               QUBON120HKINGTICTRC
NAUT8005306204201512140855LEAD00000100000032046904CUS-20529874               SUNDN180JACKDTICBMT
NAUT8005306204201512140855LEAD00000100000060155773CUS-20529875               SUNDN180JACKDTICBMT
NAUT8005306204201512140929LEAD00000100000060436312CUS-20529944               SUNDN180JACKDTICBMT
NAUT8006148410201512140903LEAD00000100000055320763CUS-20529884               DISNN60*JACKDTICBMT
NAUT8006448534201512141331LEAD00000100000089122702CUS-20530561               DISMN60*JACKDTICBMT
NAUT8006448534201512141624LEAD00000100000042103270CUS-20530862               DISMN60*JACKDTICBMT
NAUT8006484992201512140846LEAD00000100000065689417CUS-20529856               OXGNN120NOTSTTICBMT
NAUT8006520108201512140938LEAD00000100000014895585CUS-20529964               INSPN180ALOHATICTRC
NAUT8006720780201512140733LEAD00000100000006516475CUS-20529701               TVLDN60*HKINGTICTRC
NAUT8006720780201512141333LEAD00000100000033542813CUS-20530562               TVLDN60*HKINGTICTRC
NAUT8006720780201512141420LEAD00000100000071019318CUS-20530645               TVLDN60*HKINGTICTRC
NAUT8006720780201512141421LEAD00000100000038878662CUS-20530646               TVLDN60*HKINGTICTRC
NAUT8007086528201512141257LEAD00000100000094060650CUS-20530464               VEL*N120JACKDTICBMT
NAUT8007086528201512141521LEAD00000100000094580510CUS-20530747               VEL*N120JACKDTICBMT
NAUT8007086528201512141522LEAD00000100000060426708CUS-20530751               VEL*N120JACKDTICBMT
NAUT8007173460201512140656LEAD00000100000071764870CUS-20529647               INSPN180HKINGTICTRC
NAUT8007173460201512141408LEAD00000100000076934325CUS-20530621               INSPN180HKINGTICTRC
NAUT8007173460201512141810LEAD00000100000063869573CUS-20531060               INSPN180HKINGTICTRC
NAUT8007176310201512140627LEAD00000100000037214615CUS-1055502               DIRNN60*JACKDTICBMT
NAUT8007176310201512140627LEAD00000100000060546847CUS-20529596               DIRNN60*JACKDTICBMT
NAUT8007300620201512142335LEAD00000100000068108402CUS-20531441               SUNDN120JACKDTICBMT
NAUT8007300620201512142335LEAD00000100000092539CUS-20531442               SUNDN120JACKDTICBMT
NAUT8007307402201512140828LEAD00000100000045069513CUS-20529821               DISCN60*JACKDTICBMT
NAUT8007307402201512141150LEAD00000100000095975530CUS-20312437               DISCN60*JACKDTICBMT
NAUT8008184390201512141024LEAD00000100000033558813CUS-20530059               HALLN60*HKINGTICTRC
NAUT8008184390201512141557LEAD00000100000063901573CUS-20530804               HALLN60*HKINGTICTRC
NAUT8008184390201512141557LEAD00000100000065755352CUS-20530805               HALLN60*HKINGTICTRC
NAUT8008184390201512141558LEAD00000100000023188CUS-20530807               HALLN60*HKINGTICTRC
NAUT8008184390201512141733LEAD00000100000037922865CUS-20530993               HALLN60*HKINGTICTRC
NAUT8008204260201512141124LEAD00000100000030311404CUS-20530196               LIFEN60*HKINGTICTRC
NAUT8008501943201512140233LEAD00000100000094577510CUS-3173691               POISS60*JACKDTICBMT
NAUT8008992363201512140533LEAD00000100000060629312CUS-20529554               HMM*N120HKINGTICTRC
NAUT8008992363201512140652LEAD00000100000002052508CUS-20529643               HMM*N120HKINGTICTRC
NAUT8008992363201512140654LEAD00000100000004957207CUS-20529635               HMM*N120HKINGTICTRC
NAUT8008992363201512141133LEAD00000100000011950631CUS-20530217               HMM*N120HKINGTICTRC
NAUT8008992363201512141324LEAD00000100000049203517CUS-20530542               HMM*N120HKINGTICTRC
NAUT8008992363201512142237LEAD00000100000067217972CUS-20531419               HMM*N120HKINGTICTRC
NAUT8009185197201512141110LEAD00000100000044110216CUS-20530161               SPKEN120JACKDTICBMT
NAUT8009185197201512141111LEAD00000100000077511832CUS-20530164               SPKEN120JACKDTICBMT
NAUT8009185197201512141112LEAD00000100000011432347CUS-20530166               SPKEN120JACKDTICBMT
NAUT8009185197201512141120LEAD00000100000078148210CUS-20530167               SPKEN120JACKDTICBMT
NAUT8009185197201512141207LEAD00000100000069101082CUS-20530321               SPKEN120JACKDTICBMT
NAUT8009185197201512141410LEAD00000100000093203661CUS-20530629               SPKEN120JACKDTICBMT
NAUT8009213024201512141134LEAD00000100000002122857CUS-20530219               M616P60*NOTSTTICBMT
NAUT8009213034201512140934LEAD00000100000034677813CUS-20529955               M619P60*NOTSTTICBMT
NAUT8009272229201512140750LEAD00000100000011704631CUS-9556634               ION*N120HKINGTICTRC
NAUT8009272229201512140750LEAD00000100000034266863CUS-20529734               ION*N120HKINGTICTRC
NAUT8009272229201512140751LEAD00000100000043211614CUS-20529737               ION*N120HKINGTICTRC
NAUT8009272229201512140752LEAD00000100000010467917CUS-20529740               ION*N120HKINGTICTRC
NAUT8009272229201512140852LEAD00000100000080218720CUS-20529863               ION*N120HKINGTICTRC
NAUT8009272229201512141040LEAD00000100000038023901CUS-20530083               ION*N120HKINGTICTRC
NAUT8009272229201512141051LEAD00000100000090249310CUS-20530115               ION*N120HKINGTICTRC
NAUT8009272229201512141051LEAD00000100000091436818CUS-20530117               ION*N120HKINGTICTRC
NAUT8009272229201512141139LEAD00000100000033597352CUS-20530240               ION*N120HKINGTICTRC
NAUT8009272229201512141139LEAD00000100000048075313CUS-20530238               ION*N120HKINGTICTRC
NAUT8009272229201512141139LEAD00000100000075243469CUS-20530241               ION*N120HKINGTICTRC
NAUT8009272229201512141139LEAD00000100000078213210CUS-20530243               ION*N120HKINGTICTRC
NAUT8009272229201512141140LEAD00000100000036610251CUS-20530244               ION*N120HKINGTICTRC
NAUT8009272229201512141140LEAD00000100000083201208CUS-20530245               ION*N120HKINGTICTRC
NAUT8009272229201512141141LEAD00000100000029115803CUS-20530248               ION*N120HKINGTICTRC
NAUT8009272229201512141142LEAD00000100000031904706CUS-20530250               ION*N120HKINGTICTRC
NAUT8009272229201512141144LEAD00000100000002780508CUS-20530260               ION*N120HKINGTICTRC
NAUT8009272229201512141144LEAD00000100000030236CUS-20530263               ION*N120HKINGTICTRC
NAUT8009272229201512141145LEAD00000100000033012786CUS-20530265               ION*N120HKINGTICTRC
NAUT8009272229201512141205LEAD00000100000045107937CUS-20530311               ION*N120HKINGTICTRC
NAUT8009272229201512141243LEAD00000100000085003480CUS-20530428               ION*N120HKINGTICTRC
NAUT8009272229201512141302LEAD00000100000018518570CUS-20530490               ION*N120HKINGTICTRC
NAUT8009272229201512141305LEAD00000100000023503757CUS-20530492               ION*N120HKINGTICTRC
NAUT8009272229201512141440LEAD00000100000081506970CUS-20530671               ION*N120HKINGTICTRC
NAUT8009371930201512140715LEAD00000100000007876862CUS-20529676               CMESN60*JACKDTICBMT
NAUT8009371930201512140715LEAD00000100000007876862CUS-20529676               CMESN60*JACKDTICTRC
NAUT8009521867201512140719LEAD00000100000045206513CUS-20529682               LAFFN120JACKDTICBMT
NAUT8009521867201512141709LEAD00000100000044134216CUS-20530959               LAFFN120JACKDTICBMT
NAUT8009521867201512141744LEAD00000100000061063815CUS-20530942               LAFFN120JACKDTICBMT
NAUT8009524396201512141208LEAD00000100000074136918CUS-20530324               ARTSN60*JACKDTICBMT
NAUT8009562912201512141946LEAD00000100000092231760CUS-20531219               AHGTL60*HKINGTICTRC
