US Short Form Leads
NAUT8002433902201410251602LEAD00000100000092835714CUS-19771029               ARTLL60*NOTSTTICBMT
NAUT8004272727201410251758LEAD00000100000056244320CUS-19771178               METVN120GRT2HTICTRC
NAUT8004272727201410251758LEAD00000100000060653773CUS-19771180               METVN120GRT2HTICTRC
NAUT8004272727201410251832LEAD00000100000092407919CUS-19771215               METVN120GRT2HTICTRC
NAUT8004272727201410252255LEAD00000100000038317731CUS-19771508               METVN120GRT2HTICTRC
NAUT8004365437201410250354LEAD00000100000027360336CUS-19769960               PUREN180BFMAXTICBMT
NAUT8004365437201410250957LEAD00000100000008012609CUS-19770277               PUREN180BFMAXTICBMT
NAUT8004365437201410251357LEAD00000100000028021704CUS-19770765               PUREN180BFMAXTICBMT
NAUT8004366055201410251144LEAD00000100000028216919CUS-19770444               DTVAL60*WALKATICTRC
NAUT8004366055201410251144LEAD00000100000039817229CUS-19770440               DTVAL60*WALKATICTRC
NAUT8004366055201410251145LEAD00000100000000920787CUS-19770446               DTVAL60*WALKATICTRC
NAUT8004366055201410251146LEAD00000100000033157305CUS-19770449               DTVAL60*WALKATICTRC
NAUT8004366055201410251146LEAD00000100000085023602CUS-19770450               DTVAL60*WALKATICTRC
NAUT8004366055201410251148LEAD00000100000080113303CUS-19770447               DTVAL60*WALKATICTRC
NAUT8004366055201410251149LEAD00000100000019720302CUS-19770451               DTVAL60*WALKATICTRC
NAUT8004366055201410251149LEAD00000100000030501678CUS-19770452               DTVAL60*WALKATICTRC
NAUT8004366055201410251152LEAD00000100000029150803CUS-19770455               DTVAL60*WALKATICTRC
NAUT8004366055201410251202LEAD00000100000038041731CUS-19770483               DTVAL60*WALKATICTRC
NAUT8004366055201410251215LEAD00000100000078026254CUS-19770445               DTVAL60*WALKATICTRC
NAUT8004366055201410251259LEAD00000100000032533850CUS-19770688               DTVAL60*WALKATICTRC
NAUT8004366634201410251259LEAD00000100000010460917CUS-19770691               IONLN180WALKATICTRC
NAUT8004366634201410251542LEAD00000100000078003830CUS-6180070               IONLN180WALKATICTRC
NAUT8004366634201410252158LEAD00000100000059860406CUS-19771460               IONLN180WALKATICTRC
NAUT8004400559201410250055LEAD00000100000094022650CUS-19769938               FOXNN120GRT2HTICTRC
NAUT8004668119201410251053LEAD00000100000078589956CUS-19770370               PALLN120GENTSTICTRC
NAUT8004731128201410251517LEAD00000100000032211253CUS-19770908               ION*L60*GRT2HTICTRC
NAUT8004731128201410251518LEAD00000100000038186901CUS-19770913               ION*L60*GRT2HTICTRC
NAUT8004731128201410251519LEAD00000100000019136215CUS-19770918               ION*L60*GRT2HTICTRC
NAUT8004731128201410251520LEAD00000100000019151215CUS-19770921               ION*L60*GRT2HTICTRC
NAUT8004731128201410251520LEAD00000100000073114405CUS-19770925               ION*L60*GRT2HTICTRC
NAUT8004731128201410251821LEAD00000100000095610916CUS-19771197               ION*L60*GRT2HTICTRC
NAUT8004744718201410251452LEAD00000100000030135678CUS-19770816               LMN*L60*GRT2HTICTRC
NAUT8004760480201410250602LEAD00000100000030236404CUS-19770005               INSPN180GRT2HTICTRC
NAUT8004760480201410252057LEAD00000100000019095267CUS-19771410               INSPN180GRT2HTICTRC
NAUT8004760480201410252057LEAD00000100000076539254CUS-19771409               INSPN180GRT2HTICTRC
NAUT8004760480201410252058LEAD00000100000023234804CUS-19771411               INSPN180GRT2HTICTRC
NAUT8004760480201410252059LEAD00000100000030471478CUS-19771413               INSPN180GRT2HTICTRC
NAUT8004760480201410252059LEAD00000100000033777727CUS-19771414               INSPN180GRT2HTICTRC
NAUT8004760480201410252104LEAD00000100000028382910CUS-19771422               INSPN180GRT2HTICTRC
NAUT8004760480201410252158LEAD00000100000060411708CUS-19771462               INSPN180GRT2HTICTRC
NAUT8004760480201410252158LEAD00000100000092345760CUS-19771461               INSPN180GRT2HTICTRC
NAUT8004760480201410252159LEAD00000100000020019240CUS-19771463               INSPN180GRT2HTICTRC
NAUT8004760480201410252203LEAD00000100000075644903CUS-19771475               INSPN180GRT2HTICTRC
NAUT8004760480201410252204LEAD00000100000027869252CUS-19771477               INSPN180GRT2HTICTRC
NAUT8004760480201410252204LEAD00000100000031806229CUS-19771478               INSPN180GRT2HTICTRC
NAUT8004760480201410252204LEAD00000100000098922CUS-19771476               INSPN180GRT2HTICTRC
NAUT8004809199201410250756LEAD00000100000015022724CUS-19770096               SUNDN120BFMAXTICBMT
NAUT8004809199201410250756LEAD00000100000037743423CUS-19770095               SUNDN120BFMAXTICBMT
NAUT8004809199201410250913LEAD00000100000028349910CUS-19770229               SUNDN120BFMAXTICBMT
NAUT8004922811201410250757LEAD00000100000030126678CUS-19770099               TNT*P60*GRT2HWSTTRC
NAUT8004969798201410251602LEAD00000100000010468347CUS-19771028               SPKEN120BFMAXTICBMT
NAUT8005050396201410251602LEAD00000100000034453352CUS-19771031               PALLN120BFMAXTICBMT
NAUT8005050396201410251603LEAD00000100000011224347CUS-19771032               PALLN120BFMAXTICBMT
NAUT8005497616201410251732LEAD00000100000021215443CUS-19771141               CSI*N120WALKATICTRC
NAUT8005923486201410250756LEAD00000100000060033815CUS-19770097               DRTMN60*NOTSTTICBMT
NAUT8005923486201410251357LEAD00000100000033130786CUS-19770766               DRTMN60*NOTSTTICBMT
NAUT8006148295201410251551LEAD00000100000008094856CUS-19770988               UPTVN120WALKATICTRC
NAUT8006148461201410251137LEAD00000100000043910740CUS-8537105               HALMN120WALKATICTRC
NAUT8006148461201410251853LEAD00000100000023038434CUS-19771258               HALMN120WALKATICTRC
NAUT8006148461201410251856LEAD00000100000014139716CUS-19771260               HALMN120WALKATICTRC
NAUT8006148461201410252255LEAD00000100000099611907CUS-19771509               HALMN120WALKATICTRC
NAUT8006172457201410251231LEAD00000100000029654CUS-19770581               ION*N120WALKATICTRC
NAUT8006172457201410251258LEAD00000100000033462561CUS-19770684               ION*N120WALKATICTRC
NAUT8006172457201410251436LEAD00000100000064127816CUS-19770797               ION*N120WALKATICTRC
NAUT8006172457201410251437LEAD00000100000007728732CUS-19770798               ION*N120WALKATICTRC
NAUT8006172457201410251437LEAD00000100000017233717CUS-19770799               ION*N120WALKATICTRC
NAUT8006172457201410251438LEAD00000100000015106412CUS-19770803               ION*N120WALKATICTRC
NAUT8006172457201410251439LEAD00000100000001960978CUS-19770802               ION*N120WALKATICTRC
NAUT8006172457201410251439LEAD00000100000029436843CUS-19770804               ION*N120WALKATICTRC
NAUT8006172457201410251443LEAD00000100000027610919CUS-19770810               ION*N120WALKATICTRC
NAUT8006172457201410251444LEAD00000100000063116314CUS-19770811               ION*N120WALKATICTRC
NAUT8006172457201410251500LEAD00000100000061008815CUS-19770840               ION*N120WALKATICTRC
NAUT8006172457201410251519LEAD00000100000033403561CUS-19770915               ION*N120WALKATICTRC
NAUT8006172457201410251554LEAD00000100000007017973CUS-19770997               ION*N120WALKATICTRC
NAUT8006172457201410251554LEAD00000100000022066CUS-19770999               ION*N120WALKATICTRC
NAUT8006172457201410251554LEAD00000100000029420843CUS-19771000               ION*N120WALKATICTRC
NAUT8006172457201410251555LEAD00000100000001702508CUS-19771001               ION*N120WALKATICTRC
NAUT8006172457201410251555LEAD00000100000008401609CUS-19771002               ION*N120WALKATICTRC
NAUT8006172457201410251555LEAD00000100000013132315CUS-19771003               ION*N120WALKATICTRC
NAUT8006172457201410251556LEAD00000100000055104651CUS-19771005               ION*N120WALKATICTRC
NAUT8006172457201410251556LEAD00000100000070122504CUS-19771006               ION*N120WALKATICTRC
NAUT8006172457201410251603LEAD00000100000034638516CUS-19771035               ION*N120WALKATICTRC
NAUT8006172457201410251603LEAD00000100000063106314CUS-19771034               ION*N120WALKATICTRC
NAUT8006172457201410251604LEAD00000100000011210347CUS-19610501               ION*N120WALKATICTRC
NAUT8006172457201410251604LEAD00000100000019148267CUS-19771037               ION*N120WALKATICTRC
NAUT8006172457201410251605LEAD00000100000027537252CUS-19771038               ION*N120WALKATICTRC
NAUT8006172457201410251606LEAD00000100000012304CUS-19771040               ION*N120WALKATICTRC
NAUT8006172457201410251606LEAD00000100000015210412CUS-19771044               ION*N120WALKATICTRC
NAUT8006172457201410251606LEAD00000100000019002CUS-19771042               ION*N120WALKATICTRC
NAUT8006172457201410251606LEAD00000100000037381423CUS-19771041               ION*N120WALKATICTRC
NAUT8006172457201410251738LEAD00000100000092345909CUS-19771145               ION*N120WALKATICTRC
NAUT8006172457201410251740LEAD00000100000077078713CUS-19771150               ION*N120WALKATICTRC
NAUT8006458313201410251654LEAD00000100000011798917CUS-19771097               SUNDN180WALKATICTRC
NAUT8006484992201410251020LEAD00000100000090250310CUS-19770307               OXGNN120NOTSTTICBMT
NAUT8006484992201410251159LEAD00000100000079602325CUS-19770476               OXGNN120NOTSTTICBMT
NAUT8006499630201410250811LEAD00000100000041018513CUS-19770110               DTVAN60*GRT2HTICTRC
NAUT8006499630201410250821LEAD00000100000029910843CUS-19770116               DTVAN60*GRT2HTICTRC
NAUT8006499630201410250828LEAD00000100000030052678CUS-19770123               DTVAN60*GRT2HTICTRC
NAUT8006499630201410250835LEAD00000100000078374361CUS-19770134               DTVAN60*GRT2HTICTRC
NAUT8006516384201410251018LEAD00000100000075119469CUS-19770305               INSPN120WALKATICTRC
NAUT8006516384201410251019LEAD00000100000021212410CUS-19770306               INSPN120WALKATICTRC
NAUT8006516384201410251022LEAD00000100000044111216CUS-19770310               INSPN120WALKATICTRC
NAUT8006546989201410251813LEAD00000100000078229210CUS-17843324               TNTLL60*WALKATICTRC
NAUT8006703864201410251041LEAD00000100000068649402CUS-19770345               METVN120WALKATICTRC
NAUT8006703864201410251042LEAD00000100000079720432CUS-19770352               METVN120WALKATICTRC
NAUT8006703864201410251043LEAD00000100000068046402CUS-19770358               METVN120WALKATICTRC
NAUT8006703864201410251044LEAD00000100000037604423CUS-19770361               METVN120WALKATICTRC
NAUT8006703864201410251044LEAD00000100000075169214CUS-19770355               METVN120WALKATICTRC
NAUT8006703864201410251044LEAD00000100000079601325CUS-19770359               METVN120WALKATICTRC
NAUT8006703864201410251045LEAD00000100000075043972CUS-19770363               METVN120WALKATICTRC
NAUT8006703864201410251242LEAD00000100000083605208CUS-19770624               METVN120WALKATICTRC
NAUT8006703864201410251300LEAD00000100000067401785CUS-19770681               METVN120WALKATICTRC
NAUT8006703864201410251343LEAD00000100000095540707CUS-19770741               METVN120WALKATICTRC
NAUT8006703864201410251505LEAD00000100000060098815CUS-19770854               METVN120WALKATICTRC
NAUT8006703864201410251758LEAD00000100000092301760CUS-19771177               METVN120WALKATICTRC
NAUT8006703864201410252058LEAD00000100000070791225CUS-19771412               METVN120WALKATICTRC
NAUT8006830774201410251241LEAD00000100000047950574CUS-19770626               WGN*N120GRT2HTICTRC
NAUT8006830774201410251242LEAD00000100000046151765CUS-19770623               WGN*N120GRT2HTICTRC
NAUT8006830774201410251242LEAD00000100000085037623CUS-19707227               WGN*N120GRT2HTICTRC
NAUT8006830774201410251243LEAD00000100000011207347CUS-19770630               WGN*N120GRT2HTICTRC
NAUT8006830774201410251243LEAD00000100000038115901CUS-19770631               WGN*N120GRT2HTICTRC
NAUT8006830774201410251246LEAD00000100000038104901CUS-19770628               WGN*N120GRT2HTICTRC
NAUT8007171498201410251208LEAD00000100000027805252CUS-19770494               LMN*L60*WALKATICTRC
NAUT8007171498201410251209LEAD00000100000006241401CUS-19770496               LMN*L60*WALKATICTRC
NAUT8007171498201410251210LEAD00000100000061603309CUS-19770493               LMN*L60*WALKATICTRC
NAUT8007171498201410251223LEAD00000100000048235313CUS-19770550               LMN*L60*WALKATICTRC
NAUT8007171498201410251300LEAD00000100000027376910CUS-19770639               LMN*L60*WALKATICTRC
NAUT8007171498201410251319LEAD00000100000070122214CUS-19770712               LMN*L60*WALKATICTRC
NAUT8007171498201410251340LEAD00000100000043219614CUS-19770733               LMN*L60*WALKATICTRC
NAUT8007835119201410250757LEAD00000100000034488352CUS-19770098               CMGCP60*GRT2HWSTTRC
NAUT8007835119201410251357LEAD00000100000047905765CUS-19770767               CMGCP60*GRT2HWSTTRC
NAUT8007835119201410251555LEAD00000100000094010650CUS-19771004               CMGCP60*GRT2HWSTTRC
NAUT8007835119201410251759LEAD00000100000091607818CUS-19771182               CMGCP60*GRT2HWSTTRC
NAUT8007835119201410251759LEAD00000100000098092971CUS-19771183               CMGCP60*GRT2HWSTTRC
NAUT8007835119201410252159LEAD00000100000092630949CUS-19771464               CMGCP60*GRT2HWSTTRC
NAUT8008498755201410251043LEAD00000100000049053269CUS-19770354               METVN60*GRT2HTICTRC
NAUT8008591918201410250809LEAD00000100000043062740CUS-19770103               FOXNN120WALKATICTRC
NAUT8009104902201410250756LEAD00000100000060428708CUS-19770094               CHLRN120BFMAXTICBMT
NAUT8009104902201410252056LEAD00000100000028787828CUS-19771406               CHLRN120BFMAXTICBMT
NAUT8009104902201410252057LEAD00000100000035216205CUS-19771408               CHLRN120BFMAXTICBMT
NAUT8009104902201410252057LEAD00000100000053218414CUS-19771407               CHLRN120BFMAXTICBMT
NAUT8009104902201410252103LEAD00000100000060428708CUS-19771421               CHLRN120BFMAXTICBMT
NAUT8009104902201410252157LEAD00000100000044313972CUS-19771458               CHLRN120BFMAXTICBMT
NAUT8009521829201410251958LEAD00000100000032218904CUS-19771347               TNTLL60*NOTSTTICBMT
NAUT8009523012201410251134LEAD00000100000039120601CUS-19770433               USA*L60*WALKATICTRC
NAUT8009523012201410251434LEAD00000100000078659512CUS-19770793               USA*L60*WALKATICTRC
NAUT8009523012201410251438LEAD00000100000047714812CUS-19770791               USA*L60*WALKATICTRC
NAUT8009523012201410251441LEAD00000100000029449843CUS-19770812               USA*L60*WALKATICTRC
NAUT8009523012201410251605LEAD00000100000061061CUS-19771039               USA*L60*WALKATICTRC
NAUT8009528187201410251047LEAD00000100000075216214CUS-19770366               ESPNL60*WALKATICTRC
NAUT8009528187201410251047LEAD00000100000079907915CUS-19770365               ESPNL60*WALKATICTRC
NAUT8009528187201410251048LEAD00000100000026003304CUS-19770368               ESPNL60*WALKATICTRC
NAUT8009531059201410251404LEAD00000100000043952740CUS-19770769               LIFLL60*WALKATICTRC
NAUT8009531059201410252304LEAD00000100000054601608CUS-19771511               LIFLL60*WALKATICTRC
