US Short Form Leads
NAUT8002433902201411091214LEAD00000100000011507516CUS-19794100               ARTLL60*MRYMXTICBMT
NAUT8004365437201411090829LEAD00000100000028092704CUS-19793574               PUREN180MRYMXTICBMT
NAUT8004365437201411091716LEAD00000100000011229917CUS-19794778               PUREN180MRYMXTICBMT
NAUT8004366634201411090523LEAD00000100000095829916CUS-19793275               IONLN180WALKATICTRC
NAUT8004366634201411090741LEAD00000100000040769606CUS-19793471               IONLN180WALKATICTRC
NAUT8004366634201411090741LEAD00000100000046409312CUS-19793469               IONLN180WALKATICTRC
NAUT8004366634201411090951LEAD00000100000011235917CUS-19793801               IONLN180WALKATICTRC
NAUT8004366634201411091329LEAD00000100000019141215CUS-19794250               IONLN180WALKATICTRC
NAUT8004367887201411091543LEAD00000100000075043214CUS-19794598               FOX*NVODBOBBITICBMT
NAUT8004400559201411090521LEAD00000100000035759256CUS-19793269               FOXNN120GRT2HTICTRC
NAUT8004400559201411090521LEAD00000100000075236972CUS-19793270               FOXNN120GRT2HTICTRC
NAUT8004400559201411090720LEAD00000100000038261731CUS-19793432               FOXNN120GRT2HTICTRC
NAUT8004416283201411091436LEAD00000100000066713620CUS-19693016               PUREN180GRT2HTICTRC
NAUT8004450297201411090817LEAD00000100000077088713CUS-19793546               OWN*N180GRT2HTICTRC
NAUT8004450297201411090936LEAD00000100000029205803CUS-19793744               OWN*N180GRT2HTICTRC
NAUT8004602657201411091027LEAD00000100000072118501CUS-19793876               AMC*L60*GRT2HTICTRC
NAUT8004668119201411090457LEAD00000100000002135617CUS-19793254               PALLN120GNTMFTICTRC
NAUT8004669741201411090608LEAD00000100000078383361CUS-19793316               SUNDN120GNTMFTICTRC
NAUT8004669741201411090615LEAD00000100000011740631CUS-19793315               SUNDN120GNTMFTICTRC
NAUT8004768135201411091507LEAD00000100000055423612CUS-19794517               AMC*L60*WLKMFTICTRC
NAUT8004768135201411091718LEAD00000100000044054440CUS-19794784               AMC*L60*WLKMFTICTRC
NAUT8004768406201411091546LEAD00000100000020903301CUS-19794607               METVN120BOOMRTICTRC
NAUT8004809199201411090708LEAD00000100000044212216CUS-8806969               SUNDN120MRYMXTICBMT
NAUT8004969798201411090517LEAD00000100000011213347CUS-19793262               SPKEN120MRYMXTICBMT
NAUT8004969798201411090521LEAD00000100000076051214CUS-19793268               SPKEN120MRYMXTICBMT
NAUT8004969798201411090522LEAD00000100000060409708CUS-19793273               SPKEN120MRYMXTICBMT
NAUT8004969798201411090904LEAD00000100000044124216CUS-19793652               SPKEN120MRYMXTICBMT
NAUT8004969798201411090905LEAD00000100000087120505CUS-6139038               SPKEN120MRYMXTICBMT
NAUT8004969798201411090906LEAD00000100000033544813CUS-19793660               SPKEN120MRYMXTICBMT
NAUT8004969798201411090906LEAD00000100000077808979CUS-19793665               SPKEN120MRYMXTICBMT
NAUT8004969798201411090906LEAD00000100000093212559CUS-19793659               SPKEN120MRYMXTICBMT
NAUT8004969798201411090907LEAD00000100000008875732CUS-19793648               SPKEN120MRYMXTICBMT
NAUT8004969798201411090909LEAD00000100000076034817CUS-19793677               SPKEN120MRYMXTICBMT
NAUT8004969798201411090924LEAD00000100000018509570CUS-19793694               SPKEN120MRYMXTICBMT
NAUT8004969798201411091058LEAD00000100000011204718CUS-19793978               SPKEN120MRYMXTICBMT
NAUT8004969798201411091058LEAD00000100000020744202CUS-19793979               SPKEN120MRYMXTICBMT
NAUT8004969798201411091058LEAD00000100000077477713CUS-19793977               SPKEN120MRYMXTICBMT
NAUT8004969798201411091059LEAD00000100000007203973CUS-19793982               SPKEN120MRYMXTICBMT
NAUT8004969798201411091059LEAD00000100000029316864CUS-19793980               SPKEN120MRYMXTICBMT
NAUT8004969798201411091059LEAD00000100000030344404CUS-19793981               SPKEN120MRYMXTICBMT
NAUT8004969798201411091202LEAD00000100000021236443CUS-19794076               SPKEN120MRYMXTICBMT
NAUT8004969798201411091206LEAD00000100000033919813CUS-19794080               SPKEN120MRYMXTICBMT
NAUT8004969798201411091209LEAD00000100000090210CUS-19794082               SPKEN120MRYMXTICBMT
NAUT8004969798201411091436LEAD00000100000095826916CUS-2158209               SPKEN120MRYMXTICBMT
NAUT8004969798201411091741LEAD00000100000039364601CUS-19794817               SPKEN120MRYMXTICBMT
NAUT8004969798201411091742LEAD00000100000050320515CUS-19794825               SPKEN120MRYMXTICBMT
NAUT8004969798201411091746LEAD00000100000006776860CUS-19794839               SPKEN120MRYMXTICBMT
NAUT8004969798201411091749LEAD00000100000048071248CUS-19794859               SPKEN120MRYMXTICBMT
NAUT8004969798201411091858LEAD00000100000019149215CUS-19795075               SPKEN120MRYMXTICBMT
NAUT8004969798201411091858LEAD00000100000044906419CUS-19795076               SPKEN120MRYMXTICBMT
NAUT8004969798201411091858LEAD00000100000053209414CUS-19795078               SPKEN120MRYMXTICBMT
NAUT8004969798201411091858LEAD00000100000063764573CUS-19795077               SPKEN120MRYMXTICBMT
NAUT8004969798201411092158LEAD00000100000079936915CUS-19795303               SPKEN120MRYMXTICBMT
NAUT8005050396201411090522LEAD00000100000083814208CUS-19793274               PALLN120MRYMXTICBMT
NAUT8005050396201411090606LEAD00000100000056633218CUS-19793312               PALLN120MRYMXTICBMT
NAUT8005069231201411090850LEAD00000100000044710330CUS-19793607               VEL*N120MRYMXTICBMT
NAUT8005444352201411090948LEAD00000100000020009202CUS-19793792               IONLN180GRT2HTICTRC
NAUT8005444352201411091153LEAD00000100000019129267CUS-19794049               IONLN180GRT2HTICTRC
NAUT8005444352201411091459LEAD00000100000022713540CUS-19794503               IONLN180GRT2HTICTRC
NAUT8005444352201411091500LEAD00000100000038141901CUS-19794509               IONLN180GRT2HTICTRC
NAUT8005444352201411091504LEAD00000100000094080510CUS-19794515               IONLN180GRT2HTICTRC
NAUT8005497616201411090458LEAD00000100000033712850CUS-19793256               CSI*N120WLKMFTICTRC
NAUT8005497616201411091527LEAD00000100000030815706CUS-19794557               CSI*N120WLKMFTICTRC
NAUT8005632225201411091256LEAD00000100000095020408CUS-7009481               DISCL60*MRYMXTICBMT
NAUT8005632225201411092159LEAD00000100000095435707CUS-19795304               DISCL60*MRYMXTICBMT
NAUT8005923486201411090517LEAD00000100000038125901CUS-19793260               DRTMN60*MRYMXTICBMT
NAUT8006148320201411091227LEAD00000100000029303864CUS-19794123               USALL60*MRYMXTICBMT
NAUT8006148320201411092007LEAD00000100000011369917CUS-19795164               USALL60*MRYMXTICBMT
NAUT8006148461201411090456LEAD00000100000073115405CUS-19793249               HALMN120WLKMFTICTRC
NAUT8006148461201411090456LEAD00000100000078013210CUS-19793250               HALMN120WLKMFTICTRC
NAUT8006148461201411090457LEAD00000100000031404912CUS-19793253               HALMN120WLKMFTICTRC
NAUT8006148461201411090457LEAD00000100000076116817CUS-19793252               HALMN120WLKMFTICTRC
NAUT8006148461201411090523LEAD00000100000032577850CUS-19793277               HALMN120WLKMFTICTRC
NAUT8006148461201411090523LEAD00000100000060153708CUS-19793278               HALMN120WLKMFTICTRC
NAUT8006148461201411090524LEAD00000100000005753802CUS-19793280               HALMN120WLKMFTICTRC
NAUT8006148461201411090524LEAD00000100000070571225CUS-19793279               HALMN120WLKMFTICTRC
NAUT8006148461201411090632LEAD00000100000020735301CUS-19793329               HALMN120WLKMFTICTRC
NAUT8006148461201411090637LEAD00000100000048183734CUS-19793348               HALMN120WLKMFTICTRC
NAUT8006148461201411090638LEAD00000100000081143719CUS-19793343               HALMN120WLKMFTICTRC
NAUT8006148461201411090657LEAD00000100000003047603CUS-19793370               HALMN120WLKMFTICTRC
NAUT8006148461201411090715LEAD00000100000067410785CUS-19793395               HALMN120WLKMFTICTRC
NAUT8006148461201411091551LEAD00000100000063801573CUS-19794612               HALMN120WLKMFTICTRC
NAUT8006148461201411091720LEAD00000100000048221313CUS-19794789               HALMN120WLKMFTICTRC
NAUT8006148461201411091726LEAD00000100000071854903CUS-19794799               HALMN120WLKMFTICTRC
NAUT8006148461201411091742LEAD00000100000030230706CUS-19794797               HALMN120WLKMFTICTRC
NAUT8006148461201411091859LEAD00000100000063125314CUS-19795079               HALMN120WLKMFTICTRC
NAUT8006148461201411091933LEAD00000100000076180817CUS-19795128               HALMN120WLKMFTICTRC
NAUT8006148461201411091945LEAD00000100000037922CUS-19795148               HALMN120WLKMFTICTRC
NAUT8006148461201411091946LEAD00000100000008204609CUS-19795149               HALMN120WLKMFTICTRC
NAUT8006148461201411092159LEAD00000100000031416912CUS-19795308               HALMN120WLKMFTICTRC
NAUT8006148461201411092200LEAD00000100000093036805CUS-19795309               HALMN120WLKMFTICTRC
NAUT8006516384201411090903LEAD00000100000027053336CUS-19793642               INSPN120WLKMFTICTRC
NAUT8006516384201411090904LEAD00000100000078550956CUS-19793643               INSPN120WLKMFTICTRC
NAUT8006516384201411090906LEAD00000100000066547785CUS-19793662               INSPN120WLKMFTICTRC
NAUT8006516384201411090907LEAD00000100000024541434CUS-19793650               INSPN120WLKMFTICTRC
NAUT8006516384201411091323LEAD00000100000062959618CUS-19794234               INSPN120WLKMFTICTRC
NAUT8006546989201411090458LEAD00000100000037397423CUS-19793255               TNTLL60*WLKMFTICTRC
NAUT8006546989201411092159LEAD00000100000094928760CUS-19795306               TNTLL60*WLKMFTICTRC
NAUT8006703864201411090836LEAD00000100000038116901CUS-19793592               METVN120WLKMFTICTRC
NAUT8006703864201411090836LEAD00000100000065804417CUS-19793593               METVN120WLKMFTICTRC
NAUT8006703864201411090836LEAD00000100000072764479CUS-19793589               METVN120WLKMFTICTRC
NAUT8006703864201411090844LEAD00000100000020712202CUS-19793591               METVN120WLKMFTICTRC
NAUT8006703864201411091041LEAD00000100000043016614CUS-19793914               METVN120WLKMFTICTRC
NAUT8007171498201411090738LEAD00000100000011783CUS-19793462               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090738LEAD00000100000028401910CUS-19793461               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090741LEAD00000100000053073920CUS-19793465               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090750LEAD00000100000053189262CUS-19793484               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090906LEAD00000100000021212410CUS-19793664               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090906LEAD00000100000038118901CUS-19793666               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090907LEAD00000100000026003304CUS-19793667               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090907LEAD00000100000028376910CUS-19793670               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090907LEAD00000100000071115318CUS-19793668               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090929LEAD00000100000014626585CUS-19793717               LMN*L60*WLKMFTICTRC
NAUT8007171498201411090929LEAD00000100000048219313CUS-19793719               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091021LEAD00000100000036870706CUS-19793872               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091022LEAD00000100000030076678CUS-19793877               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091022LEAD00000100000089106702CUS-19793874               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091023LEAD00000100000030663706CUS-19793875               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091023LEAD00000100000039823229CUS-19793871               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091028LEAD00000100000075243972CUS-19793873               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091214LEAD00000100000010456954CUS-19794104               LMN*L60*WLKMFTICTRC
NAUT8007171498201411091308LEAD00000100000087112505CUS-1903002               LMN*L60*WLKMFTICTRC
NAUT8007835061201411091408LEAD00000100000024013540CUS-19794369               CLASP60*JRNEYWSTTRC
NAUT8007835061201411091945LEAD00000100000024301CUS-19795147               CLASP60*JRNEYWSTTRC
NAUT8007835119201411091946LEAD00000100000081004719CUS-19795152               CMGCP60*GRT2HWSTTRC
NAUT8007835119201411091946LEAD00000100000098036425CUS-19795150               CMGCP60*GRT2HWSTTRC
NAUT8008591918201411090522LEAD00000100000035242785CUS-19793272               FOXNN120WLKMFTICTRC
NAUT8009257579201411091112LEAD00000100000070820225CUS-19541006               SPKEL60*WLKMFTICTRC
NAUT8009521784201411091221LEAD00000100000032822407CUS-6204402               FOX*NVODWALKATICTRC
NAUT8009521784201411091712LEAD00000100000056377320CUS-19794766               FOX*NVODWALKATICTRC
NAUT8009524921201411090457LEAD00000100000056270507CUS-19793251               ARTLL60*WLKMFTICTRC
NAUT8009524921201411091104LEAD00000100000068137402CUS-19793985               ARTLL60*WLKMFTICTRC
NAUT8009527976201411091319LEAD00000100000020706301CUS-19794231               WGN*N120WALKATICTRC
NAUT8009527976201411091322LEAD00000100000048202313CUS-19794238               WGN*N120WALKATICTRC
NAUT8009527976201411091323LEAD00000100000038701662CUS-19794235               WGN*N120WALKATICTRC
NAUT8009527976201411091332LEAD00000100000062948618CUS-19794253               WGN*N120WALKATICTRC
NAUT8009527976201411091500LEAD00000100000043227216CUS-19794512               WGN*N120WALKATICTRC
NAUT8009527976201411091501LEAD00000100000089106702CUS-19794513               WGN*N120WALKATICTRC
