US Short Form Leads
NAUT8002481408201510111435LEAD00000100000034684727CUS-20417414               ION*N120WMNS*TICTRC
NAUT8009260864201510110755LEAD00000100000055408612CUS-20416962               IONLN180ALOHATICTRC
NAUT8009260864201510111427LEAD00000100000060651773CUS-20417417               IONLN180ALOHATICTRC
NAUT8009315148201510110537LEAD00000100000078210210CUS-482029               TVGDN120HAMBYTICBMT
NAUT8009315148201510112337LEAD00000100000094509951CUS-20417904               TVGDN120HAMBYTICBMT
NAUT8009315148201510112339LEAD00000100000021216443CUS-355139               TVGDN120HAMBYTICBMT
NAUT8009521768201510110637LEAD00000100000078201210CUS-20416901               ESQ*N120HAMBYTICBMT
NAUT8009526851201510112136LEAD00000100000071109318CUS-20407263               PIVTN180HAMF*TICBMT
NAUT8009531973201510111608LEAD00000100000077657409CUS-20417514               DISEN60*ALOHATICTRC
NAUT8009531983201510111152LEAD00000100000039350601CUS-20417253               RELZ*N120HAMBYTICBMT
NAUT8009531983201510111736LEAD00000100000008759732CUS-20417644               RELZ*N120HAMBYTICBMT
NAUT8009531983201510111736LEAD00000100000029070803CUS-20417643               RELZ*N120HAMBYTICBMT
NAUT8009531983201510111740LEAD00000100000090249310CUS-20417648               RELZ*N120HAMBYTICBMT
NAUT8009531983201510111741LEAD00000100000045123740CUS-20417649               RELZ*N120HAMBYTICBMT
NAUT8009531983201510111829LEAD00000100000079360806CUS-20417694               RELZ*N120HAMBYTICBMT
NAUT8009561651201510111456LEAD00000100000090405818CUS-20417440               UPTVN120KMV**TICTRC
