CA Electronic Short Form Leads
NAUT8006516382201507130751ELED000001000000K0A 2613CUS-20295885               ICASESF14ABMT
NAUT8008521307201507131959ELED000001000000L3K 2905CUS-20297180               ICASESF14BBMT
NAUT8008521307201507132000ELED000001000000J1L 3819CUS-20297183               ICASESF14BBMT
NAUT8008521307201507132000ELED000001000000R0E 1204CUS-20297181               ICASESF14BBMT
NAUT8008521307201507132002ELED000001000000H7N 6514CUS-20297186               ICASESF14BBMT
NAUT8008521307201507132003ELED000001000000A0A 1709CUS-20297188               ICASESF14BBMT
NAUT8008521307201507132003ELED000001000000R0C 1204CUS-20297190               ICASESF14BBMT
NAUT8008521307201507132004ELED000001000000A1N 1709CUS-20297191               ICASESF14BBMT
NAUT8008521307201507132004ELED000001000000L7A 2647CUS-20297192               ICASESF14BBMT
NAUT8008521307201507132005ELED000001000000L4B 1416CUS-20297193               ICASESF14BBMT
NAUT8008521307201507132005ELED000001000000S9H 1306CUS-20297194               ICASESF14BBMT
NAUT8008521307201507132006ELED000001000000R0B 0204CUS-20297195               ICASESF14BBMT
NAUT8008521307201507132007ELED000001000000T2J 4403CUS-20297197               ICASESF14BBMT
NAUT8008521307201507132008ELED000001000000L4G 6289CUS-20297199               ICASESF14BBMT
NAUT8008521307201507132009ELED000001000000K7K 6613CUS-20262382               ICASESF14BBMT
NAUT8008521307201507132009ELED000001000000V1V 2250CUS-20297201               ICASESF14BBMT
NAUT8008521307201507132010ELED000001000000L6P 0416CUS-20297202               ICASESF14BBMT
NAUT8008521307201507132011ELED000001000000T2K 3403CUS-20297203               ICASESF14BBMT
NAUT8008521307201507132012ELED000001000000T3K 4403CUS-20297204               ICASESF14BBMT
NAUT8008521307201507132013ELED000001000000A8A 3709CUS-20297206               ICASESF14BBMT
NAUT8008521307201507132014ELED000001000000S0G 4306CUS-20297209               ICASESF14BBMT
NAUT8008521307201507132015ELED000001000000P6A 0705CUS-20203396               ICASESF14BBMT
NAUT8008521307201507132015ELED000001000000T4N 5403CUS-20297213               ICASESF14BBMT
NAUT8008521307201507132015ELED000001000000V4N 1604CUS-20297211               ICASESF14BBMT
NAUT8008521307201507132016ELED000001000000N0G 1226CUS-20297215               ICASESF14BBMT
NAUT8008521307201507132022ELED000001000000V7L 1604CUS-20297225               ICASESF14BBMT
NAUT8008521307201507132024ELED000001000000T0C 0780CUS-20297231               ICASESF14BBMT
NAUT8008521307201507132025ELED000001000000N2E 0519CUS-20297233               ICASESF14BBMT
NAUT8008521307201507132025ELED000001000000T1Y 5403CUS-20297232               ICASESF14BBMT
NAUT8008521307201507132026ELED000001000000T6X 0780CUS-20297235               ICASESF14BBMT
NAUT8008521307201507132026ELED000001000000X0E 0867CUS-20297234               ICASESF14BBMT
NAUT8008521307201507132028ELED000001000000T1W 1403CUS-20297241               ICASESF14BBMT
NAUT8008521307201507132029ELED000001000000S4T 2306CUS-20297243               ICASESF14BBMT
