US Electronic Short Form Leads
NAUT8002433968201411201028ELED00000100000090260323CUS-19816669               DDCESAWBFX_BFXBFX
NAUT8002615850201411201602ELED00000100000011434718CUS-19817379               DSEESF14FBMT
NAUT8002615850201411201815ELED00000100000043229614CUS-19817611               DSEESF14FBMT
NAUT8002615850201411201829ELED00000100000007034973CUS-19817638               DSEESF14FBMT
NAUT8002615850201411202042ELED00000100000059547406CUS-19817807               DSEESF14FBMT
NAUT8002615850201411202120ELED00000100000098908512CUS-19817851               DSEESF14FBMT
NAUT8002615850201411202327ELED00000100000095661916CUS-19817908               DSEESF14FBMT
NAUT8002696045201411200513ELED00000100000024333276CUS-19816134               dsetsf11gTRC
NAUT8002696045201411200717ELED00000100000018431570CUS-19816241               dsetsf11gTRC
NAUT8002696045201411200717ELED00000100000042376270CUS-19816239               dsetsf11gTRC
NAUT8002696045201411200718ELED00000100000013903607CUS-19816247               dsetsf11gTRC
NAUT8002696045201411200718ELED00000100000023089720CUS-19816244               dsetsf11gTRC
NAUT8002696045201411200718ELED00000100000038355731CUS-19816245               dsetsf11gTRC
NAUT8002696045201411200719ELED00000100000083661208CUS-19816248               dsetsf11gTRC
NAUT8002696045201411200719ELED00000100000091364818CUS-19816250               dsetsf11gTRC
NAUT8002696045201411200720ELED00000100000075803903CUS-19816255               dsetsf11gTRC
NAUT8002696045201411200720ELED00000100000077449719CUS-19816257               dsetsf11gTRC
NAUT8002696045201411200721ELED00000100000037745423CUS-19816262               dsetsf11gTRC
NAUT8002696045201411200721ELED00000100000038501931CUS-19816260               dsetsf11gTRC
NAUT8002696045201411200721ELED00000100000079703432CUS-19816263               dsetsf11gTRC
NAUT8002696045201411200722ELED00000100000045204513CUS-19816267               dsetsf11gTRC
NAUT8002696045201411200722ELED00000100000067037316CUS-19816265               dsetsf11gTRC
NAUT8002696045201411200723ELED00000100000071343318CUS-19816272               dsetsf11gTRC
NAUT8002696045201411200726ELED00000100000070578337CUS-19816284               dsetsf11gTRC
NAUT8002696045201411201010ELED00000100000095350209CUS-19816639               dsetsf11gTRC
NAUT8002696045201411201036ELED00000100000013069315CUS-19816700               dsetsf11gTRC
NAUT8002696045201411201257ELED00000100000031036478CUS-19817048               dsetsf11gTRC
NAUT8002696045201411201258ELED00000100000028607828CUS-19817050               dsetsf11gTRC
NAUT8002696045201411201302ELED00000100000066610785CUS-19817060               dsetsf11gTRC
NAUT8002696045201411201303ELED00000100000063462573CUS-19817062               dsetsf11gTRC
NAUT8002696045201411201304ELED00000100000027357336CUS-19817070               dsetsf11gTRC
NAUT8002696045201411201304ELED00000100000033870863CUS-19817068               dsetsf11gTRC
NAUT8002696045201411201304ELED00000100000063011314CUS-19817067               dsetsf11gTRC
NAUT8002696045201411201305ELED00000100000048382734CUS-19817072               dsetsf11gTRC
NAUT8002696045201411201305ELED00000100000083440208CUS-19817071               dsetsf11gTRC
NAUT8002696045201411201306ELED00000100000049285517CUS-19817075               dsetsf11gTRC
NAUT8002696045201411201306ELED00000100000075154214CUS-19817074               dsetsf11gTRC
NAUT8002696045201411201307ELED00000100000010465347CUS-19817079               dsetsf11gTRC
NAUT8002696045201411201307ELED00000100000043130740CUS-19817077               dsetsf11gTRC
NAUT8002696045201411201308ELED00000100000078242210CUS-19817084               dsetsf11gTRC
NAUT8002696045201411201356ELED00000100000028025CUS-19817153               dsetsf11gTRC
NAUT8002696045201411201530ELED00000100000077373713CUS-19817323               dsetsf11gTRC
NAUT8002696045201411201603ELED00000100000098075425CUS-19817382               dsetsf11gTRC
NAUT8002696045201411201643ELED00000100000031410912CUS-19817466               dsetsf11gTRC
NAUT8002696045201411201645ELED00000100000006489860CUS-19817471               dsetsf11gTRC
NAUT8002696045201411201645ELED00000100000072404870CUS-19817470               dsetsf11gTRC
NAUT8002696045201411201646ELED00000100000048085313CUS-19817473               dsetsf11gTRC
NAUT8002696045201411201646ELED00000100000092374505CUS-19817474               dsetsf11gTRC
NAUT8002696045201411201659ELED00000100000064050816CUS-19817495               dsetsf11gTRC
NAUT8002696045201411201712ELED00000100000092026760CUS-19817502               dsetsf11gTRC
NAUT8002696045201411201928ELED00000100000010002917CUS-19817732               dsetsf11gTRC
NAUT8002696045201411201931ELED00000100000075143903CUS-19817740               dsetsf11gTRC
NAUT8002696045201411201943ELED00000100000011236718CUS-19817755               dsetsf11gTRC
NAUT8002952928201411201028ELED00000100000029078803CUS-19816668               dseesf14cBMT
NAUT8002952928201411201300ELED00000100000098104206CUS-19817054               dseesf14cBMT
NAUT8002952928201411201740ELED00000100000004667207CUS-19540061               dseesf14cBMT
NAUT8003310360201411200658ELED00000100000065619720CUS-19816214               DSEESF14JBMT
NAUT8003310360201411200744ELED00000100000018840607CUS-19816304               DSEESF14JBMT
NAUT8003310360201411200830ELED00000100000044830419CUS-19816413               DSEESF14JBMT
NAUT8003310360201411200843ELED00000100000078043956CUS-19816439               DSEESF14JBMT
NAUT8003310360201411200844ELED00000100000072901479CUS-19816440               DSEESF14JBMT
NAUT8003310360201411200844ELED00000100000075063985CUS-19816441               DSEESF14JBMT
NAUT8003310360201411200845ELED00000100000019702302CUS-19693282               DSEESF14JBMT
NAUT8003310360201411200845ELED00000100000037601423CUS-19816444               DSEESF14JBMT
NAUT8003310360201411200846ELED00000100000010701917CUS-19816445               DSEESF14JBMT
NAUT8003310360201411200846ELED00000100000033572815CUS-19816446               DSEESF14JBMT
NAUT8003310360201411200859ELED00000100000032222904CUS-19816483               DSEESF14JBMT
NAUT8003310360201411201129ELED00000100000028215704CUS-19816831               DSEESF14JBMT
NAUT8003310360201411201129ELED00000100000042223931CUS-19816830               DSEESF14JBMT
NAUT8003310360201411201130ELED00000100000063129314CUS-19816832               DSEESF14JBMT
NAUT8003310360201411201135ELED00000100000027127336CUS-19816859               DSEESF14JBMT
NAUT8003310360201411201143ELED00000100000095062408CUS-19816868               DSEESF14JBMT
NAUT8003310360201411201244ELED00000100000032829352CUS-19817022               DSEESF14JBMT
NAUT8003310360201411201258ELED00000100000052302319CUS-19817051               DSEESF14JBMT
NAUT8003310360201411201400ELED00000100000060614312CUS-19817159               DSEESF14JBMT
NAUT8003310360201411201401ELED00000100000085282614CUS-19817160               DSEESF14JBMT
NAUT8003310360201411201429ELED00000100000020002202CUS-19817214               DSEESF14JBMT
NAUT8004018947201411200638ELED00000100000049008269CUS-19816185               dsetsf11aTRC
NAUT8004018947201411200748ELED00000100000011212347CUS-19816321               dsetsf11aTRC
NAUT8004018947201411200913ELED00000100000077388713CUS-19816512               dsetsf11aTRC
NAUT8004018947201411200915ELED00000100000010537914CUS-19816517               dsetsf11aTRC
NAUT8004018947201411200957ELED00000100000011432718CUS-19816593               dsetsf11aTRC
NAUT8004018947201411201029ELED00000100000051503402CUS-19816671               dsetsf11aTRC
NAUT8004018947201411201245ELED00000100000076539512CUS-19817025               dsetsf11aTRC
NAUT8004018947201411201310ELED00000100000057110605CUS-19817089               dsetsf11aTRC
NAUT8004018947201411201451ELED00000100000028216704CUS-19817263               dsetsf11aTRC
NAUT8004018947201411201543ELED00000100000045252513CUS-19817336               dsetsf11aTRC
NAUT8004018947201411201605ELED00000100000012078518CUS-19817389               dsetsf11aTRC
NAUT8004018947201411201717ELED00000100000028277949CUS-19817512               dsetsf11aTRC
NAUT8004018947201411201718ELED00000100000012209518CUS-19817515               dsetsf11aTRC
NAUT8004018947201411201858ELED00000100000043229614CUS-19817611               dsetsf11aTRC
NAUT8004018947201411202014ELED00000100000028217910CUS-19817785               dsetsf11aTRC
NAUT8004018947201411202118ELED00000100000037814423CUS-19817842               dsetsf11aTRC
NAUT8004018947201411202228ELED00000100000078232910CUS-19817894               dsetsf11aTRC
NAUT8004368368201411200720ELED00000100000006118860CUS-19816253               DSETDIRTRC
NAUT8004368368201411200749ELED00000100000060619804CUS-19816327               DSETDIRTRC
NAUT8004368368201411200750ELED00000100000020746240CUS-19816330               DSETDIRTRC
NAUT8004368368201411200750ELED00000100000020748301CUS-19816331               DSETDIRTRC
NAUT8004368368201411200750ELED00000100000094589707CUS-19816332               DSETDIRTRC
NAUT8004368368201411200751ELED00000100000037863865CUS-19816335               DSETDIRTRC
NAUT8004368368201411200830ELED00000100000061264309CUS-19816416               DSETDIRTRC
NAUT8004368368201411200933ELED00000100000085224602CUS-19816546               DSETDIRTRC
NAUT8004368368201411201004ELED00000100000077045254CUS-19816619               DSETDIRTRC
NAUT8004368368201411201228ELED00000100000056523218CUS-19816989               DSETDIRTRC
NAUT8004368368201411201425ELED00000100000008318CUS-19817208               DSETDIRTRC
NAUT8004368368201411201519ELED00000100000049120574CUS-19817309               DSETDIRTRC
NAUT8004368368201411201545ELED00000100000006851203CUS-19817342               DSETDIRTRC
NAUT8004368368201411201545ELED00000100000012418518CUS-19817341               DSETDIRTRC
NAUT8004368368201411201546ELED00000100000013820260CUS-19817344               DSETDIRTRC
NAUT8004368368201411201546ELED00000100000034222941CUS-19817345               DSETDIRTRC
NAUT8004368368201411201547ELED00000100000052001CUS-19817346               DSETDIRTRC
NAUT8004368368201411201547ELED00000100000053208414CUS-19817348               DSETDIRTRC
NAUT8004368368201411201548ELED00000100000036869334CUS-19817349               DSETDIRTRC
NAUT8004368368201411201549ELED00000100000030028678CUS-19817355               DSETDIRTRC
NAUT8004368368201411201549ELED00000100000077090832CUS-19817351               DSETDIRTRC
NAUT8004368368201411201550ELED00000100000028540910CUS-19817360               DSETDIRTRC
NAUT8004368368201411201550ELED00000100000085736520CUS-19817358               DSETDIRTRC
NAUT8004368368201411201558ELED00000100000002119857CUS-19817370               DSETDIRTRC
NAUT8004368368201411201604ELED00000100000052403319CUS-19817388               DSETDIRTRC
NAUT8004368368201411201615ELED00000100000091367818CUS-19817411               DSETDIRTRC
NAUT8004368368201411201632ELED00000100000026763304CUS-19817453               DSETDIRTRC
NAUT8004368368201411201746ELED00000100000047036812CUS-19817563               DSETDIRTRC
NAUT8004368368201411201748ELED00000100000030058678CUS-19817570               DSETDIRTRC
NAUT8004368368201411201753ELED00000100000003063CUS-19817573               DSETDIRTRC
NAUT8004368368201411201832ELED00000100000060707773CUS-19817646               DSETDIRTRC
NAUT8004368368201411201845ELED00000100000098284360CUS-19817663               DSETDIRTRC
NAUT8004368368201411201846ELED00000100000083501208CUS-19817665               DSETDIRTRC
NAUT8004368368201411201846ELED00000100000090280323CUS-19817664               DSETDIRTRC
NAUT8004368368201411201846ELED00000100000098579360CUS-19817666               DSETDIRTRC
NAUT8004767098201411200614ELED00000100000078245210CUS-19816166               dsetsf11hTRC
NAUT8004767098201411201219ELED00000100000076022817CUS-19816966               dsetsf11hTRC
NAUT8004767098201411201332ELED00000100000080123979CUS-19817120               dsetsf11hTRC
NAUT8004767098201411201518ELED00000100000078723CUS-19817304               dsetsf11hTRC
NAUT8004767098201411201615ELED00000100000002356781CUS-19817412               dsetsf11hTRC
NAUT8004767098201411201748ELED00000100000045420937CUS-19817568               dsetsf11hTRC
NAUT8004767098201411201904ELED00000100000093312616CUS-19817702               dsetsf11hTRC
NAUT8004767098201411202213ELED00000100000048843517CUS-19817889               dsetsf11hTRC
NAUT8005258332201411201044ELED00000100000019050610CUS-19816720               DSEESF14EBMT
NAUT8005258332201411201121ELED00000100000001420CUS-19816811               DSEESF14EBMT
NAUT8005258332201411201128ELED00000100000032828407CUS-19816829               DSEESF14EBMT
NAUT8005258332201411201613ELED00000100000006790860CUS-19817406               DSEESF14EBMT
NAUT8005258332201411201842ELED00000100000095758916CUS-19817656               DSEESF14EBMT
NAUT8005258332201411201930ELED00000100000076048325CUS-19817739               DSEESF14EBMT
NAUT8005361847201411200814ELED00000100000033064954CUS-19816378               dseesf14dBMT
NAUT8005361847201411200814ELED00000100000075165972CUS-19816379               dseesf14dBMT
NAUT8005361847201411200843ELED00000100000033430561CUS-19816414               SAWDSEESF14DTRC
NAUT8006188853201411201011ELED00000100000011756516CUS-19701952               SAWWEBBFBFX
NAUT8006566904201411200156ELED00000100000023180804CUS-19816097               DSEESF14HBMT
NAUT8006566904201411201033ELED00000100000075240469CUS-19816683               DSEESF14HBMT
NAUT8006566904201411201045ELED00000100000032446954CUS-19816723               DSEESF14HBMT
NAUT8006566904201411201045ELED00000100000051246605CUS-19816724               DSEESF14HBMT
NAUT8006566904201411201046ELED00000100000023851757CUS-19658835               DSEESF14HBMT
NAUT8006566904201411201058ELED00000100000048021586CUS-19816749               DSEESF14HBMT
NAUT8006566904201411201059ELED00000100000076454254CUS-19816750               DSEESF14HBMT
NAUT8006944027201411201809ELED00000100000033166CUS-19817600               default_adidTRC
NAUT8007075879201411200643ELED00000100000033169786CUS-19816192               dsetsf11eTRC
NAUT8007075879201411200700ELED00000100000070427985CUS-19816217               dsetsf11eTRC
NAUT8007075879201411200714ELED00000100000033617813CUS-19816231               dsetsf11eTRC
NAUT8007075879201411200715ELED00000100000035211205CUS-19816233               dsetsf11eTRC
NAUT8007075879201411200716ELED00000100000023223804CUS-19816237               dsetsf11eTRC
NAUT8007075879201411200716ELED00000100000029115803CUS-19816235               dsetsf11eTRC
NAUT8007075879201411200716ELED00000100000064084816CUS-19816236               dsetsf11eTRC
NAUT8007075879201411200719ELED00000100000053188262CUS-19816251               dsetsf11eTRC
NAUT8007075879201411200724ELED00000100000021046443CUS-19816277               dsetsf11eTRC
NAUT8007075879201411200724ELED00000100000037148615CUS-19816274               dsetsf11eTRC
NAUT8007075879201411200725ELED00000100000010977347CUS-19816278               dsetsf11eTRC
NAUT8007075879201411200728ELED00000100000089146702CUS-19816288               dsetsf11eTRC
NAUT8007075879201411200800ELED00000100000068107402CUS-19816355               dsetsf11eTRC
NAUT8007075879201411200806ELED00000100000065807417CUS-19816367               dsetsf11eTRC
NAUT8007075879201411200816ELED00000100000011784631CUS-19816387               dsetsf11eTRC
NAUT8007075879201411200816ELED00000100000048383248CUS-19816383               dsetsf11eTRC
NAUT8007075879201411200817ELED00000100000072762479CUS-19816389               dsetsf11eTRC
NAUT8007075879201411200848ELED00000100000015116412CUS-19816452               dsetsf11eTRC
NAUT8007075879201411200848ELED00000100000015904814CUS-19816449               dsetsf11eTRC
NAUT8007075879201411200849ELED00000100000004658207CUS-19816454               dsetsf11eTRC
NAUT8007075879201411200849ELED00000100000019134267CUS-19816453               dsetsf11eTRC
NAUT8007075879201411200849ELED00000100000033881863CUS-19816457               dsetsf11eTRC
NAUT8007075879201411200850ELED00000100000037074615CUS-19816462               dsetsf11eTRC
NAUT8007075879201411200850ELED00000100000054313920CUS-19816460               dsetsf11eTRC
NAUT8007075879201411200851ELED00000100000032819407CUS-19816463               dsetsf11eTRC
NAUT8007075879201411200851ELED00000100000093901831CUS-19816466               dsetsf11eTRC
NAUT8007075879201411200852ELED00000100000088242575CUS-19816470               dsetsf11eTRC
NAUT8007075879201411200853ELED00000100000077864979CUS-19816471               dsetsf11eTRC
NAUT8007075879201411200854ELED00000100000055920507CUS-19659338               dsetsf11eTRC
NAUT8007075879201411200854ELED00000100000075169972CUS-19816472               dsetsf11eTRC
NAUT8007075879201411200912ELED00000100000013682315CUS-19816511               dsetsf11eTRC
NAUT8007075879201411200936ELED00000100000085345623CUS-19816552               SAWSF11ETRC
NAUT8007075879201411201002ELED00000100000010468646CUS-19816614               dsetsf11eTRC
NAUT8007075879201411201003ELED00000100000078573956CUS-19816615               dsetsf11eTRC
NAUT8007075879201411201027ELED00000100000029631571CUS-19795463               SAWSF11EBFX
NAUT8007075879201411201028ELED00000100000029631571CUS-19795463               SAWSF11ETRC
NAUT8007075879201411201111ELED00000100000092173562CUS-19816787               dsetsf11eTRC
NAUT8007075879201411201148ELED00000100000094536510CUS-19816883               dsetsf11eTRC
NAUT8007075879201411201149ELED00000100000086327928CUS-19816885               dsetsf11eTRC
NAUT8007075879201411201150ELED00000100000094540510CUS-19816889               dsetsf11eTRC
NAUT8007075879201411201150ELED00000100000099705907CUS-19816887               dsetsf11eTRC
NAUT8007075879201411201205ELED00000100000008722732CUS-19816930               dsetsf11eTRC
NAUT8007075879201411201206ELED00000100000073029907CUS-19816931               dsetsf11eTRC
NAUT8007075879201411201206ELED00000100000080751619CUS-19816932               dsetsf11eTRC
NAUT8007075879201411201207ELED00000100000003220603CUS-19816933               dsetsf11eTRC
NAUT8007075879201411201207ELED00000100000031410912CUS-19816934               dsetsf11eTRC
NAUT8007075879201411201208ELED00000100000004064207CUS-19816935               dsetsf11eTRC
NAUT8007075879201411201208ELED00000100000082834307CUS-19816936               dsetsf11eTRC
NAUT8007075879201411201209ELED00000100000032224904CUS-19816939               dsetsf11eTRC
NAUT8007075879201411201210ELED00000100000019805320CUS-19816943               dsetsf11eTRC
NAUT8007075879201411201211ELED00000100000089131702CUS-19816948               dsetsf11eTRC
NAUT8007075879201411201217ELED00000100000068949308CUS-19816961               dsetsf11eTRC
NAUT8007075879201411201219ELED00000100000077304936CUS-19816964               dsetsf11eTRC
NAUT8007075879201411201232ELED00000100000054301920CUS-19816999               dsetsf11eTRC
NAUT8007075879201411201315ELED00000100000090247310CUS-19817104               dsetsf11eTRC
NAUT8007075879201411201451ELED00000100000091406818CUS-19817264               dsetsf11eTRC
NAUT8007075879201411201506ELED00000100000091750626CUS-19817289               dsetsf11eTRC
NAUT8007075879201411201506ELED00000100000095148408CUS-19817288               dsetsf11eTRC
NAUT8007075879201411201614ELED00000100000088240575CUS-19817409               dsetsf11eTRC
NAUT8007075879201411202143ELED00000100000021206410CUS-19817867               dsetsf11eTRC
NAUT8007075915201411201828ELED00000100000029483843CUS-19817634               dsetsf11bTRC
NAUT8008483965201411200011ELED00000100000056071952CUS-19816077               DSEESF14GBMT
NAUT8008483965201411200108ELED00000100000001851978CUS-19816090               DSEESF14GBMT
NAUT8008483965201411200125ELED00000100000001851CUS-19816091               DSEESF14GBMT
NAUT8008483965201411200137ELED00000100000084404801CUS-19816095               DSEESF14GBMT
NAUT8008483965201411200956ELED00000100000093654559CUS-19816589               DSEESF14GBMT
NAUT8008483965201411201100ELED00000100000033073561CUS-19816754               DSEESF14GBMT
NAUT8008483965201411201202ELED00000100000093906831CUS-19816920               DSEESF14GBMT
NAUT8008483965201411201230ELED00000100000048507810CUS-19816994               DSEESF14GBMT
NAUT8008483965201411201302ELED00000100000077011832CUS-19817058               DSEESF14GBMT
NAUT8008483965201411201314ELED00000100000094583925CUS-19817100               DSEESF14GBMT
NAUT8008483965201411201514ELED00000100000019027215CUS-19817299               DSEESF14GBMT
NAUT8008483965201411201829ELED00000100000015001585CUS-19817637               DSEESF14GBMT
NAUT8008483965201411201929ELED00000100000078729818CUS-19817735               DSEESF14GBMT
NAUT8008483965201411201930ELED00000100000012543CUS-19817741               DSEESF14GBMT
NAUT8008483965201411202343ELED00000100000098354408CUS-19817916               DSEESF14GBMT
NAUT8008494691201411200002ELED00000100000075219214CUS-19816074               dsetsf11dTRC
NAUT8008494691201411200500ELED00000100000004619207CUS-19816132               dsetsf11dTRC
NAUT8008494691201411200742ELED00000100000039350601CUS-19816298               dsetsf11dTRC
NAUT8008494691201411200933ELED00000100000003104603CUS-19816547               dsetsf11dTRC
NAUT8008494691201411201000ELED00000100000003104603CUS-19816605               dsetsf11dTRC
NAUT8008494691201411201030ELED00000100000029566843CUS-19816680               dsetsf11dTRC
NAUT8008494691201411201048ELED00000100000096130530CUS-19816735               dsetsf11dTRC
NAUT8008494691201411201220ELED00000100000000959787CUS-19816971               dsetsf11dTRC
NAUT8008494691201411201233ELED00000100000003246603CUS-19817002               dsetsf11dTRC
NAUT8008494691201411201310ELED00000100000047874812CUS-19817088               dsetsf11dTRC
NAUT8008494691201411201315ELED00000100000036117817CUS-19817105               dsetsf11dTRC
NAUT8008494691201411201316ELED00000100000001902781CUS-19817106               dsetsf11dTRC
NAUT8008494691201411201316ELED00000100000002184339CUS-19817108               dsetsf11dTRC
NAUT8008494691201411201316ELED00000100000089102702CUS-19817107               dsetsf11dTRC
NAUT8008494691201411201452ELED00000100000098944509CUS-19817265               dsetsf11dTRC
NAUT8008494691201411201519ELED00000100000090045805CUS-19817310               dsetsf11dTRC
NAUT8008494691201411201604ELED00000100000096789808CUS-19817385               dsetsf11dTRC
NAUT8008494691201411201606ELED00000100000032310850CUS-19817394               dsetsf11dTRC
NAUT8008494691201411201632ELED00000100000029607864CUS-19817450               dsetsf11dTRC
NAUT8008494691201411201845ELED00000100000080127303CUS-19817662               dsetsf11dTRC
NAUT8008494691201411201943ELED00000100000048125313CUS-19817754               dsetsf11dTRC
NAUT8008494691201411202013ELED00000100000075126214CUS-19817784               dsetsf11dTRC
NAUT8008494691201411202016ELED00000100000075238214CUS-19817791               dsetsf11dTRC
NAUT8008494691201411202113ELED00000100000084790435CUS-19817829               dsetsf11dTRC
NAUT8008494691201411202117ELED00000100000015417724CUS-19817838               dsetsf11dTRC
NAUT8008494691201411202117ELED00000100000077583832CUS-19817837               dsetsf11dTRC
NAUT8008494691201411202328ELED00000100000075081318CUS-19817910               dsetsf11dTRC
NAUT8008597365201411201728ELED00000100000008021856CUS-19817534               DSEESF14IBMT
NAUT8008597365201411201900ELED00000100000077536281CUS-19817687               DSEESF14IBMT
NAUT8008731642201411200559ELED00000100000035072256CUS-19816153               DSETSF14ATRC
NAUT8008731642201411200745ELED00000100000046077317CUS-19816312               DSETSF14ATRC
NAUT8008731642201411200745ELED00000100000080537970CUS-19816309               DSETSF14ATRC
NAUT8008731642201411200746ELED00000100000032226904CUS-19816313               DSETSF14ATRC
NAUT8008731642201411200746ELED00000100000037363423CUS-19816315               DSETSF14ATRC
NAUT8008731642201411200746ELED00000100000046404219CUS-19816316               DSETSF14ATRC
NAUT8008731642201411200747ELED00000100000007307609CUS-19816318               DSETSF14ATRC
NAUT8008731642201411200747ELED00000100000037166931CUS-19816317               DSETSF14ATRC
NAUT8008731642201411200747ELED00000100000083709208CUS-19816319               DSETSF14ATRC
NAUT8008731642201411200759ELED00000100000037405423CUS-19816353               DSETSF14ATRC
NAUT8008731642201411200831ELED00000100000034772407CUS-19816420               DSETSF14ATRC
NAUT8008731642201411200831ELED00000100000063867573CUS-19816419               DSETSF14ATRC
NAUT8008731642201411200947ELED00000100000053158CUS-19816582               DSETSF14ATRC
NAUT8008731642201411201037ELED00000100000078114210CUS-19816703               DSETSF14ATRC
NAUT8008731642201411201047ELED00000100000098282425CUS-19816731               DSETSF14ATRC
NAUT8008731642201411201103ELED00000100000024551434CUS-19816764               DSETSF14ATRC
NAUT8008731642201411201103ELED00000100000048154248CUS-19816763               DSETSF14ATRC
NAUT8008731642201411201104ELED00000100000044221234CUS-19816766               DSETSF14ATRC
NAUT8008731642201411201104ELED00000100000063857270CUS-19816767               DSETSF14ATRC
