CA Electronic Short Form Leads
NAUT8006149233201411231945ELED000001000000N3B 1519CUS-19824607               icastsf12bTRC
NAUT8009526812201411230803ELED000001000000E1A 2506CUS-19822461               icastsf09buytcTRC
NAUT8009526812201411230803ELED000001000000R3M 1204CUS-19822460               icastsf09buytcTRC
NAUT8009526812201411230804ELED000001000000T3M 0403CUS-19822462               icastsf09buytcTRC
NAUT8009526812201411230804ELED000001000000V3A 0604CUS-19822463               icastsf09buytcTRC
NAUT8009526812201411230826ELED000001000000L4X 2905CUS-19822530               icastsf09buytcTRC
NAUT8009526812201411230826ELED000001000000P7A 0807CUS-19822529               icastsf09buytcTRC
NAUT8009526812201411230846ELED000001000000T2Z 1587CUS-19822578               icastsf09buytcTRC
NAUT8009526812201411230901ELED000001000000A1Y 1709CUS-19822603               icastsf09buytcTRC
NAUT8009526812201411230902ELED000001000000L1G 7905CUS-19822605               icastsf09buytcTRC
NAUT8009526812201411230922ELED000001000000M4A 2416CUS-19822635               SAWGETATCCATRC
NAUT8009526812201411230933ELED000001000000L6A 2905CUS-19822659               icastsf09buytcTRC
NAUT8009526812201411230948ELED000001000000T4R 3403CUS-19822689               icastsf09buytcTRC
NAUT8009526812201411231037ELED000001000000H8Z 1514CUS-19822861               icastsf09buytcTRC
NAUT8009526812201411231037ELED000001000000K2S 0613CUS-19822862               icastsf09buytcTRC
NAUT8009526812201411231037ELED000001000000R0J 1204CUS-19822863               icastsf09buytcTRC
NAUT8009526812201411231039ELED000001000000L1J 1780CUS-19822867               icastsf09buytcTRC
NAUT8009526812201411231051ELED000001000000L0M 1705CUS-19822905               icastsf09buytcTRC
NAUT8009526812201411231051ELED000001000000T3K 3403CUS-19822906               icastsf09buytcTRC
NAUT8009526812201411231052ELED000001000000B4V 2902CUS-19822910               icastsf09buytcTRC
NAUT8009526812201411231052ELED000001000000K0C 1613CUS-19822909               icastsf09buytcTRC
NAUT8009526812201411231052ELED000001000000T6G 0780CUS-19822908               icastsf09buytcTRC
NAUT8009526812201411231053ELED000001000000R0E 1204CUS-19822912               icastsf09buytcTRC
NAUT8009526812201411231147ELED000001000000K9L 1705CUS-19823040               icastsf09buytcTRC
NAUT8009526812201411231202ELED000001000000J7R 1514CUS-19823068               icastsf09buytcTRC
NAUT8009526812201411231202ELED000001000000K1C 1613CUS-19823067               icastsf09buytcTRC
NAUT8009526812201411231216ELED000001000000T2E 3403CUS-19823091               icastsf09buytcTRC
NAUT8009526812201411231248ELED000001000000V3W 2604CUS-19823155               icastsf09buytcTRC
NAUT8009526812201411231253ELED000001000000P9A 1807CUS-19823173               icastsf09buytcTRC
NAUT8009526812201411231301ELED000001000000T2J 1403CUS-19823199               icastsf09buytcTRC
NAUT8009526812201411231302ELED000001000000S0C 0306CUS-19823202               icastsf09buytcTRC
NAUT8009526812201411231325ELED000001000000S0L 1306CUS-19823270               icastsf09buytcTRC
NAUT8009526812201411231436ELED000001000000L6S 4416CUS-19823601               icastsf09buytcTRC
NAUT8009526812201411231437ELED000001000000N6K 1519CUS-19823606               icastsf09buytcTRC
NAUT8009526812201411231442ELED000001000000R2X 1204CUS-19823624               icastsf09buytcTRC
NAUT8009526812201411231443ELED000001000000P0A 1705CUS-19823625               icastsf09buytcTRC
NAUT8009526812201411231443ELED000001000000T2M 2403CUS-19823626               icastsf09buytcTRC
NAUT8009526812201411231444ELED000001000000L2E 2289CUS-19823628               icastsf09buytcTRC
NAUT8009526812201411231444ELED000001000000R0J 1204CUS-19823627               icastsf09buytcTRC
NAUT8009526812201411231457ELED000001000000V2R 5604CUS-19823682               icastsf09buytcTRC
NAUT8009526812201411231518ELED000001000000T8H 2587CUS-19823764               icastsf09buytcTRC
NAUT8009526812201411231529ELED000001000000R2N 4204CUS-19820585               icastsf09buytcTRC
NAUT8009526812201411231530ELED000001000000T2J 7403CUS-19823801               icastsf09buytcTRC
NAUT8009526812201411231530ELED000001000000T2Z 2403CUS-19823802               icastsf09buytcTRC
NAUT8009526812201411231530ELED000001000000T3J 1587CUS-19823800               icastsf09buytcTRC
NAUT8009526812201411231530ELED000001000000T3J 5587CUS-19823804               icastsf09buytcTRC
NAUT8009526812201411231531ELED000001000000L4M 2705CUS-19823811               icastsf09buytcTRC
NAUT8009526812201411231531ELED000001000000T0A 2780CUS-19823810               icastsf09buytcTRC
NAUT8009526812201411231531ELED000001000000T2W 3403CUS-19823807               icastsf09buytcTRC
NAUT8009526812201411231532ELED000001000000T3K 5403CUS-19823812               icastsf09buytcTRC
NAUT8009526812201411231532ELED000001000000T4R 3403CUS-19823814               icastsf09buytcTRC
NAUT8009526812201411231532ELED000001000000T8N 5780CUS-19823815               icastsf09buytcTRC
NAUT8009526812201411231533ELED000001000000N0G 2519CUS-19823818               icastsf09buytcTRC
NAUT8009526812201411231533ELED000001000000N3C 4519CUS-19823817               icastsf09buytcTRC
NAUT8009526812201411231533ELED000001000000T6R 0780CUS-19823820               icastsf09buytcTRC
NAUT8009526812201411231533ELED000001000000V0B 1250CUS-19823821               icastsf09buytcTRC
NAUT8009526812201411231534ELED000001000000J0S 1450CUS-19823822               icastsf09buytcTRC
NAUT8009526812201411231534ELED000001000000T2E 6403CUS-19823824               icastsf09buytcTRC
NAUT8009526812201411231535ELED000001000000T2Y 3587CUS-19823827               icastsf09buytcTRC
NAUT8009526812201411231535ELED000001000000T5G 2780CUS-19823829               icastsf09buytcTRC
NAUT8009526812201411231535ELED000001000000T6J 7780CUS-19823826               icastsf09buytcTRC
NAUT8009526812201411231535ELED000001000000V3S 9604CUS-19823828               icastsf09buytcTRC
NAUT8009526812201411231536ELED000001000000S0G 5306CUS-19823832               icastsf09buytcTRC
NAUT8009526812201411231536ELED000001000000S4X 2306CUS-19823830               icastsf09buytcTRC
NAUT8009526812201411231536ELED000001000000T2J 4403CUS-19823831               icastsf09buytcTRC
NAUT8009526812201411231541ELED000001000000T0K 0403CUS-19823861               icastsf09buytcTRC
NAUT8009526812201411231541ELED000001000000T3B 5403CUS-19823860               icastsf09buytcTRC
NAUT8009526812201411231541ELED000001000000T5E 5780CUS-19823858               icastsf09buytcTRC
NAUT8009526812201411231542ELED000001000000R2J 0204CUS-19823863               icastsf09buytcTRC
NAUT8009526812201411231542ELED000001000000S7J 4306CUS-19823862               icastsf09buytcTRC
NAUT8009526812201411231542ELED000001000000T4S 2403CUS-19823864               icastsf09buytcTRC
NAUT8009526812201411231543ELED000001000000P0K 1705CUS-19823869               icastsf09buytcTRC
NAUT8009526812201411231543ELED000001000000T2T 6403CUS-19823868               icastsf09buytcTRC
NAUT8009526812201411231543ELED000001000000V0K 1250CUS-19823870               icastsf09buytcTRC
NAUT8009526812201411231544ELED000001000000T5A 0780CUS-19823871               icastsf09buytcTRC
NAUT8009526812201411231544ELED000001000000V2S 7604CUS-19823876               icastsf09buytcTRC
NAUT8009526812201411231545ELED000001000000T3E 7587CUS-19823877               icastsf09buytcTRC
NAUT8009526812201411231545ELED000001000000T4X 0780CUS-19823878               icastsf09buytcTRC
NAUT8009526812201411231545ELED000001000000V2J 6250CUS-19823879               icastsf09buytcTRC
NAUT8009526812201411231549ELED000001000000T3A 3403CUS-19823898               icastsf09buytcTRC
NAUT8009526812201411231615ELED000001000000S0C 0306CUS-19823987               icastsf09buytcTRC
NAUT8009526812201411231624ELED000001000000T7S 1780CUS-19824021               icastsf09buytcTRC
NAUT8009526812201411231632ELED000001000000N7M 5226CUS-19824055               icastsf09buytcTRC
NAUT8009526812201411231632ELED000001000000T0K 0403CUS-19824058               icastsf09buytcTRC
NAUT8009526812201411231648ELED000001000000T8B 1780CUS-19824097               icastsf09buytcTRC
NAUT8009526812201411231649ELED000001000000X0E 0867CUS-19824098               icastsf09buytcTRC
NAUT8009526812201411231707ELED000001000000L6H 7289CUS-19824161               icastsf09buytcTRC
NAUT8009526812201411231707ELED000001000000P7L 0807CUS-19824162               icastsf09buytcTRC
NAUT8009526812201411231708ELED000001000000L6M 0905CUS-19824166               icastsf09buytcTRC
NAUT8009526812201411231708ELED000001000000N0E 1519CUS-19824169               icastsf09buytcTRC
NAUT8009526812201411231708ELED000001000000N6C 5519CUS-19824163               icastsf09buytcTRC
NAUT8009526812201411231709ELED000001000000N9A 1519CUS-19824172               icastsf09buytcTRC
NAUT8009526812201411231738ELED000001000000T5X 3780CUS-19824287               icastsf09buytcTRC
NAUT8009526812201411231746ELED000001000000L6X 3416CUS-19824319               icastsf09buytcTRC
NAUT8009526812201411231758ELED000001000000V0M 1604CUS-19824360               icastsf09buytcTRC
NAUT8009526812201411231821ELED000001000000L4S 2416CUS-19824425               icastsf09buytcTRC
NAUT8009526812201411231832ELED000001000000T2R 1403CUS-19824458               icastsf09buytcTRC
NAUT8009526812201411231846ELED000001000000B4E 3416CUS-19824486               icastsf09buytcTRC
NAUT8009526812201411231846ELED000001000000H3W 2514CUS-19824482               icastsf09buytcTRC
NAUT8009526812201411231846ELED000001000000L6P 1647CUS-19824485               icastsf09buytcTRC
NAUT8009526812201411231847ELED000001000000K1G 5613CUS-19824487               icastsf09buytcTRC
NAUT8009526812201411231906ELED000001000000H3R 2514CUS-19824528               icastsf09buytcTRC
NAUT8009526812201411231916ELED000001000000L3X 2905CUS-19824552               icastsf09buytcTRC
NAUT8009526812201411231916ELED000001000000M8V 2416CUS-19824553               icastsf09buytcTRC
NAUT8009526812201411231916ELED000001000000T5C 1587CUS-19824550               icastsf09buytcTRC
NAUT8009526812201411231917ELED000001000000T2J 6403CUS-19824554               icastsf09buytcTRC
NAUT8009526812201411231917ELED000001000000V6A 0778CUS-19824555               icastsf09buytcTRC
NAUT8009526812201411231934ELED000001000000K0M 2705CUS-19824591               icastsf09buytcTRC
NAUT8009526812201411231934ELED000001000000L0R 1289CUS-19824592               icastsf09buytcTRC
NAUT8009526812201411231934ELED000001000000L3V 7705CUS-19824590               icastsf09buytcTRC
NAUT8009526812201411231934ELED000001000000N3S 4519CUS-19824593               icastsf09buytcTRC
NAUT8009526812201411231944ELED000001000000L1J 7519CUS-19824604               icastsf09buytcTRC
NAUT8009526812201411231945ELED000001000000B1V 1902CUS-19824606               icastsf09buytcTRC
NAUT8009526812201411231945ELED000001000000L2M 5289CUS-19824605               icastsf09buytcTRC
NAUT8009526812201411231945ELED000001000000L8H 5289CUS-19824609               icastsf09buytcTRC
NAUT8009526812201411232003ELED000001000000L6V 4416CUS-19824642               icastsf09buytcTRC
NAUT8009526812201411232004ELED000001000000L2M 5905CUS-19824643               icastsf09buytcTRC
NAUT8009526812201411232004ELED000001000000P3E 2705CUS-19824644               icastsf09buytcTRC
NAUT8009526812201411232004ELED000001000000T3C 3403CUS-19824645               icastsf09buytcTRC
NAUT8009526812201411232005ELED000001000000J8Y 5819CUS-19824646               icastsf09buytcTRC
NAUT8009526812201411232005ELED000001000000N3B 1226CUS-19824647               icastsf09buytcTRC
NAUT8009526812201411232006ELED000001000000K1C 6613CUS-19824652               icastsf09buytcTRC
NAUT8009526812201411232006ELED000001000000L2T 3905CUS-19824650               icastsf09buytcTRC
NAUT8009526812201411232006ELED000001000000L6Z 0647CUS-19824651               icastsf09buytcTRC
NAUT8009526812201411232016ELED000001000000V2K 5250CUS-19824664               icastsf09buytcTRC
NAUT8009526812201411232030ELED000001000000L8L 6289CUS-19824688               icastsf09buytcTRC
NAUT8009526812201411232031ELED000001000000L0R 1905CUS-19824690               icastsf09buytcTRC
NAUT8009526812201411232031ELED000001000000L8J 3905CUS-19824689               icastsf09buytcTRC
NAUT8009526812201411232031ELED000001000000P0H 1705CUS-19824691               icastsf09buytcTRC
NAUT8009526812201411232032ELED000001000000N3W 2905CUS-19824694               icastsf09buytcTRC
NAUT8009526812201411232048ELED000001000000N2B 1519CUS-19824715               icastsf09buytcTRC
NAUT8009526812201411232146ELED000001000000T1P 1403CUS-19824775               icastsf09buytcTRC
NAUT8009526812201411232204ELED000001000000L7C 1416CUS-19824798               icastsf09buytcTRC
