CA Electronic Short Form Leads
NAUT8006149233201505181117ELED000001000000N0P 1519CUS-20224493               icastsf12bTRC
NAUT8007781519201505181927ELED000001000000P4R 1705CUS-20225327               ICASTSF15BTRC
NAUT8007781519201505181929ELED000001000000K8V 5705CUS-20225332               ICASTSF15BTRC
NAUT8007781519201505181929ELED000001000000L1C 1289CUS-20225331               ICASTSF15BTRC
NAUT8007781519201505181930ELED000001000000S3N 1306CUS-20225336               ICASTSF15BTRC
NAUT8007781519201505181930ELED000001000000V8S 3250CUS-20225335               ICASTSF15BTRC
NAUT8007781519201505181933ELED000001000000V9B 1778CUS-20225341               ICASTSF15BTRC
NAUT8007781519201505181934ELED000001000000M6N 1647CUS-20225342               ICASTSF15BTRC
NAUT8007781519201505181934ELED000001000000T3E 7403CUS-20225343               ICASTSF15BTRC
NAUT8007781519201505181942ELED000001000000B0E 3902CUS-20225354               ICASTSF15BTRC
NAUT8007781519201505181957ELED000001000000R3T 2204CUS-20225370               ICASTSF15BTRC
NAUT8007781519201505182022ELED000001000000T8N 2780CUS-20225393               ICASTSF15BTRC
NAUT8007781519201505182024ELED000001000000K1T 2647CUS-20225396               ICASTSF15BTRC
NAUT8007781519201505182031ELED000001000000T1C 0403CUS-20225403               ICASTSF15BTRC
NAUT8007781519201505182035ELED000001000000T5T 5780CUS-20225410               ICASTSF15BTRC
NAUT8007781519201505182048ELED000001000000S0G 5306CUS-20225416               ICASTSF15BTRC
NAUT8007781519201505182052ELED000001000000R9A 1204CUS-20225423               ICASTSF15BTRC
NAUT8007781519201505182052ELED000001000000T0A 1780CUS-20225424               ICASTSF15BTRC
NAUT8007781519201505182052ELED000001000000T7E 3780CUS-20225425               ICASTSF15BTRC
NAUT8007781519201505182053ELED000001000000K6J 5613CUS-20225426               ICASTSF15BTRC
NAUT8007781519201505182054ELED000001000000P0R 1705CUS-20225428               ICASTSF15BTRC
NAUT8007781519201505182058ELED000001000000T0J 1403CUS-20225435               ICASTSF15BTRC
NAUT8007781519201505182059ELED000001000000V0H 1250CUS-20225438               ICASTSF15BTRC
NAUT8007781519201505182202ELED000001000000T0E 0780CUS-20225472               ICASTSF15BTRC
NAUT8007781519201505182203ELED000001000000V1X 6250CUS-20225474               ICASTSF15BTRC
NAUT8007781519201505182231ELED000001000000X0A 0867CUS-20225486               ICASTSF15BTRC
NAUT8007781519201505182241ELED000001000000S0A 1306CUS-20225490               ICASTSF15BTRC
NAUT8008521307201505180005ELED000001000000V1T 9250CUS-20223883               ICASESF14BBMT
NAUT8008521307201505180455ELED000001000000M1P 5647CUS-20223940               ICASESF14BBMT
NAUT8008521307201505180740ELED000001000000T6A 3780CUS-20224069               ICASESF14BBMT
NAUT8008521307201505180750ELED000001000000N6G 4519CUS-20224079               ICASESF14BBMT
NAUT8008521307201505180820ELED000001000000P7A 7807CUS-20224130               ICASESF14BBMT
NAUT8008521307201505180845ELED000001000000M4L 1647CUS-20224172               ICASESF14BBMT
NAUT8008521307201505180847ELED000001000000L7T 3905CUS-20224176               ICASESF14BBMT
NAUT8008521307201505181015ELED000001000000T2A 5403CUS-20224341               ICASESF14BBMT
NAUT8008521307201505181022ELED000001000000B2G 2902CUS-20224361               ICASESF14BBMT
NAUT8008521307201505181040ELED000001000000L6P 1905CUS-20224398               ICASESF14BBMT
NAUT8008521307201505181049ELED000001000000T2A 1403CUS-20224427               ICASESF14BBMT
NAUT8008521307201505181057ELED000001000000R0C 2204CUS-20224446               ICASESF14BBMT
NAUT8008521307201505181108ELED000001000000V0H 1250CUS-20224469               ICASESF14BBMT
NAUT8008521307201505181126ELED000001000000N2E 3226CUS-20224517               ICASESF14BBMT
NAUT8008521307201505181245ELED000001000000P9N 3807CUS-20224715               ICASESF14BBMT
NAUT8008521307201505181255ELED000001000000M1V 4416CUS-20224730               ICASESF14BBMT
NAUT8008521307201505181340ELED000001000000R3T 3204CUS-20224816               ICASESF14BBMT
NAUT8008521307201505181735ELED000001000000T4P 3403CUS-20225181               ICASESF14BBMT
NAUT8008521307201505181818ELED000001000000N3W 1905CUS-20225226               ICASESF14BBMT
NAUT8008521307201505181902ELED000001000000L4H 0647CUS-20225285               ICASESF14BBMT
NAUT8008521307201505181931ELED000001000000P9A 2CUS-20225338               ICASESF14BBMT
NAUT8008521307201505181945ELED000001000000V0J 2250CUS-20225361               ICASESF14BBMT
NAUT8008521307201505182201ELED000001000000M1G 2647CUS-20225469               ICASESF14BBMT
NAUT8008717837201505180800ELED000001000000R3K 1204CUS-20224094               ICASESF14CBMT
