US Short Form Leads
NAUT8002405261201503122340LEAD00000100000028215980CUS-20133159               FOX*NVODALOHATICTRC
NAUT8006520108201503121744LEAD00000100000049855906CUS-20132889               INSPN180ALOHATICTRC
NAUT8006520108201503121745LEAD00000100000025544304CUS-10423903               INSPN180ALOHATICTRC
NAUT8006520108201503121745LEAD00000100000049519616CUS-20132891               INSPN180ALOHATICTRC
NAUT8006520108201503121746LEAD00000100000007011973CUS-20132893               INSPN180ALOHATICTRC
NAUT8006520108201503121746LEAD00000100000078645512CUS-20132892               INSPN180ALOHATICTRC
NAUT8006520108201503121747LEAD00000100000030817706CUS-20132897               INSPN180ALOHATICTRC
NAUT8006520108201503121747LEAD00000100000043512419CUS-20132895               INSPN180ALOHATICTRC
NAUT8006520108201503121748LEAD00000100000039452601CUS-20132900               INSPN180ALOHATICTRC
NAUT8006520108201503121748LEAD00000100000073533580CUS-20132896               INSPN180ALOHATICTRC
NAUT8006533024201503130738LEAD00000100000043605419CUS-20133430               SPKEN120GNTNYTICTRC
NAUT8006546989201503120920LEAD00000100000001850978CUS-20132345               TNT*L60*ALOHATICTRC
NAUT8006703864201503130626LEAD00000100000021213443CUS-20133369               METVN120WLKNYTICTRC
NAUT8007171498201503120903LEAD00000100000029436843CUS-20132325               LMN*N60*WLKNYTICTRC
NAUT8007835119201503120943LEAD00000100000018704570CUS-19735103               CMGCP60*GRT2HWSTTRC
NAUT8008162060201503120013LEAD00000100000075232217CUS-20132145               CI**N120ALOHATICTRC
NAUT8008162060201503120113LEAD00000100000060409708CUS-20132155               CI**N120ALOHATICTRC
NAUT8008162060201503120113LEAD00000100000093722559CUS-20132156               CI**N120ALOHATICTRC
NAUT8008162060201503121100LEAD00000100000037321423CUS-20132421               CI**N120ALOHATICTRC
NAUT8008162060201503121828LEAD00000100000078741512CUS-20132950               CI**N120ALOHATICTRC
NAUT8008204560201503120313LEAD00000100000032608352CUS-20132179               FOXNN120ALOHATICTRC
NAUT8008204560201503130121LEAD00000100000084403801CUS-20133278               FOXNN120ALOHATICTRC
NAUT8008204560201503130605LEAD00000100000035242205CUS-20133352               FOXNN120ALOHATICTRC
NAUT8009213024201503130603LEAD00000100000048205313CUS-20133350               M616P60*NOTSTTICBMT
NAUT8009523012201503121535LEAD00000100000007860973CUS-20132767               USA*L60*ALOHATICTRC
NAUT8009528187201503121725LEAD00000100000039110601CUS-20132873               ESPNL60*ALOHATICTRC
NAUT8009531059201503121113LEAD00000100000035757256CUS-20132440               LIFEL60*ALOHATICTRC
NAUT8009531059201503121218LEAD00000100000071202318CUS-20132551               LIFEL60*ALOHATICTRC
NAUT8009531973201503121654LEAD00000100000077539281CUS-20132848               DISEN60*ALOHATICTRC
