US Short Form Leads
NAUT8002433902201410211051LEAD00000100000049525616CUS-12722004               ARTLL60*NOTSTTICBMT
NAUT8004760480201410211858LEAD00000100000050252515CUS-19765677               INSPN180GRT2HTICTRC
NAUT8004760480201410211859LEAD00000100000078666512CUS-19687367               INSPN180GRT2HTICTRC
NAUT8004760480201410211900LEAD00000100000044878419CUS-19765681               INSPN180GRT2HTICTRC
NAUT8004760480201410211900LEAD00000100000091344818CUS-19765679               INSPN180GRT2HTICTRC
NAUT8004760480201410211911LEAD00000100000089403775CUS-19765697               INSPN180GRT2HTICTRC
NAUT8004809199201410210840LEAD00000100000039429601CUS-19764694               SUNDN120BFMAXTICBMT
NAUT8004809199201410210935LEAD00000100000031909706CUS-19764804               SUNDN120BFMAXTICBMT
NAUT8004809199201410210939LEAD00000100000077497281CUS-19764810               SUNDN120BFMAXTICBMT
NAUT8004809199201410211423LEAD00000100000033948941CUS-19765273               SUNDN120BFMAXTICBMT
NAUT8004809199201410211451LEAD00000100000078504956CUS-19765314               SUNDN120BFMAXTICBMT
NAUT8004809199201410211452LEAD00000100000060453920CUS-19765316               SUNDN120BFMAXTICBMT
NAUT8004809199201410211452LEAD00000100000078028830CUS-19765315               SUNDN120BFMAXTICBMT
NAUT8004809199201410211454LEAD00000100000079506325CUS-4049467               SUNDN120BFMAXTICBMT
NAUT8004809199201410211755LEAD00000100000097068503CUS-19765587               SUNDN120BFMAXTICBMT
NAUT8004969798201410210844LEAD00000100000043055403CUS-19764704               SPKEN120BFMAXTICBMT
NAUT8004969798201410211130LEAD00000100000077539832CUS-19764985               SPKEN120BFMAXTICBMT
NAUT8005444352201410211150LEAD00000100000019148215CUS-19765014               IONLN180GRT2HTICTRC
NAUT8005444352201410211419LEAD00000100000020910301CUS-19765271               IONLN180GRT2HTICTRC
NAUT8005444352201410211420LEAD00000100000030253678CUS-19765272               IONLN180GRT2HTICTRC
NAUT8005444352201410211424LEAD00000100000099205509CUS-19765283               IONLN180GRT2HTICTRC
NAUT8005444352201410211603LEAD00000100000095831916CUS-19765434               IONLN180GRT2HTICTRC
NAUT8006148295201410211257LEAD00000100000074075405CUS-19765150               UPTVN120WALKATICTRC
NAUT8006148295201410211257LEAD00000100000080904719CUS-19765149               UPTVN120WALKATICTRC
NAUT8006148295201410211258LEAD00000100000011212347CUS-19765152               UPTVN120WALKATICTRC
NAUT8006148295201410211258LEAD00000100000033810863CUS-19765151               UPTVN120WALKATICTRC
NAUT8006148295201410211258LEAD00000100000035476205CUS-19765153               UPTVN120WALKATICTRC
NAUT8006148295201410211602LEAD00000100000027858252CUS-19765432               UPTVN120WALKATICTRC
NAUT8006148461201410210722LEAD00000100000035906917CUS-19764603               HALMN120WALKATICTRC
NAUT8006148461201410210723LEAD00000100000033312954CUS-19764609               HALMN120WALKATICTRC
NAUT8006148461201410211047LEAD00000100000089031702CUS-19764907               HALMN120WALKATICTRC
NAUT8006148461201410211346LEAD00000100000076033817CUS-19765233               HALMN120WALKATICTRC
NAUT8006148461201410211912LEAD00000100000068134402CUS-19765702               HALMN120WALKATICTRC
NAUT8006148461201410212056LEAD00000100000019079215CUS-19765845               HALMN120WALKATICTRC
NAUT8006484992201410211443LEAD00000100000027612919CUS-19765313               OXGNN120NOTSTTICBMT
NAUT8006516384201410210647LEAD00000100000031705229CUS-19764572               INSPN120WALKATICTRC
NAUT8006516384201410210650LEAD00000100000036105334CUS-19764575               INSPN120WALKATICTRC
NAUT8006516384201410210650LEAD00000100000041256606CUS-19764576               INSPN120WALKATICTRC
NAUT8006516384201410210653LEAD00000100000023608757CUS-19764580               INSPN120WALKATICTRC
NAUT8006516384201410211256LEAD00000100000022304571CUS-19765145               INSPN120WALKATICTRC
NAUT8006516384201410211658LEAD00000100000040165502CUS-19765510               INSPN120WALKATICTRC
NAUT8006516384201410211659LEAD00000100000060628773CUS-19765509               INSPN120WALKATICTRC
NAUT8006516384201410211705LEAD00000100000037172615CUS-19765507               INSPN120WALKATICTRC
NAUT8006516384201410211707LEAD00000100000030039770CUS-19765513               INSPN120WALKATICTRC
NAUT8007171498201410210914LEAD00000100000052802563CUS-19764774               LMN*L60*WALKATICTRC
NAUT8007835135201410211203LEAD00000100000075007972CUS-19765061               CMGDP60*GRT2HWSTTRC
NAUT8009104902201410210556LEAD00000100000076656CUS-19764551               CHLRN120BFMAXTICBMT
NAUT8009104902201410210706LEAD00000100000044406330CUS-19764594               CHLRN120BFMAXTICBMT
NAUT8009104902201410211005LEAD00000100000047978219CUS-19764840               CHLRN120BFMAXTICBMT
NAUT8009523012201410211251LEAD00000100000088061575CUS-19765138               USA*L60*WALKATICTRC
NAUT8009523012201410211302LEAD00000100000088061575CUS-19765138               USA*L60*WALKATICBMT
NAUT8009528187201410210859LEAD00000100000019079610CUS-19764740               ESPNL60*WALKATICTRC
NAUT8009531059201410211755LEAD00000100000015501814CUS-19765597               LIFLL60*WALKATICTRC
NAUT8009531059201410211929LEAD00000100000097405541CUS-19765723               LIFLL60*WALKATICTRC
