US Short Form Leads
NAUT8002917847201409100609LEAD00000100000025413304CUS-19712208               ION*N120BFMAXTICBMT
NAUT8006546989201409101232LEAD00000100000015801814CUS-19712725               TNTLL60*WALKATICTRC
NAUT8006703864201409100710LEAD00000100000063121763CUS-19712243               METVN120WALKATICTRC
NAUT8007171498201409101128LEAD00000100000029579843CUS-19712606               LMN*L60*WALKATICTRC
NAUT8007171498201409101129LEAD00000100000017331717CUS-19712610               LMN*L60*WALKATICTRC
NAUT8007171498201409101131LEAD00000100000046403219CUS-19712614               LMN*L60*WALKATICTRC
NAUT8007171498201409101133LEAD00000100000008322856CUS-19712618               LMN*L60*WALKATICTRC
NAUT8007835119201409101403LEAD00000100000019143267CUS-19712898               CMGCP60*GRT2HWSTTRC
NAUT8007835135201409100553LEAD00000100000044104216CUS-19712203               CMGDP60*GRT2HWSTTRC
NAUT8007835135201409100957LEAD00000100000002019774CUS-19712463               CMGDP60*GRT2HWSTTRC
NAUT8007835135201409101215LEAD00000100000044107216CUS-19712701               CMGDP60*GRT2HWSTTRC
NAUT8007835135201409101402LEAD00000100000044311234CUS-19581136               CMGDP60*GRT2HWSTTRC
NAUT8007835135201409101811LEAD00000100000090043323CUS-19713292               CMGDP60*GRT2HWSTTRC
NAUT8007888022201409101942LEAD00000100000075860254CUS-19713427               CMGFP60*GRT2HWSTTRC
NAUT8008105251201409101545LEAD00000100000094019650CUS-19713078               CM24P120GRT2HWSTTRC
NAUT8008105251201409101811LEAD00000100000046410219CUS-19713293               CM24P120GRT2HWSTTRC
NAUT8008591918201409100209LEAD00000100000070601337CUS-19712163               FOXNN120WALKATICTRC
NAUT8008591918201409100614LEAD00000100000033853863CUS-19712215               FOXNN120WALKATICTRC
NAUT8009523012201409101037LEAD00000100000048084248CUS-19712529               USA*L60*WALKATICTRC
NAUT8009524921201409101348LEAD00000100000010456347CUS-19712863               ARTLL60*WALKATICTRC
NAUT8009526519201409101435LEAD00000100000060707630CUS-19712965               METVN120TSTOR***TRC
NAUT8009563180201409101118LEAD00000100000090011323CUS-19712590               GAMLL120WALKATICTRC
NAUT8009563180201409101920LEAD00000100000091762909CUS-19713386               GAMLL120WALKATICTRC
NAUT8009563180201409101928LEAD00000100000030577706CUS-19713390               GAMLL120WALKATICTRC
NAUT8009563180201409102142LEAD00000100000010541914CUS-19713572               GAMLL120WALKATICTRC
NAUT8009731070201409101304LEAD00000100000080002303CUS-19712786               HALMN60*MOBTC***TRC
