US Short Form Leads
NAUT8002917847201411081106LEAD00000100000001824978CUS-19791936               ION*N120MRYMXTICBMT
NAUT8004669741201411081658LEAD00000100000030310678CUS-19792714               SUNDN120GNTMFTICTRC
NAUT8004669741201411081659LEAD00000100000037410423CUS-19792720               SUNDN120GNTMFTICTRC
NAUT8004669741201411081700LEAD00000100000079821915CUS-19792717               SUNDN120GNTMFTICTRC
NAUT8004760480201411080634LEAD00000100000068701402CUS-19791343               INSPN180GRT2HTICTRC
NAUT8004969798201411080707LEAD00000100000077385832CUS-19791398               SPKEN120MRYMXTICBMT
NAUT8004969798201411080837LEAD00000100000007011973CUS-19254598               SPKEN120MRYMXTICBMT
NAUT8004969798201411080839LEAD00000100000014605585CUS-19791575               SPKEN120MRYMXTICBMT
NAUT8004969798201411080839LEAD00000100000023702276CUS-19791573               SPKEN120MRYMXTICBMT
NAUT8004969798201411080840LEAD00000100000048094586CUS-19791576               SPKEN120MRYMXTICBMT
NAUT8004969798201411080841LEAD00000100000095240510CUS-19791581               SPKEN120MRYMXTICBMT
NAUT8004969798201411080842LEAD00000100000090607562CUS-19791582               SPKEN120MRYMXTICBMT
NAUT8004969798201411080843LEAD00000100000037087615CUS-19791590               SPKEN120MRYMXTICBMT
NAUT8005069231201411080921LEAD00000100000017019717CUS-19791678               VEL*N120MRYMXTICBMT
NAUT8005444352201411081159LEAD00000100000055324320CUS-19792065               IONLN180GRT2HTICTRC
NAUT8005444352201411081202LEAD00000100000021222443CUS-19792063               IONLN180GRT2HTICTRC
NAUT8005444352201411081332LEAD00000100000070003205CUS-19792290               IONLN180GRT2HTICTRC
NAUT8005497616201411081515LEAD00000100000011717631CUS-19792531               CSI*N120WLKMFTICTRC
NAUT8005497616201411081559LEAD00000100000006615203CUS-19792641               CSI*N120WLKMFTICTRC
NAUT8005497616201411081730LEAD00000100000032164386CUS-19792771               CSI*N120WLKMFTICTRC
NAUT8005617572201411081243LEAD00000100000077386713CUS-19792165               VH1*L60*WLKMFTICTRC
NAUT8005632199201411081044LEAD00000100000011412443CUS-13232268               MTV*L60*MRYMXTICBMT
NAUT8005923486201411081147LEAD00000100000017042717CUS-19145516               DRTMN60*MRYMXTICBMT
NAUT8005923486201411081148LEAD00000100000030187770CUS-19792041               DRTMN60*MRYMXTICBMT
NAUT8005923486201411081148LEAD00000100000078582956CUS-19792044               DRTMN60*MRYMXTICBMT
NAUT8005923486201411081154LEAD00000100000090068323CUS-19792050               DRTMN60*MRYMXTICBMT
NAUT8006148461201411080654LEAD00000100000043211614CUS-19791381               HALMN120WLKMFTICTRC
NAUT8006148461201411080656LEAD00000100000028749828CUS-19791382               HALMN120WLKMFTICTRC
NAUT8006148461201411080712LEAD00000100000043605419CUS-19791389               HALMN120WLKMFTICTRC
NAUT8006148461201411080738LEAD00000100000016101724CUS-19791477               HALMN120WLKMFTICTRC
NAUT8006148461201411080738LEAD00000100000048209313CUS-19791480               HALMN120WLKMFTICTRC
NAUT8006148461201411080739LEAD00000100000030103770CUS-19791485               HALMN120WLKMFTICTRC
NAUT8006148461201411080739LEAD00000100000032034904CUS-19791482               HALMN120WLKMFTICTRC
NAUT8006148461201411080739LEAD00000100000065559901CUS-19791479               HALMN120WLKMFTICTRC
NAUT8006148461201411080813LEAD00000100000062203618CUS-19791542               HALMN120WLKMFTICTRC
NAUT8006148461201411080902LEAD00000100000038917662CUS-19791628               HALMN120WLKMFTICTRC
NAUT8006148461201411080920LEAD00000100000063108314CUS-19791677               HALMN120WLKMFTICTRC
NAUT8006148461201411080920LEAD00000100000097103503CUS-19791675               HALMN120WLKMFTICTRC
NAUT8006148461201411080947LEAD00000100000019136215CUS-19791723               HALMN120WLKMFTICTRC
NAUT8006148461201411081519LEAD00000100000011210718CUS-19792536               HALMN120WLKMFTICTRC
NAUT8006148461201411081520LEAD00000100000041076859CUS-19792539               HALMN120WLKMFTICTRC
NAUT8006148461201411081521LEAD00000100000023607757CUS-19792541               HALMN120WLKMFTICTRC
NAUT8006148461201411081521LEAD00000100000039443601CUS-19792538               HALMN120WLKMFTICTRC
NAUT8006148461201411081521LEAD00000100000072762479CUS-19792537               HALMN120WLKMFTICTRC
NAUT8006148461201411081522LEAD00000100000028227704CUS-19792547               HALMN120WLKMFTICTRC
NAUT8006148461201411081522LEAD00000100000029321864CUS-19792535               HALMN120WLKMFTICTRC
NAUT8006148461201411081820LEAD00000100000095630916CUS-19792856               HALMN120WLKMFTICTRC
NAUT8006148461201411081822LEAD00000100000090293310CUS-19792861               HALMN120WLKMFTICTRC
NAUT8006148461201411082158LEAD00000100000051108712CUS-19793146               HALMN120WLKMFTICTRC
NAUT8006148461201411082159LEAD00000100000095376209CUS-19793147               HALMN120WLKMFTICTRC
NAUT8006172457201411080721LEAD00000100000016686814CUS-19791446               ION*N120WLKMFTICTRC
NAUT8006172457201411081324LEAD00000100000010314347CUS-19792269               ION*N120WLKMFTICTRC
NAUT8006172457201411081324LEAD00000100000019139215CUS-19792268               ION*N120WLKMFTICTRC
NAUT8006172457201411081325LEAD00000100000012780646CUS-19792272               ION*N120WLKMFTICTRC
NAUT8006172457201411081325LEAD00000100000033247786CUS-19792270               ION*N120WLKMFTICTRC
NAUT8006172457201411081325LEAD00000100000075150972CUS-19792271               ION*N120WLKMFTICTRC
NAUT8006172457201411081326LEAD00000100000018018347CUS-19792276               ION*N120WLKMFTICTRC
NAUT8006172457201411081327LEAD00000100000033445561CUS-19792281               ION*N120WLKMFTICTRC
NAUT8006172457201411081328LEAD00000100000008046609CUS-19792284               ION*N120WLKMFTICTRC
NAUT8006172457201411081329LEAD00000100000033313954CUS-19792285               ION*N120WLKMFTICTRC
NAUT8006172457201411081330LEAD00000100000002143857CUS-19792288               ION*N120WLKMFTICTRC
NAUT8006172457201411081330LEAD00000100000024017540CUS-19792289               ION*N120WLKMFTICTRC
NAUT8006172457201411081501LEAD00000100000012866518CUS-19792504               ION*N120WLKMFTICTRC
NAUT8006172457201411081501LEAD00000100000060659773CUS-19792506               ION*N120WLKMFTICTRC
NAUT8006172457201411081558LEAD00000100000019104215CUS-19792635               ION*N120WLKMFTICTRC
NAUT8006172457201411081558LEAD00000100000053404262CUS-19792636               ION*N120WLKMFTICTRC
NAUT8006172457201411081559LEAD00000100000030311404CUS-19792638               ION*N120WLKMFTICTRC
NAUT8006172457201411081559LEAD00000100000060608312CUS-19792639               ION*N120WLKMFTICTRC
NAUT8006172457201411081626LEAD00000100000090047310CUS-19792686               ION*N120WLKMFTICTRC
NAUT8006172457201411081634LEAD00000100000098363360CUS-19792697               ION*N120WLKMFTICTRC
NAUT8006488092201411081531LEAD00000100000011213347CUS-19792556               FOODL60*WLKMFTICTRC
NAUT8006516384201411080848LEAD00000100000070668337CUS-19791600               INSPN120WLKMFTICTRC
NAUT8006516384201411081554LEAD00000100000078253210CUS-19792617               INSPN120WLKMFTICTRC
NAUT8006546989201411080910LEAD00000100000034488352CUS-6848402               TNTLL60*WLKMFTICTRC
NAUT8006546989201411081015LEAD00000100000019126215CUS-19791780               TNTLL60*WLKMFTICTRC
NAUT8006546989201411081516LEAD00000100000033990239CUS-19792529               TNTLL60*WLKMFTICTRC
NAUT8006672031201411081152LEAD00000100000030024404CUS-19792049               IDISN120FL600TICTRC
NAUT8006703864201411081055LEAD00000100000046614574CUS-19791899               METVN120WLKMFTICTRC
NAUT8006703864201411081056LEAD00000100000044122216CUS-19791901               METVN120WLKMFTICTRC
NAUT8006703864201411081057LEAD00000100000046011765CUS-19791911               METVN120WLKMFTICTRC
NAUT8006703864201411081057LEAD00000100000053224414CUS-19791910               METVN120WLKMFTICTRC
NAUT8006703864201411081058LEAD00000100000060615847CUS-19791914               METVN120WLKMFTICTRC
NAUT8006703864201411081059LEAD00000100000060618773CUS-19791921               METVN120WLKMFTICTRC
NAUT8006703864201411081059LEAD00000100000070531337CUS-19791925               METVN120WLKMFTICTRC
NAUT8006703864201411081236LEAD00000100000033917239CUS-19792164               METVN120WLKMFTICTRC
NAUT8006703864201411081236LEAD00000100000055016651CUS-19792163               METVN120WLKMFTICTRC
NAUT8006703864201411081237LEAD00000100000063125314CUS-19792167               METVN120WLKMFTICTRC
NAUT8006703864201411081238LEAD00000100000055709218CUS-19792169               METVN120WLKMFTICTRC
NAUT8006703864201411081238LEAD00000100000075210214CUS-19792170               METVN120WLKMFTICTRC
NAUT8006703864201411081239LEAD00000100000024073540CUS-19792171               METVN120WLKMFTICTRC
NAUT8006703864201411081241LEAD00000100000032503CUS-19792173               METVN120WLKMFTICTRC
NAUT8006703864201411081242LEAD00000100000064093660CUS-19792176               METVN120WLKMFTICTRC
NAUT8006703864201411081302LEAD00000100000045406972CUS-19792220               METVN120WLKMFTICTRC
NAUT8006703864201411081349LEAD00000100000014612585CUS-19792335               METVN120WLKMFTICTRC
NAUT8006703864201411081349LEAD00000100000075702903CUS-19792334               METVN120WLKMFTICTRC
NAUT8006703864201411081404LEAD00000100000008889908CUS-19792402               METVN120WLKMFTICTRC
NAUT8006703864201411081404LEAD00000100000021074972CUS-19792405               METVN120WLKMFTICTRC
NAUT8006703864201411081404LEAD00000100000060153708CUS-19792403               METVN120WLKMFTICTRC
NAUT8006703864201411081404LEAD00000100000063114314CUS-19792404               METVN120WLKMFTICTRC
NAUT8006703864201411081405LEAD00000100000075705903CUS-19792406               METVN120WLKMFTICTRC
NAUT8006703864201411081535LEAD00000100000095695530CUS-19792560               METVN120WLKMFTICTRC
NAUT8006703864201411081558LEAD00000100000062689217CUS-19792634               METVN120WLKMFTICTRC
NAUT8006830774201411081109LEAD00000100000089122702CUS-19791939               WGN*N120GRT2HTICTRC
NAUT8006830774201411081110LEAD00000100000030411912CUS-19791940               WGN*N120GRT2HTICTRC
NAUT8006830774201411081854LEAD00000100000089044702CUS-19792898               WGN*N120GRT2HTICTRC
NAUT8007171498201411081005LEAD00000100000013905607CUS-19791751               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081007LEAD00000100000033304954CUS-19791755               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081009LEAD00000100000043608419CUS-19791757               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081017LEAD00000100000048228313CUS-19791765               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081026LEAD00000100000035020205CUS-19791802               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081026LEAD00000100000035160256CUS-19791796               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081026LEAD00000100000074728580CUS-19791801               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081030LEAD00000100000090047323CUS-19791816               LMN*L60*WLKMFTICTRC
NAUT8007171498201411081032LEAD00000100000015644724CUS-19791826               LMN*L60*WLKMFTICTRC
NAUT8007835061201411081600LEAD00000100000024426540CUS-19792642               CLASP60*JRNEYWSTTRC
NAUT8007835119201411081758LEAD00000100000041092CUS-19792820               CMGCP60*GRT2HWSTTRC
NAUT8007835119201411082006LEAD00000100000008030609CUS-19793013               CMGCP60*GRT2HWSTTRC
NAUT8008591918201411080411LEAD00000100000046203317CUS-19791248               FOXNN120WLKMFTICTRC
NAUT8008591918201411080427LEAD00000100000028602828CUS-19791253               FOXNN120WLKMFTICTRC
NAUT8008591918201411080614LEAD00000100000021409410CUS-19791321               FOXNN120WLKMFTICTRC
NAUT8008711024201411081904LEAD00000100000060630773CUS-19792897               TNT*N120TSTOR***TRC
NAUT8009521784201411080721LEAD00000100000063135314CUS-19791444               FOX*NVODWALKATICTRC
NAUT8009521829201411081122LEAD00000100000020019202CUS-19791983               TNTLL60*MRYMXTICBMT
NAUT8009521829201411081225LEAD00000100000002116857CUS-17795395               TNTLL60*MRYMXTICBMT
NAUT8009521829201411081249LEAD00000100000030719706CUS-19792187               TNTLL60*MRYMXTICBMT
NAUT8009521829201411081659LEAD00000100000060629773CUS-19792721               TNTLL60*MRYMXTICBMT
NAUT8009521829201411081825LEAD00000100000096740808CUS-19792862               TNTLL60*MRYMXTICBMT
NAUT8009523012201411081135LEAD00000100000063033314CUS-19792013               USA*L60*WLKMFTICTRC
NAUT8009523012201411081549LEAD00000100000004027781CUS-19792587               USA*L60*WLKMFTICTRC
NAUT8009531059201411081027LEAD00000100000045417937CUS-19791794               LIFLL60*WLKMFTICTRC
NAUT8009531059201411081342LEAD00000100000011212718CUS-19792302               LIFLL60*WLKMFTICTRC
NAUT8009531085201411080827LEAD00000100000070578337CUS-19791554               HIS2N180WLKMFTICTRC
NAUT8009531097201411080918LEAD00000100000098944509CUS-19791671               VH1CN120MRYMXTICBMT
NAUT8009531097201411081028LEAD00000100000078613360CUS-19791800               VH1CN120MRYMXTICBMT
NAUT8009531097201411081409LEAD00000100000092314951CUS-7922418               VH1CN120MRYMXTICBMT
